Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.440000,9.480000,9.220000,9.430000,7.706430,4813500
2016-01-05,9.470000,9.590000,9.280000,9.560000,7.812669,4393800
2016-01-06,9.400000,9.480000,9.200000,9.230000,7.542984,4588100
2016-01-07,9.090000,9.200000,8.990000,9.000000,7.355022,7402900
2016-01-08,9.010000,9.200000,8.780000,9.130000,7.461262,8175600
2016-01-11,9.120000,9.220000,8.810000,9.030000,7.379540,7406300
2016-01-12,9.100000,9.110000,8.680000,8.750000,7.150716,6157100
2016-01-13,8.800000,9.080000,8.570000,8.640000,7.060821,8486900
2016-01-14,8.660000,8.890000,8.510000,8.850000,7.232439,10538000
2016-01-15,8.630000,8.650000,8.320000,8.540000,6.979099,8596100
2016-01-19,8.640000,8.820000,8.430000,8.720000,7.126201,8836700
2016-01-20,8.600000,8.700000,8.220000,8.620000,7.044479,9920300
2016-01-21,8.640000,9.270000,8.590000,9.110000,7.444916,10491700
2016-01-22,9.280000,9.390000,9.070000,9.170000,7.493950,5393900
2016-01-25,9.130000,9.190000,8.740000,8.740000,7.142545,7285300
2016-01-26,8.810000,9.100000,8.770000,9.040000,7.387714,4372000
2016-01-27,9.040000,9.210000,8.960000,9.080000,7.420400,4714200
2016-01-28,9.220000,9.340000,9.090000,9.160000,7.485779,5352200
2016-01-29,9.120000,9.510000,9.110000,9.500000,7.858003,11456200
2016-02-01,9.470000,9.540000,9.300000,9.460000,7.824915,6064600
2016-02-02,9.360000,9.490000,9.270000,9.290000,7.684298,7765200
2016-02-03,9.410000,9.790000,9.360000,9.750000,8.064790,9212100
2016-02-04,9.700000,10.110000,9.700000,9.800000,8.106147,8354700
2016-02-05,9.540000,9.970000,9.540000,9.750000,8.064790,8137700
2016-02-08,9.680000,9.710000,9.320000,9.440000,7.808371,6015300
2016-02-09,9.330000,9.640000,9.200000,9.510000,7.866271,5530300
2016-02-10,9.500000,9.620000,9.250000,9.530000,7.882815,4248700
2016-02-11,9.380000,9.400000,8.970000,9.000000,7.444419,8645900
2016-02-12,9.010000,9.190000,8.880000,9.170000,7.585038,6144600
2016-02-16,9.280000,9.460000,9.200000,9.380000,7.758740,4704600
2016-02-17,9.440000,9.740000,9.380000,9.620000,7.957258,6398100
2016-02-18,9.640000,9.760000,9.500000,9.700000,8.023430,4311100
2016-02-19,9.640000,9.640000,9.340000,9.410000,7.783555,4271100
2016-02-22,9.660000,9.800000,9.530000,9.790000,8.097876,4768200
2016-02-23,9.710000,9.790000,9.510000,9.580000,7.924174,4175100
2016-02-24,9.500000,10.140000,9.320000,10.030000,8.296394,7188700
2016-02-25,10.030000,10.080000,9.520000,9.970000,8.246764,6824300
2016-02-26,10.010000,10.140000,9.800000,9.870000,8.164046,4623500
2016-02-29,9.850000,9.970000,9.780000,9.800000,8.106147,4281200
2016-03-01,9.830000,10.170000,9.760000,10.120000,8.370838,5069600
2016-03-02,10.060000,10.290000,9.940000,10.280000,8.503182,4193600
2016-03-03,10.290000,10.460000,10.090000,10.450000,8.643800,4893400
2016-03-04,10.430000,10.820000,10.270000,10.790000,8.925034,6368500
2016-03-07,10.740000,10.990000,10.680000,10.890000,9.007748,6156000
2016-03-08,10.850000,10.870000,10.580000,10.620000,8.784417,6293500
2016-03-09,10.690000,10.790000,10.470000,10.500000,8.685159,9489500
2016-03-10,10.500000,10.810000,10.430000,10.810000,8.941577,4153900
2016-03-11,10.940000,11.010000,10.830000,10.910000,9.024293,4683300
2016-03-14,10.870000,11.010000,10.810000,10.960000,9.065651,4162000
2016-03-15,10.890000,11.000000,10.850000,10.970000,9.073924,6634000
2016-03-16,10.930000,11.410000,10.910000,11.390000,9.421330,8630500
2016-03-17,11.370000,11.570000,11.280000,11.530000,9.537130,6899200
2016-03-18,11.530000,11.700000,11.530000,11.620000,9.611574,8059800
2016-03-21,11.600000,11.640000,11.510000,11.540000,9.545403,6269900
2016-03-22,11.500000,11.650000,11.400000,11.540000,9.545403,6774400
2016-03-23,11.580000,11.580000,11.280000,11.300000,9.346884,5362000
2016-03-24,11.240000,11.580000,11.160000,11.570000,9.570217,7712200
2016-03-28,11.610000,11.630000,11.410000,11.410000,9.437872,6335000
2016-03-29,11.390000,11.660000,11.350000,11.650000,9.636389,4601000
2016-03-30,11.730000,11.780000,11.600000,11.620000,9.611574,3254400
2016-03-31,11.620000,11.800000,11.570000,11.800000,9.760464,5656000
2016-04-01,11.680000,11.690000,11.410000,11.570000,9.570217,8260700
2016-04-04,11.560000,11.660000,11.310000,11.360000,9.396514,5432700
2016-04-05,11.270000,11.320000,11.060000,11.070000,9.156637,9099700
2016-04-06,11.070000,11.120000,10.940000,11.080000,9.164910,6786500
2016-04-07,10.970000,11.170000,10.790000,10.860000,8.982933,7210500
2016-04-08,10.910000,11.160000,10.910000,10.960000,9.065651,4505400
2016-04-11,11.010000,11.140000,10.960000,11.020000,9.115281,4628500
2016-04-12,11.060000,11.190000,11.010000,11.160000,9.231082,3976300
2016-04-13,11.220000,11.290000,11.100000,11.230000,9.288980,4542900
2016-04-14,11.220000,11.340000,11.200000,11.240000,9.297256,2511000
2016-04-15,11.230000,11.330000,11.210000,11.250000,9.305525,3402300
2016-04-18,11.250000,11.360000,11.060000,11.310000,9.355157,3226800
2016-04-19,11.370000,11.540000,11.360000,11.500000,9.512315,3985300
2016-04-20,11.500000,11.530000,11.250000,11.270000,9.322072,2991400
2016-04-21,11.270000,11.340000,11.060000,11.110000,9.189722,3405600
2016-04-22,11.150000,11.310000,11.070000,11.180000,9.247625,2706900
2016-04-25,11.170000,11.210000,10.990000,11.000000,9.098738,3372000
2016-04-26,11.020000,11.210000,11.020000,11.210000,9.272441,3576900
2016-04-27,11.240000,11.480000,11.130000,11.380000,9.413057,3914800
2016-04-28,11.200000,11.310000,11.060000,11.120000,9.287770,4888700
2016-04-29,11.120000,11.170000,10.920000,11.160000,9.321183,4691900
2016-05-02,11.150000,11.370000,11.120000,11.300000,9.438113,3722700
2016-05-03,11.200000,11.240000,10.950000,11.130000,9.296124,4572100
2016-05-04,11.080000,11.220000,11.030000,11.160000,9.321183,4180300
2016-05-05,11.240000,11.270000,11.010000,11.070000,9.246010,3350200
2016-05-06,11.030000,11.110000,10.950000,11.080000,9.254364,3152900
2016-05-09,10.950000,11.240000,10.800000,11.160000,9.321183,4775400
2016-05-10,11.200000,11.490000,11.130000,11.450000,9.563396,3476500
2016-05-11,11.410000,11.470000,11.240000,11.320000,9.454818,4283700
2016-05-12,11.390000,11.440000,11.210000,11.270000,9.413057,3482300
2016-05-13,11.230000,11.260000,11.070000,11.160000,9.321183,3384800
2016-05-16,11.180000,11.240000,11.100000,11.110000,9.279421,3072800
2016-05-17,11.080000,11.150000,10.940000,11.020000,9.204250,3695600
2016-05-18,10.970000,11.080000,10.680000,10.730000,8.962032,4378700
2016-05-19,10.650000,10.770000,10.490000,10.740000,8.970386,7749600
2016-05-20,10.760000,10.900000,10.730000,10.890000,9.095670,2864700
2016-05-23,10.860000,10.890000,10.730000,10.740000,8.970386,2852100
2016-05-24,10.820000,10.940000,10.760000,10.910000,9.112375,3485800
2016-05-25,10.890000,11.070000,10.820000,10.970000,9.162489,3651800
2016-05-26,10.990000,11.030000,10.880000,10.890000,9.095670,4934000
2016-05-27,10.900000,11.130000,10.890000,11.110000,9.279421,3013800
2016-05-31,11.120000,11.230000,10.990000,11.090000,9.262714,6156100
2016-06-01,11.040000,11.070000,10.910000,10.940000,9.137431,4592200
2016-06-02,10.900000,11.010000,10.790000,10.840000,9.053906,5454800
2016-06-03,10.930000,11.300000,10.860000,11.220000,9.371297,7127800
2016-06-06,11.240000,11.440000,11.220000,11.390000,9.513286,3685300
2016-06-07,11.390000,11.550000,11.360000,11.510000,9.613513,4208700
2016-06-08,11.550000,11.550000,11.380000,11.430000,9.546694,4651400
2016-06-09,11.370000,11.460000,11.220000,11.440000,9.555046,3313900
2016-06-10,11.310000,11.390000,11.160000,11.200000,9.354590,4540200
2016-06-13,11.170000,11.230000,11.120000,11.170000,9.329535,3823100
2016-06-14,11.140000,11.170000,11.010000,11.120000,9.287770,3944000
2016-06-15,11.120000,11.210000,11.020000,11.060000,9.237658,4433200
2016-06-16,11.000000,11.270000,10.910000,11.260000,9.404704,4554000
2016-06-17,11.290000,11.620000,11.270000,11.610000,9.697034,7971200
2016-06-20,11.710000,11.910000,11.680000,11.850000,9.897491,7611300
2016-06-21,11.870000,12.080000,11.790000,12.010000,10.031128,6218900
2016-06-22,12.030000,12.060000,11.940000,11.990000,10.014421,5205700
2016-06-23,12.070000,12.140000,12.010000,12.100000,10.106298,3924900
2016-06-24,11.850000,12.000000,11.630000,11.890000,9.930902,8944300
2016-06-27,11.730000,11.740000,11.290000,11.410000,9.529991,10444200
2016-06-28,11.490000,11.800000,11.320000,11.790000,9.847377,8064500
2016-06-29,11.900000,12.090000,11.850000,12.030000,10.047833,6747200
2016-06-30,12.080000,12.480000,12.000000,12.480000,10.423684,10361000
2016-07-01,12.480000,12.530000,12.250000,12.330000,10.298402,4320900
2016-07-05,12.250000,12.290000,12.050000,12.200000,10.189823,5444400
2016-07-06,12.130000,12.250000,12.030000,12.230000,10.214879,4760600
2016-07-07,12.210000,12.260000,12.000000,12.100000,10.106298,4849600
2016-07-08,12.150000,12.320000,12.030000,12.320000,10.290050,4182400
2016-07-11,12.320000,12.560000,12.240000,12.550000,10.482152,3808100
2016-07-12,12.570000,12.680000,12.470000,12.480000,10.423684,3396100
2016-07-13,12.570000,12.640000,12.400000,12.630000,10.548971,5046500
2016-07-14,12.640000,12.680000,12.440000,12.520000,10.457097,2987500
2016-07-15,12.550000,12.680000,12.520000,12.630000,10.548971,3748800
2016-07-18,12.630000,12.630000,12.510000,12.570000,10.498857,2273700
2016-07-19,12.500000,12.520000,12.350000,12.510000,10.448744,3343400
2016-07-20,12.500000,12.580000,12.390000,12.560000,10.490504,3038500
2016-07-21,12.550000,12.610000,12.470000,12.590000,10.515562,3530300
2016-07-22,12.580000,12.680000,12.520000,12.650000,10.565677,2738400
2016-07-25,12.640000,12.720000,12.610000,12.670000,10.582381,3189100
2016-07-26,12.660000,12.680000,12.540000,12.610000,10.532267,3532400
2016-07-27,12.620000,12.660000,12.260000,12.370000,10.331811,4207000
2016-07-28,12.240000,12.300000,12.100000,12.250000,10.323385,2244000
2016-07-29,12.220000,12.400000,12.130000,12.350000,10.407657,5621400
2016-08-01,12.330000,12.370000,12.130000,12.170000,10.255968,4826500
2016-08-02,12.140000,12.230000,12.070000,12.180000,10.264394,4365300
2016-08-03,12.210000,12.590000,12.140000,12.400000,10.449791,4452700
2016-08-04,12.380000,12.440000,12.210000,12.410000,10.458220,3850900
2016-08-05,12.440000,12.520000,12.100000,12.230000,10.306529,6722800
2016-08-08,12.280000,12.320000,12.140000,12.180000,10.264394,3218200
2016-08-09,12.180000,12.250000,12.030000,12.070000,10.171695,3806000
2016-08-10,12.050000,12.190000,12.050000,12.180000,10.264394,3237300
2016-08-11,12.190000,12.240000,12.110000,12.240000,10.314957,3343700
2016-08-12,12.240000,12.370000,12.200000,12.220000,10.298102,3451800
2016-08-15,12.240000,12.330000,12.090000,12.090000,10.188547,3011700
2016-08-16,12.010000,12.080000,11.950000,12.000000,10.112703,5935000
2016-08-17,12.000000,12.310000,11.890000,12.280000,10.348665,6745100
2016-08-18,12.270000,12.500000,12.240000,12.500000,10.534065,5215500
2016-08-19,12.400000,12.410000,12.160000,12.220000,10.298102,4115600
2016-08-22,12.220000,12.320000,12.160000,12.290000,10.357095,2751100
2016-08-23,12.350000,12.400000,12.170000,12.180000,10.264394,4733300
2016-08-24,12.170000,12.180000,12.040000,12.080000,10.180120,2799600
2016-08-25,12.090000,12.160000,12.020000,12.110000,10.205404,2631900
2016-08-26,12.160000,12.310000,11.960000,12.020000,10.129557,5161400
2016-08-29,12.070000,12.230000,12.020000,12.150000,10.239112,2851400
2016-08-30,12.150000,12.180000,11.990000,12.020000,10.129557,3245700
2016-08-31,12.000000,12.080000,11.920000,12.070000,10.171695,6618500
2016-09-01,12.070000,12.090000,11.850000,12.010000,10.121130,5600300
2016-09-02,12.040000,12.260000,12.040000,12.230000,10.306529,3539000
2016-09-06,12.300000,12.850000,12.250000,12.840000,10.820593,7370500
2016-09-07,12.850000,13.080000,12.800000,13.030000,10.980709,8097200
2016-09-08,13.000000,13.030000,12.880000,12.950000,10.913291,6269900
2016-09-09,12.790000,12.820000,12.320000,12.330000,10.390801,4979800
2016-09-12,12.280000,12.650000,12.240000,12.590000,10.609911,6041500
2016-09-13,12.490000,12.540000,12.300000,12.390000,10.441367,5888300
2016-09-14,12.420000,12.580000,12.260000,12.320000,10.382375,5306100
2016-09-15,12.270000,12.620000,12.220000,12.550000,10.576200,5503800
2016-09-16,12.480000,12.570000,12.350000,12.540000,10.567774,5634700
2016-09-19,12.590000,12.730000,12.520000,12.700000,10.702610,3410800
2016-09-20,12.740000,12.840000,12.670000,12.780000,10.770030,4173300
2016-09-21,12.810000,13.110000,12.780000,13.100000,11.039701,5100900
2016-09-22,13.170000,13.220000,13.000000,13.190000,11.115546,3388900
2016-09-23,13.130000,13.320000,13.100000,13.260000,11.174538,3955800
2016-09-26,13.230000,13.270000,13.100000,13.120000,11.056555,2636100
2016-09-27,13.100000,13.140000,12.870000,13.080000,11.022846,4674100
2016-09-28,13.130000,13.170000,12.960000,13.150000,11.081836,5722200
2016-09-29,13.140000,13.140000,12.800000,12.900000,10.871153,6109400
2016-09-30,12.910000,13.010000,12.820000,12.850000,10.829020,5867900
2016-10-03,12.640000,12.750000,12.210000,12.470000,10.508784,8951200
2016-10-04,12.380000,12.380000,11.870000,11.950000,10.070564,9760200
2016-10-05,12.000000,12.060000,11.770000,11.860000,9.994720,14013500
2016-10-06,11.790000,11.830000,11.600000,11.660000,9.826175,8281500
2016-10-07,11.730000,11.830000,11.580000,11.590000,9.767187,6837800
2016-10-10,11.670000,11.770000,11.610000,11.670000,9.834603,4412900
2016-10-11,11.620000,11.650000,11.450000,11.520000,9.708195,4010100
2016-10-12,11.540000,11.720000,11.500000,11.670000,9.834603,5039800
2016-10-13,11.610000,11.850000,11.510000,11.730000,9.885165,5451800
2016-10-14,11.720000,11.880000,11.550000,11.570000,9.750332,5647500
2016-10-17,11.600000,11.730000,11.600000,11.710000,9.868311,6197700
2016-10-18,11.850000,11.950000,11.740000,11.870000,10.003149,5544300
2016-10-19,11.900000,12.160000,11.880000,12.120000,10.213830,5088000
2016-10-20,12.150000,12.260000,12.040000,12.050000,10.154841,4042400
