Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,46.419998,47.070000,46.250000,47.029999,36.581047,6946500
2016-01-05,46.950001,47.380001,46.590000,47.360001,36.837738,5830900
2016-01-06,47.060001,47.500000,46.820000,47.369999,36.845512,5868700
2016-01-07,47.000000,47.450001,46.790001,46.970001,36.534382,5837700
2016-01-08,46.990002,47.290001,46.560001,46.619999,36.262142,5220200
2016-01-11,46.799999,47.009998,46.630001,46.840000,36.433266,5870500
2016-01-12,46.919998,46.919998,46.000000,46.450001,36.129917,5762300
2016-01-13,46.549999,47.029999,46.439999,46.799999,36.402157,5860100
2016-01-14,46.799999,47.549999,46.439999,47.139999,36.666611,6057100
2016-01-15,46.689999,47.240002,46.540001,47.169998,36.689945,6536900
2016-01-19,47.250000,48.040001,47.180000,47.939999,37.288876,7627600
2016-01-20,47.700001,47.990002,46.660000,47.160000,36.682163,8026100
2016-01-21,47.279999,47.549999,46.340000,46.810001,36.409924,5876800
2016-01-22,46.790001,47.380001,46.560001,47.349998,36.829960,6019000
2016-01-25,47.419998,47.520000,47.090000,47.389999,36.861073,4287100
2016-01-26,47.520000,48.080002,47.389999,47.580002,37.008858,3946700
2016-01-27,47.419998,47.889999,47.240002,47.639999,37.055519,3350500
2016-01-28,47.639999,48.560001,47.250000,48.279999,37.553329,3980400
2016-01-29,48.580002,49.000000,48.480000,48.919998,38.051136,7181700
2016-02-01,48.939999,49.990002,48.790001,49.900002,38.813408,9996700
2016-02-02,49.549999,49.790001,49.419998,49.630001,38.603394,6308200
2016-02-03,49.410000,50.240002,48.310001,48.509998,37.732224,15188000
2016-02-04,48.500000,48.689999,47.450001,48.419998,37.662228,9049000
2016-02-05,48.020000,48.500000,47.259998,48.220001,37.506664,8747200
2016-02-08,48.180000,48.849998,48.040001,48.820000,37.973347,7027400
2016-02-09,48.580002,49.320000,48.279999,49.200001,38.268925,7085700
2016-02-10,48.900002,49.349998,48.270000,49.209999,38.276703,6086900
2016-02-11,48.189999,48.759998,48.020000,48.049999,37.791435,5963800
2016-02-12,48.000000,48.279999,47.560001,47.910000,37.681324,5077400
2016-02-16,48.009998,48.090000,47.470001,48.090000,37.822899,5147700
2016-02-17,48.080002,48.160000,47.520000,47.830002,37.618408,5218300
2016-02-18,47.799999,48.910000,47.709999,48.869999,38.436371,5743900
2016-02-19,48.630001,48.930000,48.230000,48.570000,38.200417,4602000
2016-02-22,48.610001,49.099998,48.459999,49.099998,38.617271,3403800
2016-02-23,48.970001,49.270000,48.750000,49.099998,38.617271,3495200
2016-02-24,48.830002,49.389999,48.590000,48.980000,38.522888,3567300
2016-02-25,48.930000,49.430000,48.869999,49.360001,38.821747,3652800
2016-02-26,49.340000,49.360001,48.099998,48.189999,37.901546,5511300
2016-02-29,48.279999,48.669998,48.110001,48.180000,37.893688,6043300
2016-03-01,48.320000,48.599998,47.270000,47.490002,37.350994,6889000
2016-03-02,47.549999,48.070000,46.560001,47.980000,37.736382,5464500
2016-03-03,48.139999,48.189999,47.470001,48.189999,37.901546,5192500
2016-03-04,47.880001,48.770000,47.740002,48.630001,38.247612,5305400
2016-03-07,48.549999,48.720001,48.070000,48.490002,38.137493,5271100
2016-03-08,48.669998,49.290001,48.430000,49.150002,38.656593,5362900
2016-03-09,49.139999,49.689999,49.020000,49.560001,38.979061,4501100
2016-03-10,49.660000,49.930000,49.290001,49.869999,39.222870,6727700
2016-03-11,49.950001,50.139999,49.680000,49.790001,39.159954,4940500
2016-03-14,49.889999,50.060001,49.540001,49.950001,39.285793,3787800
2016-03-15,49.680000,50.419998,49.599998,50.330002,39.584656,4564500
2016-03-16,50.200001,50.830002,49.740002,50.680000,39.859943,4506500
2016-03-17,50.599998,51.000000,50.360001,50.820000,39.970043,5230400
2016-03-18,50.959999,51.009998,50.549999,50.759998,39.922859,8057900
2016-03-21,50.500000,50.830002,50.119999,50.480000,39.702629,3499800
2016-03-22,50.459999,50.770000,50.209999,50.270000,39.537468,2882500
2016-03-23,50.310001,50.869999,50.070000,50.669998,39.852077,3151600
2016-03-24,50.669998,50.980000,50.580002,50.900002,40.032967,3587200
2016-03-28,50.830002,51.169998,50.529999,50.580002,39.781284,3063200
2016-03-29,50.750000,51.220001,50.570000,51.200001,40.268925,3943800
2016-03-30,51.209999,51.250000,50.830002,51.209999,40.276783,2851400
2016-03-31,51.220001,51.730000,51.119999,51.730000,40.685764,4999000
2016-04-01,51.500000,51.790001,51.160000,51.700001,40.662170,3728500
2016-04-04,51.709999,51.779999,51.139999,51.529999,40.528465,4262100
2016-04-05,51.290001,51.580002,50.619999,50.650002,39.836338,4815000
2016-04-06,50.610001,50.660000,50.009998,50.360001,39.608253,6000200
2016-04-07,50.290001,50.860001,50.209999,50.669998,39.852077,3670900
2016-04-08,50.790001,51.119999,50.650002,50.730000,39.899258,3778500
2016-04-11,50.580002,50.990002,50.450001,50.470001,39.694778,2965700
2016-04-12,50.540001,50.830002,50.290001,50.770000,39.930725,3475500
2016-04-13,50.860001,50.910000,50.070000,50.360001,39.608253,3029400
2016-04-14,50.360001,50.560001,50.160000,50.450001,39.679043,2993300
2016-04-15,50.439999,50.799999,50.360001,50.680000,39.859943,2689500
2016-04-18,50.680000,50.910000,50.360001,50.910000,40.040829,3017200
2016-04-19,50.980000,51.060001,50.580002,51.000000,40.111618,3499500
2016-04-20,50.959999,51.110001,49.740002,49.770000,39.144222,4965300
2016-04-21,49.750000,49.770000,48.720001,48.939999,38.491425,6023300
2016-04-22,49.180000,49.450001,49.080002,49.259998,38.743103,3285100
2016-04-25,49.189999,49.369999,48.900002,49.270000,38.750965,4136800
2016-04-26,49.110001,49.430000,49.040001,49.200001,38.695911,4334700
2016-04-27,49.580002,49.950001,48.759998,49.540001,38.963322,5822100
2016-04-28,49.279999,49.959999,49.130001,49.950001,39.285793,4577100
2016-04-29,49.779999,50.119999,49.270000,50.099998,39.403759,5558600
2016-05-02,50.250000,50.689999,50.090000,50.410000,39.647579,5694600
2016-05-03,50.349998,50.650002,50.270000,50.500000,39.718361,3856300
2016-05-04,50.320000,51.540001,50.320000,51.360001,40.394764,6279400
2016-05-05,51.150002,51.560001,50.340000,50.619999,39.812744,7703300
2016-05-06,49.150002,49.560001,48.830002,49.490002,38.924007,23170100
2016-05-09,49.650002,50.180000,49.560001,49.810001,39.175686,7855400
2016-05-10,50.009998,50.330002,49.650002,50.139999,39.435223,6568700
