Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,36.029999,36.430000,35.110001,36.270000,26.370516,4653200
2016-01-05,36.500000,36.880001,35.919998,36.330002,26.414139,3092700
2016-01-06,35.650002,35.919998,34.330002,34.750000,25.265383,4120900
2016-01-07,34.049999,34.810001,33.759998,34.540001,25.112696,5974800
2016-01-08,34.380001,34.529999,32.160000,32.540001,23.658577,9802300
2016-01-11,33.119999,33.119999,30.650000,31.350000,22.793373,7834300
2016-01-12,31.719999,31.940001,30.420000,31.570000,22.953325,6090000
2016-01-13,31.590000,32.450001,30.950001,31.070000,22.589792,4734000
2016-01-14,31.190001,32.430000,30.450001,32.110001,23.345938,5229900
2016-01-15,30.480000,31.240000,29.910000,30.889999,22.458925,8660100
2016-01-19,31.459999,31.730000,29.389999,29.830000,21.688238,5466900
2016-01-20,29.190001,29.500000,27.750000,29.219999,21.244732,6750500
2016-01-21,29.450001,29.469999,27.410000,27.559999,20.037811,10447100
2016-01-22,28.240000,28.510000,27.030001,27.930000,20.306826,8349800
2016-01-25,27.610001,27.690001,26.350000,26.400000,19.194418,6461800
2016-01-26,26.500000,28.139999,26.500000,27.740000,20.168680,5956800
2016-01-27,27.400000,27.920000,26.730000,26.969999,19.608841,4982500
2016-01-28,27.170000,27.270000,26.250000,26.760000,19.456158,8695500
2016-01-29,29.020000,30.150000,28.049999,29.049999,21.121128,12431000
2016-02-01,29.059999,30.930000,28.600000,30.410000,22.109936,7997400
2016-02-02,29.709999,30.790001,28.270000,28.610001,20.801224,6713400
2016-02-03,30.180000,31.330000,29.770000,30.520000,22.189909,9232900
2016-02-04,30.570000,33.619999,30.559999,32.189999,23.404104,11677300
2016-02-05,31.340000,31.910000,30.500000,31.590000,23.426348,7819000
2016-02-08,30.910000,31.290001,29.690001,30.360001,22.514212,4843100
2016-02-09,29.969999,30.209999,28.950001,29.410000,21.809719,5722000
2016-02-10,29.730000,30.760000,29.660000,30.190001,22.388147,5512100
2016-02-11,29.480000,29.799999,28.639999,29.030001,21.527920,5989400
2016-02-12,29.510000,29.930000,28.510000,29.879999,22.158257,4263000
2016-02-16,30.180000,31.530001,29.850000,31.330000,23.233541,4966400
2016-02-17,31.510000,32.400002,31.420000,31.969999,23.708149,5097300
2016-02-18,31.830000,33.650002,31.540001,33.110001,24.553547,5550200
2016-02-19,32.439999,32.730000,31.020000,31.340000,23.240955,4411600
2016-02-22,31.980000,32.540001,31.570000,32.230000,23.900955,4554500
2016-02-23,32.040001,32.060001,30.660000,30.740000,22.796017,4239100
2016-02-24,30.370001,31.250000,29.230000,31.080000,23.048153,4672600
2016-02-25,31.010000,31.010000,29.799999,30.920000,22.929501,3040400
2016-02-26,31.320000,32.130001,31.110001,31.690001,23.500507,3485600
2016-02-29,31.639999,31.990000,31.250000,31.360001,23.255789,3555800
2016-03-01,31.799999,33.860001,31.650000,33.230000,24.642530,6653800
2016-03-02,33.279999,34.180000,32.820000,33.930000,25.161634,4881000
2016-03-03,33.740002,35.070000,33.689999,34.750000,25.769728,4239200
2016-03-04,34.919998,35.660000,34.419998,34.529999,25.606577,5198400
2016-03-07,34.230000,36.230000,33.770000,35.480000,26.311079,5139400
2016-03-08,35.240002,35.389999,34.130001,34.240002,25.391527,5744100
2016-03-09,34.360001,35.119999,33.900002,34.209999,25.369280,4585900
2016-03-10,34.330002,35.230000,33.970001,34.950001,25.918043,4281500
2016-03-11,35.660000,36.180000,35.250000,36.169998,26.822760,3333100
2016-03-14,35.700001,35.990002,34.450001,35.360001,26.222090,6751600
2016-03-15,35.349998,35.500000,33.910000,34.619999,25.673323,3614500
2016-03-16,34.270000,34.950001,33.799999,34.490002,25.576925,4212700
2016-03-17,34.680000,35.549999,34.450001,34.930000,25.903212,4231600
2016-03-18,35.169998,36.990002,34.959999,36.570000,27.119400,11672900
2016-03-21,36.360001,36.950001,36.060001,36.540001,27.097151,2886800
2016-03-22,36.310001,37.450001,36.099998,37.040001,27.467934,4086200
