Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,137.660004,141.949997,126.419998,130.490005,121.215500,41921100
2016-02-01,131.619995,133.880005,115.629997,130.690002,121.401276,34610900
2016-03-01,131.869995,144.690002,130.250000,138.990005,129.111359,32145900
2016-04-01,138.539993,148.000000,137.830002,140.770004,131.406097,34134200
2016-05-01,141.679993,142.330002,128.389999,132.160004,123.368835,39744100
2016-06-01,132.160004,134.729996,122.910004,131.339996,122.603378,44164000
2016-07-01,131.250000,143.179993,128.550003,131.339996,123.205910,38102100
2016-08-01,131.460007,131.679993,124.000000,125.080002,117.333603,37747100
2016-09-01,124.900002,129.619995,122.519997,125.309998,117.549370,32899600
2016-10-01,124.739998,125.570000,117.500000,121.860001,114.913979,32744900
2016-11-01,122.440002,146.089996,114.849998,142.529999,134.405792,47221200
2016-12-01,142.380005,148.259995,141.820007,143.770004,135.575104,24942900
2017-01-01,144.539993,154.970001,140.500000,154.139999,146.019943,32960600
2017-02-01,155.000000,165.880005,154.369995,164.820007,156.137375,39589300
2017-03-01,166.169998,170.789993,158.669998,165.380005,156.667831,36215200
2017-04-01,165.380005,184.449997,163.869995,177.889999,169.181229,26981500
2017-05-01,178.500000,185.000000,174.960007,182.350006,173.422882,31317000
2017-06-01,182.789993,194.940002,182.690002,188.130005,178.919937,36693700
2017-07-01,189.210007,194.380005,179.559998,186.210007,177.709488,26219000
2017-08-01,187.000000,196.479996,186.020004,196.039993,187.090729,27995400
2017-09-01,196.039993,198.979996,179.399994,189.880005,181.211914,38394400
2017-10-01,191.210007,212.070007,182.309998,209.210007,200.383881,38007000
2017-11-01,210.029999,236.039993,208.399994,234.960007,225.047531,35015700
2017-12-01,235.500000,236.389999,222.250000,225.009995,215.517288,30283600
2018-01-01,225.000000,267.950012,223.750000,247.850006,238.111115,35338700
2018-02-01,247.419998,248.919998,224.610001,235.380005,226.131119,30276400
2018-03-01,234.649994,236.649994,215.520004,219.699997,211.067200,31144000
2018-04-01,221.360001,245.800003,217.490005,235.990005,227.452881,38199000
2018-05-01,235.830002,237.940002,219.960007,221.419998,213.409943,26937700
2018-06-01,222.779999,246.820007,220.800003,238.029999,229.419067,29681700
2018-07-01,237.970001,253.889999,235.380005,253.000000,244.652802,24187800
2018-08-01,255.000000,268.130005,250.009995,264.730011,255.995758,19357200
2018-09-01,264.170013,276.000000,260.799988,274.049988,265.008301,25035900
2018-10-01,274.760010,283.059998,259.720001,275.570007,267.217957,31534800
2018-11-01,278.570007,294.410004,264.299988,290.070007,281.278503,29382900
2018-12-01,292.950012,300.570007,246.570007,262.630005,254.670166,33918300
2019-01-01,258.410004,305.989990,241.179993,303.000000,294.562378,39511500
2019-02-01,301.260010,317.989990,297.700012,300.730011,292.355591,27717900
2019-03-01,303.869995,312.410004,279.220001,286.980011,278.988495,34117700
2019-04-01,289.799988,293.649994,227.160004,263.029999,256.376892,61958000
2019-05-01,262.260010,280.250000,255.429993,277.980011,270.948730,34944800
2019-06-01,277.429993,294.859985,273.799988,282.209991,275.071747,30972700
2019-07-01,283.899994,312.480011,277.149994,294.609985,287.988312,30299900
2019-08-01,294.420013,296.269989,250.190002,261.519989,255.642044,27715700
2019-09-01,259.809998,261.959991,235.449997,240.100006,234.703506,34714600
2019-10-01,241.350006,275.690002,234.690002,269.079987,263.878662,37198500
2019-11-01,269.320007,307.380005,266.529999,288.660004,283.080170,29891200
2019-12-01,289.619995,306.600006,279.649994,302.029999,296.191681,24546400
2020-01-01,302.670013,309.100006,261.690002,265.279999,260.881348,33558500
2020-02-01,266.109985,304.519989,249.350006,257.089996,252.827179,36031400
2020-03-01,259.600006,297.519989,171.029999,227.039993,223.275421,70547500
2020-04-01,217.009995,285.980011,199.169998,280.730011,277.102661,41743800
2020-05-01,275.339996,296.690002,262.239990,294.109985,290.309753,24388400
2020-06-01,293.230011,301.660004,250.880005,262.980011,259.581970,32290400
2020-07-01,267.190002,285.309998,253.750000,273.799988,271.119019,26884000
2020-08-01,275.220001,288.000000,266.799988,281.519989,278.763428,20061000
2020-09-01,278.019989,284.369995,244.100006,268.589996,265.960083,27486600
2020-10-01,268.589996,311.750000,264.440002,272.799988,271.092621,24746100
2020-11-01,278.190002,338.200012,270.440002,311.519989,309.570313,33220500
2020-12-01,317.000000,326.899994,298.600006,321.089996,319.080383,24004300
2021-01-01,321.109985,340.980011,288.010010,296.980011,295.991791,24738700
