Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,16.000000,18.080000,12.120000,17.709999,17.500145,468019400
2020-05-01,17.330000,20.980000,15.430000,20.469999,20.227442,220471800
2020-06-01,20.549999,24.400000,20.000000,22.219999,21.956705,178123000
2020-07-01,22.320000,27.719999,21.870001,27.240000,27.016270,148450200
2020-08-01,27.240000,31.240000,27.010000,29.850000,29.604836,79827900
2020-09-01,29.660000,31.559999,28.580000,30.540001,30.289169,103381400
2020-10-01,30.719999,34.959999,30.260000,33.389999,33.115757,93473300
2020-11-01,34.000000,41.480000,33.869999,38.070000,37.848251,138911800
2020-12-01,38.639999,39.430000,36.520000,37.720001,37.500290,93211600
2021-01-01,38.349998,41.939999,34.209999,38.500000,38.395355,111614300
