Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,66.879997,68.440002,56.360001,62.240002,53.050072,173549300
2016-02-01,61.970001,68.580002,59.799999,67.699997,58.426350,128153700
2016-03-01,68.440002,77.250000,67.339996,76.540001,66.055443,142001200
2016-04-01,75.650002,80.889999,73.699997,77.720001,67.073799,121780600
2016-05-01,77.349998,78.070000,69.040001,72.510002,63.187641,112144400
2016-06-01,71.980003,78.699997,70.529999,75.809998,66.063354,106062600
2016-07-01,75.379997,84.290001,73.459999,82.760002,72.119827,103865800
2016-08-01,82.760002,84.730003,80.919998,81.949997,72.101913,74539900
2016-09-01,81.589996,88.980003,79.930000,88.769997,78.102356,99198200
2016-10-01,88.230003,89.870003,82.709999,83.459999,73.430481,105556900
2016-11-01,83.470001,96.440002,80.330002,95.559998,84.818550,121009500
2016-12-01,96.000000,97.400002,91.000000,92.739998,82.315544,88839100
2017-01-01,94.000000,99.459999,92.199997,95.660004,84.907318,94104300
2017-02-01,95.809998,99.199997,92.110001,96.660004,86.506783,85107800
2017-03-01,98.199997,98.970001,90.339996,92.760002,83.016449,142419000
2017-04-01,92.430000,105.980003,91.000000,102.260002,91.518555,111612100
2017-05-01,102.650002,105.940002,97.739998,105.430000,95.139336,103921000
2017-06-01,105.769997,108.180000,102.300003,107.459999,96.971191,105087500
2017-07-01,106.510002,114.900002,105.110001,113.949997,102.827744,86813400
2017-08-01,114.269997,118.830002,112.089996,117.489998,106.787491,66522800
2017-09-01,117.489998,125.550003,116.500000,124.709999,113.349815,64132400
2017-10-01,124.400002,140.440002,123.949997,135.800003,123.429573,92524700
2017-11-01,135.669998,141.330002,133.809998,141.149994,129.057465,61119100
2017-12-01,141.600006,158.649994,138.380005,157.580002,144.079849,74722200
2018-01-01,158.300003,173.240005,155.399994,162.779999,148.834396,134897200
2018-02-01,161.240005,164.600006,142.850006,154.630005,142.038834,126876000
2018-03-01,153.669998,159.339996,143.630005,147.380005,135.379181,125301400
2018-04-01,146.440002,161.100006,138.050003,144.360001,132.605118,118197600
2018-05-01,143.080002,161.600006,138.149994,151.910004,140.242874,91621300
2018-06-01,153.300003,159.190002,132.679993,135.669998,125.250175,90552600
2018-07-01,133.800003,146.699997,133.199997,143.800003,132.755753,98578900
2018-08-01,142.970001,143.770004,129.429993,138.850006,128.971878,96097600
2018-09-01,137.860001,157.720001,136.929993,152.490005,141.641495,80648700
2018-10-01,153.610001,159.369995,112.059998,121.320000,112.689018,181855500
2018-11-01,122.589996,135.970001,120.940002,135.669998,126.821266,126414800
2018-12-01,141.880005,142.410004,116.089996,127.070000,118.782188,110482700
2019-01-01,124.029999,137.720001,120.440002,133.160004,124.474976,119268900
2019-02-01,133.029999,142.550003,126.550003,137.339996,129.208237,78957600
2019-03-01,138.860001,139.770004,129.229996,135.490005,127.467789,81109400
2019-04-01,137.690002,144.770004,134.089996,139.419998,131.165115,83893300
2019-05-01,139.580002,139.929993,118.739998,119.809998,113.399422,107906500
2019-06-01,119.910004,137.270004,119.760002,136.289993,128.997604,80059200
2019-07-01,139.300003,140.619995,128.449997,131.669998,124.624809,90354900
2019-08-01,131.639999,133.190002,111.750000,119.000000,113.499420,89144500
2019-09-01,117.900002,133.990005,115.400002,126.309998,120.471527,79539300
2019-10-01,127.400002,141.630005,117.250000,137.800003,131.430420,99891300
2019-11-01,139.369995,148.470001,139.229996,144.729996,139.125107,63786700
2019-12-01,145.199997,148.929993,138.559998,147.679993,141.960861,54988100
2020-01-01,149.000000,150.550003,130.539993,131.350006,126.263268,64504300
2020-02-01,131.440002,140.500000,119.029999,124.239998,120.266350,73414400
2020-03-01,125.050003,129.559998,87.500000,116.040001,112.328613,157650200
2020-04-01,112.089996,129.600006,108.599998,116.379997,112.657738,116563800
2020-05-01,114.000000,124.830002,100.220001,120.129997,117.355423,84708000
2020-06-01,119.860001,139.940002,117.610001,126.500000,123.578293,84155400
2020-07-01,129.380005,141.080002,125.120003,132.880005,129.810959,66949200
2020-08-01,132.300003,146.199997,130.669998,142.309998,140.064316,57363600
2020-09-01,141.669998,156.250000,140.910004,149.149994,146.796371,74833100
2020-10-01,149.919998,171.259995,143.750000,157.050003,154.571716,75741300
2020-11-01,159.199997,178.320007,155.229996,173.589996,171.894287,67278800
2020-12-01,175.389999,183.809998,172.279999,182.020004,180.241928,57893500
2021-01-01,183.000000,200.169998,179.339996,182.839996,181.053925,64761800
