Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,115.019997,115.410004,107.070000,113.070000,100.923004,78174600
2016-02-01,112.269997,119.860001,106.820000,115.529999,103.118729,44956800
2016-03-01,116.000000,122.540001,115.300003,119.150002,106.349831,36119900
2016-04-01,118.739998,123.169998,116.650002,117.860001,105.792976,35819800
2016-05-01,117.529999,128.139999,116.889999,126.610001,113.647095,33294800
2016-06-01,126.110001,130.770004,121.080002,130.710007,117.327339,31975900
2016-07-01,131.000000,131.000000,125.239998,125.260002,113.075737,25702300
2016-08-01,124.250000,127.500000,122.699997,126.930000,114.583282,27405500
2016-09-01,126.959999,128.339996,123.639999,125.650002,113.427788,26995000
2016-10-01,125.440002,128.559998,121.480003,127.000000,115.281425,34113800
2016-11-01,127.250000,129.570007,123.080002,128.000000,116.189125,36801900
2016-12-01,128.320007,133.889999,127.709999,132.119995,119.928986,31499700
2017-01-01,132.740005,133.399994,128.979996,131.490005,119.981064,28685500
2017-02-01,128.869995,139.350006,127.150002,138.169998,126.076401,25188500
2017-03-01,139.110001,140.559998,134.800003,136.250000,124.324455,29895400
2017-04-01,136.369995,140.389999,135.429993,137.250000,125.866249,27510700
2017-05-01,137.279999,143.259995,136.000000,143.190002,131.313583,28260900
2017-06-01,143.610001,148.320007,143.210007,145.380005,133.321930,30298100
2017-07-01,145.800003,148.380005,142.649994,146.460007,134.974289,27235000
2017-08-01,146.850006,150.279999,140.539993,141.419998,130.329483,28788000
2017-09-01,141.470001,147.020004,133.820007,142.550003,131.370880,39888400
2017-10-01,142.550003,156.000000,142.380005,150.820007,139.691254,30902900
2017-11-01,150.529999,153.470001,147.270004,152.110001,140.886047,27612800
2017-12-01,151.910004,153.380005,144.300003,146.130005,135.347321,29327600
2018-01-01,146.419998,157.500000,141.399994,156.149994,145.333862,39159700
2018-02-01,155.839996,156.899994,140.089996,141.919998,132.089569,38083100
2018-03-01,142.029999,145.080002,134.380005,136.770004,127.296288,31346900
2018-04-01,136.639999,139.009995,131.139999,135.669998,126.931747,36130900
2018-05-01,135.679993,136.820007,128.820007,130.690002,122.272499,34498500
2018-06-01,131.759995,134.000000,123.959999,127.019997,118.838882,42141900
2018-07-01,126.629997,140.240005,126.300003,139.720001,131.478378,37140300
2018-08-01,139.669998,140.399994,131.809998,135.240005,127.262634,28431500
2018-09-01,135.179993,141.220001,132.259995,133.639999,125.757019,24395200
2018-10-01,134.229996,136.940002,120.500000,124.910004,118.157539,48864600
2018-11-01,125.290001,135.270004,124.339996,133.740005,126.510201,31959000
2018-12-01,134.179993,135.169998,119.540001,129.179993,122.196701,37736900
2019-01-01,127.650002,134.429993,124.449997,133.050003,126.587158,36174200
2019-02-01,133.199997,136.070007,128.580002,133.899994,127.395859,31596200
2019-03-01,134.710007,140.179993,131.630005,140.080002,133.275665,30421000
2019-04-01,140.610001,145.240005,135.720001,145.199997,138.899582,28731000
2019-05-01,142.369995,148.699997,141.410004,146.070007,139.731857,27055500
2019-06-01,144.970001,152.000000,144.970001,147.289993,140.898911,31544200
2019-07-01,148.410004,154.259995,145.369995,152.839996,146.945526,32661100
2019-08-01,152.389999,160.229996,147.479996,156.279999,150.252869,36817900
2019-09-01,155.529999,162.190002,155.529999,161.440002,155.213867,27596800
2019-10-01,161.830002,162.440002,147.380005,152.419998,147.234116,39686100
2019-11-01,152.960007,154.139999,147.339996,151.479996,146.326080,30073400
2019-12-01,151.850006,156.979996,147.919998,155.660004,150.363876,29024400
2020-01-01,155.850006,157.089996,149.089996,151.990005,147.534424,34094200
2020-02-01,152.559998,167.740005,142.240005,145.029999,140.778442,39077300
2020-03-01,145.130005,153.559998,87.349998,111.690002,108.415810,77981300
2020-04-01,105.949997,124.809998,100.750000,108.010002,105.637474,63783600
2020-05-01,105.570000,124.870003,93.099998,121.940002,119.261490,73291000
2020-06-01,121.120003,142.750000,117.169998,126.620003,123.838692,56962700
2020-07-01,126.480003,137.580002,122.430000,127.239998,125.197990,36383200
2020-08-01,127.589996,134.830002,121.320000,125.000000,122.993942,32763800
2020-09-01,124.019997,130.229996,111.930000,116.120003,114.256454,38135300
2020-10-01,116.500000,134.729996,114.209999,129.910004,128.671463,42860000
2020-11-01,132.270004,154.970001,130.259995,147.830002,146.420609,44462200
2020-12-01,151.440002,155.529999,149.160004,153.919998,152.452530,34462400
2021-01-01,152.440002,158.750000,144.000000,145.669998,145.014923,27371800
