Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,125.349998,129.470001,123.730003,129.050003,112.483284,25371800
2016-02-01,129.149994,132.190002,122.400002,126.419998,110.859932,27765300
2016-03-01,126.570000,128.750000,122.769997,126.059998,110.544235,25610900
2016-04-01,124.750000,129.589996,119.230003,125.230003,109.816399,22112300
2016-05-01,125.250000,133.240005,124.849998,128.539993,113.409798,23256000
2016-06-01,128.639999,138.410004,128.389999,138.389999,122.100388,22220400
2016-07-01,138.690002,140.470001,129.539993,131.070007,115.642014,18115500
2016-08-01,130.679993,134.699997,129.649994,131.039993,116.303825,17517800
2016-09-01,130.539993,132.619995,121.750000,125.180000,111.102814,19900500
2016-10-01,124.690002,124.699997,117.889999,120.019997,106.523102,19952700
2016-11-01,119.839996,119.989998,111.239998,115.559998,103.252701,26105400
2016-12-01,115.129997,122.529999,112.279999,120.019997,107.237724,20441500
2017-01-01,120.570000,122.959999,118.410004,120.000000,107.219841,16308200
2017-02-01,119.639999,137.000000,119.570000,136.809998,123.050301,23335400
2017-03-01,136.449997,139.300003,134.789993,134.830002,121.269424,17303400
2017-04-01,135.130005,136.500000,132.339996,133.690002,120.244087,15101800
2017-05-01,134.110001,136.619995,127.620003,135.729996,122.812904,16268900
2017-06-01,135.809998,141.759995,132.779999,133.240005,120.559883,13992700
2017-07-01,133.000000,135.080002,130.050003,133.490005,120.786064,13173800
2017-08-01,133.720001,139.309998,131.229996,138.529999,126.149803,13726700
2017-09-01,138.520004,139.339996,127.000000,131.910004,120.121445,16006900
2017-10-01,131.960007,132.570007,124.089996,126.529999,115.222221,23779900
2017-11-01,128.850006,140.369995,125.900002,139.289993,127.676025,18489100
2017-12-01,139.300003,150.399994,137.520004,148.740005,136.338104,15098400
2018-01-01,148.789993,148.880005,139.729996,141.690002,129.875946,19358100
2018-02-01,141.580002,142.679993,124.980003,129.080002,119.009247,28227800
2018-03-01,129.080002,134.029999,123.639999,133.110001,122.724831,21178900
2018-04-01,132.440002,132.440002,113.570000,117.199997,108.056122,29647800
2018-05-01,116.809998,126.760002,115.000000,120.830002,112.342369,32477300
2018-06-01,121.110001,136.240005,119.860001,135.250000,125.749428,26881100
2018-07-01,134.190002,136.300003,127.339996,135.169998,125.675034,29553300
2018-08-01,134.809998,148.639999,132.669998,144.979996,135.764130,24198400
2018-09-01,144.979996,153.380005,144.660004,150.410004,140.848969,15694200
2018-10-01,150.479996,155.229996,141.529999,148.449997,139.013550,26312000
2018-11-01,148.220001,167.699997,147.940002,165.619995,156.092697,21729500
2018-12-01,165.389999,167.539993,144.880005,154.139999,145.273087,20105300
2019-01-01,152.990005,155.759995,143.580002,148.380005,139.844437,23721100
2019-02-01,150.000000,161.350006,149.199997,158.029999,149.871338,20503600
2019-03-01,158.210007,161.669998,155.029999,160.460007,152.175903,16598800
2019-04-01,159.660004,160.000000,151.309998,159.729996,151.483566,21701000
2019-05-01,153.589996,154.380005,144.589996,148.809998,142.009659,26642500
2019-06-01,148.910004,160.490005,147.320007,153.110001,146.113159,17892900
2019-07-01,153.770004,166.899994,151.300003,162.600006,155.169495,19245600
2019-08-01,153.699997,165.160004,152.690002,158.160004,151.906113,21320000
2019-09-01,158.070007,164.899994,149.130005,151.869995,145.864838,22153100
2019-10-01,152.440002,153.440002,144.119995,147.690002,141.850098,23214600
2019-11-01,147.330002,149.740005,144.309998,148.229996,143.376770,16595900
2019-12-01,147.940002,153.639999,146.699997,153.539993,148.512909,18406600
2020-01-01,153.380005,162.169998,150.949997,157.309998,152.159485,20599100
2020-02-01,157.649994,174.169998,154.880005,159.419998,155.229050,32087600
2020-03-01,163.100006,214.259995,156.679993,173.250000,168.695465,81433200
2020-04-01,171.880005,198.750000,170.979996,186.440002,181.538727,44129300
2020-05-01,193.000000,210.490005,189.029999,206.250000,201.940323,39270200
2020-06-01,206.210007,221.699997,194.000000,219.369995,214.786179,38753700
2020-07-01,218.229996,238.000000,216.800003,236.509995,231.568008,24696000
2020-08-01,230.220001,239.869995,215.619995,223.500000,219.894714,33261400
2020-09-01,223.940002,225.380005,204.610001,210.169998,206.779755,31023200
2020-10-01,209.529999,223.360001,204.880005,207.250000,203.906845,25638000
2020-11-01,215.000000,221.839996,192.899994,202.960007,199.686066,37653300
2020-12-01,202.369995,205.899994,198.649994,201.919998,199.688858,26335200
2021-01-01,201.899994,231.110001,191.830002,209.460007,207.145569,36296200
