Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,46.410000,47.770000,32.709999,39.080002,33.848621,333669800
2016-02-01,38.240002,39.000000,31.049999,33.830002,29.301395,365502000
2016-03-01,34.070000,44.400002,33.340000,40.270000,35.151043,272821800
2016-04-01,39.389999,49.349998,38.189999,47.790001,41.715130,199608600
2016-05-01,47.560001,47.689999,41.119999,43.790001,38.223598,164380000
2016-06-01,43.369999,48.450001,40.520000,43.599998,38.276318,187447600
2016-07-01,43.849998,44.419998,39.669998,40.820000,35.835770,163249800
2016-08-01,40.410000,43.689999,38.799999,41.049999,36.253323,163437300
2016-09-01,40.900002,44.160000,39.000000,43.470001,38.390541,184749200
2016-10-01,43.680000,45.840000,40.369999,43.450001,38.372879,174717400
2016-11-01,43.970001,49.320000,42.349998,48.520000,43.098316,181170600
2016-12-01,50.139999,53.169998,47.730000,50.139999,44.537292,136361100
2017-01-01,50.820000,51.680000,47.189999,48.759998,43.311508,117670400
2017-02-01,49.000000,50.980000,46.709999,47.570000,42.254467,148912500
2017-03-01,48.000000,50.410000,43.259998,49.869999,44.534389,207331800
2017-04-01,49.900002,50.619999,46.860001,47.910000,42.784088,127498500
2017-05-01,47.900002,48.330002,44.090000,44.689999,39.908596,176506900
2017-06-01,44.799999,46.720001,43.020000,43.959999,39.476444,197560800
2017-07-01,44.209999,45.939999,42.500000,45.369999,40.742619,148564100
2017-08-01,45.330002,46.110001,42.270000,43.660000,39.446457,147087600
2017-09-01,43.759998,50.830002,43.480000,50.049999,45.219769,122661700
2017-10-01,49.549999,52.230000,48.700001,51.150002,46.213615,122609400
2017-11-01,51.810001,54.220001,48.970001,50.880001,46.215549,137073300
2017-12-01,51.509998,56.369999,50.080002,54.889999,49.857929,109758300
2018-01-01,55.090000,61.320000,54.820000,58.810001,53.418560,110956800
2018-02-01,59.000000,59.970001,50.180000,54.310001,49.331100,132775800
2018-03-01,54.500000,59.820000,52.779999,59.290001,54.144398,147689000
2018-04-01,59.270000,67.300003,56.570000,65.500000,59.815445,185823500
2018-05-01,65.050003,71.709999,64.320000,67.389999,61.541416,155469100
2018-06-01,67.760002,70.989998,64.790001,69.620003,63.840263,149341000
2018-07-01,68.910004,72.940002,68.199997,72.169998,66.178574,119577000
2018-08-01,71.519997,74.430000,67.709999,73.430000,67.610474,114781200
2018-09-01,73.930000,78.680000,69.419998,77.400002,71.265831,108011700
2018-10-01,77.769997,80.239998,65.000000,69.900002,64.360229,153251700
2018-11-01,70.199997,71.260002,62.410000,66.180000,61.191463,150582000
2018-12-01,68.099998,69.720001,56.750000,62.349998,57.650150,136787900
2019-01-01,60.689999,68.309998,60.430000,67.690002,62.587635,132754500
2019-02-01,68.339996,71.010002,65.260002,67.849998,62.735561,105631700
2019-03-01,68.089996,70.059998,64.910004,66.739998,61.989426,161143200
2019-04-01,67.489998,68.220001,62.080002,63.119999,58.627102,154294900
2019-05-01,63.730000,64.529999,57.820000,58.959999,54.763214,148524500
2019-06-01,59.070000,63.299999,56.980000,61.000000,56.940208,126853900
2019-07-01,62.000000,62.810001,57.020000,59.080002,55.147999,125728900
2019-08-01,58.080002,60.279999,50.130001,52.180000,48.954746,140624400
2019-09-01,51.049999,63.220001,50.740002,56.980000,53.458054,159866500
2019-10-01,57.500000,57.970001,52.299999,55.200001,51.788082,136491800
2019-11-01,55.650002,61.389999,55.470001,59.939999,56.660431,125115400
2019-12-01,60.240002,65.739998,58.610001,65.029999,61.471939,122017200
2020-01-01,65.279999,67.129997,59.119999,59.430000,56.178337,124243600
2020-02-01,59.410000,61.150002,45.119999,48.419998,45.770741,157156000
2020-03-01,49.320000,51.490002,20.840000,30.799999,29.320871,343213100
2020-04-01,29.320000,43.580002,28.830000,42.099998,40.078205,243841500
2020-05-01,40.540001,45.119999,37.779999,42.180000,40.154366,155868000
2020-06-01,42.259998,50.790001,39.919998,42.020000,40.402065,166530100
2020-07-01,42.349998,42.869999,35.900002,37.389999,35.950336,143092200
2020-08-01,37.270000,41.830002,36.470001,37.889999,36.802746,128300100
2020-09-01,37.419998,37.599998,32.169998,32.840000,31.897657,173477200
2020-10-01,32.230000,36.000000,27.530001,28.620001,27.798748,250729200
2020-11-01,29.420000,45.360001,28.510000,39.560001,38.897308,292005800
2020-12-01,40.900002,44.349998,38.770000,39.990002,39.320103,238296700
2021-01-01,40.500000,48.290001,39.180000,40.029999,39.359436,240929600
