Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,18.795000,19.070000,16.129999,16.754999,16.754999,40399800
2016-02-01,16.625000,19.309999,16.344999,18.875000,18.875000,34850800
2016-03-01,19.010000,20.900000,18.900000,20.385000,20.385000,36804600
2016-04-01,20.320000,21.709999,19.990000,21.420000,21.420000,20067000
2016-05-01,21.420000,24.950001,21.125000,24.754999,24.754999,30202000
2016-06-01,24.885000,25.040001,22.985001,24.504999,24.504999,34767600
2016-07-01,24.540001,25.655001,24.299999,25.219999,25.219999,18923800
2016-08-01,25.320000,26.850000,24.940001,25.510000,25.510000,19927600
2016-09-01,25.605000,27.424999,24.709999,26.780001,26.780001,33849000
2016-10-01,26.875000,27.264999,25.719999,26.235001,26.235001,27765800
2016-11-01,26.309999,28.490000,25.370001,27.360001,27.360001,29419200
2016-12-01,27.465000,28.459999,27.055000,27.705000,27.705000,21874600
2017-01-01,27.790001,28.985001,27.639999,28.370001,28.370001,19606000
2017-02-01,28.525000,30.280001,27.740000,29.570000,29.570000,22174000
2017-03-01,29.830000,31.570000,29.584999,30.965000,30.965000,22102400
2017-04-01,31.045000,31.410000,29.594999,30.900000,30.900000,16560000
2017-05-01,31.020000,31.670000,28.889999,31.190001,31.190001,24434500
2017-06-01,31.360001,32.000000,30.840000,31.790001,31.790001,26436900
2017-07-01,31.889999,32.169998,30.299999,31.490000,31.490000,21509800
2017-08-01,31.600000,32.779999,30.459999,32.689999,32.689999,25557500
2017-09-01,32.830002,34.849998,31.809999,34.369999,34.369999,26669600
2017-10-01,34.490002,36.650002,34.389999,36.290001,36.290001,21395300
2017-11-01,36.410000,43.209999,35.320000,43.160000,43.160000,26933100
2017-12-01,43.130001,44.759998,41.680000,43.189999,43.189999,23920000
2018-01-01,43.520000,46.090000,43.029999,44.070000,44.070000,20289600
2018-02-01,43.990002,50.709999,39.209999,46.810001,46.810001,33300000
2018-03-01,46.820000,51.770000,45.450001,50.930000,50.930000,30630300
2018-04-01,50.930000,52.730000,49.119999,51.080002,51.080002,25329000
2018-05-01,51.080002,56.779999,50.869999,54.830002,54.830002,50915300
2018-06-01,55.180000,60.430000,54.630001,56.560001,56.560001,95847300
2018-07-01,56.570000,59.660000,55.700001,57.389999,57.389999,33244800
2018-08-01,55.959999,64.779999,55.880001,64.309998,64.309998,23202800
2018-09-01,64.709999,67.080002,50.070000,51.529999,51.529999,61384600
2018-10-01,51.480000,53.220001,46.279999,48.910000,48.910000,61669400
2018-11-01,49.099998,52.189999,46.849998,51.180000,51.180000,36140700
2018-12-01,51.939999,52.180000,44.610001,47.779999,47.779999,40316700
2019-01-01,46.900002,50.840000,46.650002,50.630001,50.630001,25839500
2019-02-01,50.520000,59.810001,50.119999,58.669998,58.669998,28091200
2019-03-01,58.880001,60.650002,57.500000,60.590000,60.590000,26253400
2019-04-01,60.959999,67.540001,60.959999,67.320000,67.320000,27393100
2019-05-01,67.269997,72.599998,64.699997,71.480003,71.480003,30829200
2019-06-01,71.529999,75.500000,70.910004,74.739998,74.739998,28762400
2019-07-01,75.510002,79.739998,73.570000,77.529999,77.529999,21702600
2019-08-01,77.279999,78.480003,72.900002,75.389999,75.389999,26400800
2019-09-01,75.220001,83.699997,73.620003,80.330002,80.330002,32379900
2019-10-01,80.330002,85.309998,76.349998,82.639999,82.639999,34473300
2019-11-01,83.260002,92.410004,80.709999,89.000000,89.000000,37225000
2019-12-01,88.680000,91.589996,86.610001,90.940002,90.940002,40869300
2020-01-01,91.400002,104.000000,91.120003,101.459999,101.459999,28828500
2020-02-01,102.199997,104.879997,79.919998,84.480003,84.480003,41916200
2020-03-01,84.120003,88.139999,55.689999,68.519997,68.519997,67639900
2020-04-01,64.910004,83.849998,61.509998,80.110001,80.110001,53482100
2020-05-01,78.570000,90.750000,76.279999,89.389999,89.389999,37222700
2020-06-01,89.339996,92.650002,78.550003,83.269997,83.269997,38311300
2020-07-01,83.480003,93.349998,80.849998,93.250000,93.250000,29428200
2020-08-01,93.449997,104.279999,93.120003,103.320000,103.320000,24995000
2020-09-01,103.330002,110.000000,100.070000,105.160004,105.160004,32474500
2020-10-01,106.180000,118.559998,105.660004,110.360001,110.360001,22847300
2020-11-01,111.900002,130.960007,110.169998,115.449997,115.449997,28944000
2020-12-01,116.000000,128.139999,111.900002,127.250000,127.250000,26277900
2021-01-01,127.849998,128.320007,106.680000,109.750000,109.750000,23948700
