Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,20.870001,21.290001,18.520000,20.129999,16.734879,51768800
2016-02-01,19.740000,21.090000,18.570000,20.680000,17.192114,47178600
2016-03-01,20.790001,22.700001,20.610001,22.540001,18.914728,43231100
2016-04-01,22.389999,22.780001,21.110001,21.870001,18.352488,57948300
2016-05-01,21.959999,23.750000,21.940001,23.670000,19.862984,57285000
2016-06-01,23.540001,26.690001,23.530001,26.660000,22.547623,60055800
2016-07-01,26.690001,28.990000,26.180000,28.790001,24.349062,50555200
2016-08-01,28.629999,28.860001,27.459999,28.120001,23.782413,47786300
2016-09-01,28.120001,28.660000,26.299999,27.330000,23.262812,60627100
2016-10-01,27.200001,27.260000,25.180000,26.150000,22.258415,55639200
2016-11-01,26.070000,26.070000,22.969999,25.430000,21.645565,67860000
2016-12-01,25.370001,26.860001,24.910000,26.559999,22.792631,64761500
2017-01-01,26.700001,27.280001,23.930000,24.330000,20.878937,54645500
2017-02-01,24.330000,26.030001,24.059999,25.639999,22.003124,40913900
2017-03-01,25.530001,26.309999,24.820000,26.270000,22.714275,56764600
2017-04-01,26.250000,28.330000,26.170000,27.730000,23.976656,40555800
2017-05-01,27.820000,29.049999,27.129999,28.670000,24.789429,47003900
2017-06-01,28.680000,29.250000,27.430000,27.950001,24.331936,72631000
2017-07-01,28.059999,29.190001,27.230000,28.590000,24.889086,140943500
2017-08-01,28.719999,29.900000,28.170000,29.719999,25.872808,51505200
2017-09-01,29.790001,30.139999,28.360001,28.820000,25.259144,44415600
2017-10-01,28.820000,29.580000,28.150000,28.480000,24.961143,35096200
2017-11-01,28.639999,29.410000,27.920000,28.129999,24.654390,37587900
2017-12-01,28.150000,28.590000,26.650000,27.209999,24.747196,45700900
2018-01-01,27.240000,27.299999,25.379999,26.410000,24.019600,52785800
2018-02-01,26.680000,27.400000,24.480000,24.770000,22.528044,73788000
2018-03-01,24.660000,26.620001,24.299999,26.480000,24.272755,53353100
2018-04-01,26.549999,27.889999,25.290001,27.100000,24.841074,44862500
2018-05-01,27.500000,28.980000,27.230000,28.120001,25.776052,51306800
2018-06-01,28.170000,29.240000,28.040001,29.030001,26.798191,44672800
2018-07-01,29.020000,29.469999,27.520000,29.120001,26.881271,49968800
2018-08-01,28.910000,29.480000,27.790001,28.490000,26.299700,59429100
2018-09-01,28.469999,29.040001,27.629999,28.370001,26.373356,41104300
2018-10-01,28.350000,28.750000,26.610001,27.570000,25.629662,47744300
2018-11-01,27.719999,28.860001,27.219999,28.459999,26.457024,35058000
2018-12-01,28.500000,28.910000,24.670000,25.900000,24.260078,50185400
2019-01-01,25.610001,30.049999,24.879999,29.240000,27.388599,56596000
2019-02-01,29.320000,30.379999,28.840000,29.570000,27.697702,39285100
2019-03-01,29.610001,31.000000,29.120001,30.580000,28.852057,34776700
2019-04-01,30.650000,31.150000,29.480000,31.120001,29.361542,42464200
2019-05-01,31.139999,31.690001,29.680000,30.090000,28.389744,38742300
2019-06-01,30.230000,32.590000,29.870001,31.610001,30.036001,37114900
2019-07-01,31.870001,33.830002,31.170000,33.330002,31.670357,43558300
2019-08-01,33.369999,33.770000,31.650000,33.270000,31.613338,36290400
2019-09-01,33.020000,34.240002,31.900000,33.970001,32.489140,44572700
2019-10-01,33.919998,36.040001,33.180000,35.139999,33.608131,55120800
2019-11-01,35.230000,35.549999,34.400002,35.180000,33.646393,43747800
2019-12-01,35.160000,35.450001,33.889999,34.669998,33.383404,39007900
2020-01-01,34.889999,36.910000,33.980000,36.310001,34.962551,53588300
2020-02-01,36.480000,38.880001,31.469999,32.470001,31.265053,45311300
2020-03-01,32.689999,35.849998,25.190001,32.380001,31.373125,81115900
2020-04-01,30.750000,37.110001,28.709999,34.700001,33.620987,56567600
2020-05-01,33.959999,35.110001,28.799999,34.480000,33.407825,62437800
2020-06-01,34.570000,37.500000,34.009998,35.389999,34.546032,63237700
2020-07-01,35.520000,40.840000,35.029999,40.189999,39.231564,47484600
2020-08-01,39.700001,40.360001,37.580002,38.549999,37.630672,33066800
2020-09-01,38.330002,39.520000,35.369999,36.900002,36.235111,40546400
2020-10-01,37.049999,40.619999,36.599998,37.990002,37.305470,34113900
2020-11-01,38.369999,43.450001,37.709999,38.060001,37.374210,45825800
2020-12-01,38.290001,40.580002,37.540001,39.970001,39.499294,41746700
2021-01-01,40.040001,41.200001,37.610001,39.560001,39.094120,38391400
