Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,299.750000,318.359985,281.850006,310.570007,279.435303,25752200
2016-02-01,310.049988,315.809998,255.449997,303.690002,273.245026,24882700
2016-03-01,306.239990,331.799988,294.049988,330.709991,297.556305,17723900
2016-04-01,328.309998,334.619995,316.299988,330.350006,298.921417,10699800
2016-05-01,331.100006,368.890015,326.559998,362.000000,327.560211,13836000
2016-06-01,360.970001,387.929993,360.209991,387.730011,352.631073,15952500
2016-07-01,387.820007,391.070007,370.010010,372.869995,339.116272,8880000
2016-08-01,373.929993,380.000000,361.220001,368.649994,335.278290,11429000
2016-09-01,368.410004,379.230011,348.100006,360.250000,329.211456,13551100
2016-10-01,360.630005,374.260010,342.279999,357.279999,326.497345,9971700
2016-11-01,357.779999,358.200012,314.549988,338.760010,309.572998,16000000
2016-12-01,338.450012,369.670013,327.369995,357.410004,328.384064,13248400
2017-01-01,357.290009,390.519989,355.179993,384.980011,353.715118,9067500
2017-02-01,385.000000,388.299988,368.570007,376.070007,345.528656,9257400
2017-03-01,375.980011,403.619995,361.899994,400.369995,369.836609,19787100
2017-04-01,400.940002,418.119995,396.940002,417.700012,385.844910,8522900
2017-05-01,417.690002,446.579987,416.299988,441.010010,407.377228,9951000
2017-06-01,441.700012,447.260010,416.720001,429.160004,398.297638,12795500
2017-07-01,431.540009,451.290009,416.640015,450.730011,418.316528,7667300
2017-08-01,452.250000,470.440002,437.320007,468.410004,434.725067,9570000
2017-09-01,468.239990,475.279999,430.709991,446.299988,416.054169,11857000
2017-10-01,447.329987,472.709991,439.540009,463.500000,432.088531,7431400
2017-11-01,464.970001,495.350006,461.299988,464.489990,433.011444,7994000
2017-12-01,464.750000,471.390015,441.000000,453.220001,424.257904,8796100
2018-01-01,453.529999,461.730011,428.299988,455.190002,426.101990,14359900
2018-02-01,452.690002,457.859985,384.220001,392.100006,367.043701,17093800
2018-03-01,393.010010,421.589996,370.790009,418.140015,393.718719,14499200
2018-04-01,419.119995,423.399994,399.920013,420.790009,396.213959,10066100
2018-05-01,420.790009,433.260010,379.660004,396.850006,373.672119,13310600
2018-06-01,397.190002,432.420013,390.739990,429.890015,407.170471,14463700
2018-07-01,429.339996,449.390015,423.170013,439.279999,416.064209,10035000
2018-08-01,437.000000,457.989990,426.000000,436.130005,413.080719,11812200
2018-09-01,434.329987,449.910004,421.500000,432.890015,412.155823,9040400
2018-10-01,433.260010,436.149994,374.390015,378.739990,360.599426,11832600
2018-11-01,379.820007,401.679993,374.239990,385.279999,366.826141,12199700
2018-12-01,387.450012,396.589996,335.290009,352.559998,337.650269,11321800
2019-01-01,349.279999,394.829987,343.579987,394.000000,377.337799,13588500
2019-02-01,393.450012,433.640015,372.750000,423.500000,405.590240,11797300
2019-03-01,424.459991,460.880005,420.000000,453.160004,436.499054,11464600
2019-04-01,443.559998,467.989990,440.720001,454.700012,437.982391,7392000
2019-05-01,453.600006,500.200012,449.529999,485.790009,467.929413,8912200
2019-06-01,487.609985,516.950012,471.799988,504.290009,488.250854,7628500
2019-07-01,509.040009,528.979980,484.239990,502.100006,486.130554,7232400
2019-08-01,529.479980,562.469971,504.910004,556.280029,538.587341,8896700
2019-09-01,555.380005,609.969971,525.380005,576.799988,560.937744,8836600
2019-10-01,574.840027,582.679993,553.669983,566.780029,551.193237,7455700
2019-11-01,565.330017,573.179993,519.369995,566.849976,551.261230,8948200
2019-12-01,564.809998,584.450012,543.109985,583.700012,570.160645,7609100
2020-01-01,583.909973,608.109985,575.010010,589.729980,576.050720,8099100
2020-02-01,592.559998,657.000000,563.549988,572.799988,559.513428,8906600
2020-03-01,577.880005,649.000000,477.869995,624.570007,612.609375,19123000
2020-04-01,608.179993,715.750000,580.690002,675.200012,662.269836,11606000
2020-05-01,670.340027,701.150024,639.429993,697.630005,684.270264,12504400
2020-06-01,699.869995,718.330017,647.760010,702.299988,691.628235,12274500
2020-07-01,703.039978,787.700012,697.280029,785.479980,773.544312,7785600
2020-08-01,776.640015,805.809998,754.919983,789.780029,777.778931,7309500
2020-09-01,790.159973,801.979980,729.390015,760.130005,751.167542,7006900
2020-10-01,764.260010,839.770020,719.859985,731.239990,722.618103,8263200
2020-11-01,740.250000,808.020020,686.770020,697.789978,689.562500,11449000
2020-12-01,706.590027,719.239990,671.900024,714.179993,708.254272,10400500
2021-01-01,718.340027,747.429993,660.719971,739.960022,733.820374,9315400
