Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,135.600006,136.889999,118.000000,124.790001,97.963409,126233100
2016-02-01,124.400002,134.919998,116.900002,131.029999,102.862000,106715800
2016-03-01,132.240005,153.100006,132.029999,151.449997,120.106667,105746700
2016-04-01,150.509995,153.520004,142.610001,145.940002,115.736954,94482500
2016-05-01,146.559998,153.809998,142.899994,153.740005,121.922707,75249000
2016-06-01,153.000000,155.479996,142.500000,151.779999,121.529945,76973700
2016-07-01,151.779999,163.600006,149.919998,160.619995,128.608139,69425000
2016-08-01,160.649994,164.949997,157.850006,158.880005,127.214912,69706500
2016-09-01,158.320007,165.000000,153.210007,158.850006,128.289398,69937000
2016-10-01,158.059998,158.529999,147.789993,153.690002,124.122078,78327200
2016-11-01,153.500000,164.660004,151.000000,162.220001,131.011032,76338800
2016-12-01,161.949997,169.949997,158.300003,165.990005,135.271896,69470400
2017-01-01,167.000000,179.250000,165.339996,174.520004,142.223343,88764500
2017-02-01,175.000000,182.789993,172.889999,179.820007,146.542542,59820600
2017-03-01,180.479996,182.550003,172.089996,174.139999,143.035767,79477000
2017-04-01,173.820007,176.330002,159.600006,160.289993,131.659592,100052300
2017-05-01,160.050003,160.419998,149.789993,152.630005,125.367828,103329100
2017-06-01,152.800003,157.199997,150.800003,153.830002,127.587807,83977000
2017-07-01,153.580002,156.029999,143.639999,144.669998,119.990433,93293500
2017-08-01,145.000000,145.669998,139.130005,143.029999,118.630180,80246500
2017-09-01,142.979996,147.419998,141.639999,145.080002,121.601852,78296700
2017-10-01,145.350006,162.509995,145.210007,154.059998,129.128586,125345600
2017-11-01,154.100006,154.899994,146.210007,153.970001,129.053162,89775600
2017-12-01,154.399994,157.850006,151.490005,153.419998,129.877502,88788100
2018-01-01,154.500000,171.130005,153.539993,163.699997,138.580032,145086400
2018-02-01,163.190002,164.130005,144.399994,155.830002,131.917694,102364900
2018-03-01,155.529999,162.110001,148.539993,153.429993,131.164795,94316900
2018-04-01,153.339996,162.000000,144.110001,144.960007,123.923935,122745300
2018-05-01,144.649994,146.199997,139.899994,141.309998,120.803604,88812900
2018-06-01,142.429993,147.520004,137.449997,139.699997,120.752998,89801400
2018-07-01,138.279999,150.539993,138.199997,144.929993,125.273674,94954000
2018-08-01,144.759995,147.929993,142.000000,146.479996,126.613426,79195100
2018-09-01,145.979996,153.350006,144.809998,151.210007,132.114014,95867900
2018-10-01,151.710007,154.360001,114.089996,115.430000,100.852585,198093000
2018-11-01,115.500000,125.059998,114.540001,124.269997,108.576210,141718900
2018-12-01,125.669998,126.589996,105.940002,113.669998,100.579742,115604100
2019-01-01,112.010002,135.410004,111.690002,134.419998,118.940170,120387100
2019-02-01,134.970001,140.490005,132.119995,138.130005,122.222939,68461200
2019-03-01,139.309998,142.119995,133.580002,141.100006,126.305580,74687300
2019-04-01,141.509995,145.389999,136.259995,140.270004,125.562607,80197500
2019-05-01,140.550003,141.809998,126.849998,126.989998,113.675026,75536400
2019-06-01,127.099998,140.149994,127.059998,137.899994,124.907394,61341600
2019-07-01,139.600006,151.940002,139.130005,148.240005,134.273209,80161300
2019-08-01,148.899994,152.949997,128.830002,135.529999,122.760696,96250600
2019-09-01,134.850006,146.570007,133.330002,145.419998,133.270859,61812000
2019-10-01,145.589996,147.350006,130.899994,133.729996,122.557526,91420200
2019-11-01,134.500000,139.139999,132.750000,134.449997,123.217369,64772300
2019-12-01,134.449997,136.419998,130.690002,134.039993,124.292496,71853900
2020-01-01,135.000000,145.789993,133.199997,143.729996,133.277832,113249700
2020-02-01,144.250000,158.750000,126.360001,130.149994,120.685387,118146600
2020-03-01,130.750000,136.100006,90.559998,110.930000,103.937202,190076300
2020-04-01,106.360001,129.309998,104.519997,125.559998,117.644943,130694000
2020-05-01,123.190002,126.970001,111.809998,124.900002,117.026566,92882000
2020-06-01,124.639999,135.880005,115.879997,120.769997,114.674469,121001600
2020-07-01,120.269997,132.169998,115.199997,122.940002,116.734955,114182300
2020-08-01,123.500000,130.470001,122.150002,123.309998,117.086273,74033500
2020-09-01,122.849998,129.949997,116.480003,121.669998,117.041725,84483600
2020-10-01,122.360001,135.500000,105.919998,111.660004,107.412506,159115500
2020-11-01,112.650002,125.309998,111.160004,123.519997,118.821342,103669300
2020-12-01,123.900002,127.690002,121.720001,125.879997,122.847458,102823200
2021-01-01,125.849998,132.240005,117.360001,119.110001,116.240555,175908200
