Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,26.799999,27.650000,23.639999,27.540001,19.073240,24863200
2016-02-01,27.240000,30.000000,26.080000,29.379999,20.347559,29231400
2016-03-01,29.520000,34.150002,29.160000,33.910000,23.484880,27700800
2016-04-01,33.259998,36.619999,32.119999,36.529999,25.715269,51360900
2016-05-01,37.360001,38.639999,35.709999,36.740002,25.863102,68609100
2016-06-01,36.549999,39.840000,36.099998,39.830002,28.038301,44689300
2016-07-01,39.919998,41.439999,39.230000,41.209999,29.398792,31360500
2016-08-01,41.230000,41.500000,36.380001,38.410000,27.401312,42400300
2016-09-01,38.480000,39.750000,35.419998,37.529999,26.773523,37394000
2016-10-01,37.509998,37.509998,32.549999,33.730000,24.360853,33105300
2016-11-01,33.290001,34.650002,30.750000,33.000000,23.833620,35952600
2016-12-01,32.990002,35.080002,31.389999,32.480000,23.458061,34253100
2017-01-01,32.810001,36.279999,32.270000,35.799999,26.279222,27527300
2017-02-01,35.790001,37.750000,35.299999,36.349998,26.682962,28393700
2017-03-01,36.490002,36.580002,33.430000,35.669998,26.183802,30569000
2017-04-01,35.549999,36.700001,34.570000,34.759998,25.932360,22150000
2017-05-01,34.950001,35.689999,34.299999,34.919998,26.051729,24119200
2017-06-01,34.990002,35.689999,32.529999,34.360001,25.633949,27849000
2017-07-01,34.650002,36.720001,32.919998,36.430000,27.621151,19229200
2017-08-01,36.369999,39.740002,36.369999,39.419998,29.888168,27819100
2017-09-01,39.439999,40.639999,37.959999,38.900002,29.493898,26705500
2017-10-01,38.830002,41.169998,37.509998,40.000000,30.753876,26482500
2017-11-01,40.180000,41.529999,39.560001,40.869999,31.422770,23385600
2017-12-01,40.889999,41.130001,36.930000,37.730000,29.008593,48557900
2018-01-01,37.799999,37.939999,33.570000,35.029999,27.352192,40304700
2018-02-01,34.939999,35.250000,30.950001,31.459999,24.564659,45249200
2018-03-01,31.360001,33.380001,30.780001,32.860001,25.657808,42294900
2018-04-01,32.869999,34.770000,32.150002,33.939999,26.978626,30489500
2018-05-01,33.970001,34.720001,31.870001,33.290001,26.461946,30682900
2018-06-01,33.349998,35.369999,33.060001,35.009998,27.829157,37313900
2018-07-01,34.900002,36.950001,33.009998,35.110001,28.390568,42790300
2018-08-01,34.849998,36.799999,34.000000,36.099998,29.191093,30344400
2018-09-01,36.119999,36.790001,33.880001,34.520000,27.913477,30437200
2018-10-01,34.619999,34.919998,30.219999,30.610001,25.158869,55247000
2018-11-01,30.730000,34.099998,30.500000,33.970001,27.920511,35595900
2018-12-01,34.139999,35.180000,30.559999,32.410000,26.638319,41470100
2019-01-01,32.000000,37.230000,31.580000,37.200001,31.119333,35788000
2019-02-01,37.250000,37.320000,34.619999,35.419998,29.630287,49674000
2019-03-01,35.500000,36.000000,34.090000,35.459999,29.663746,46756100
2019-04-01,35.470001,36.650002,31.959999,32.480000,27.649847,50372900
2019-05-01,32.450001,32.520000,30.580000,30.650000,26.091991,53811100
2019-06-01,30.750000,32.980000,30.080000,31.299999,26.645325,65974200
2019-07-01,31.590000,32.080002,29.280001,29.410000,25.522495,64632900
2019-08-01,30.090000,32.250000,29.969999,31.850000,27.639973,48826000
2019-09-01,31.790001,34.330002,31.059999,32.389999,28.108589,55130500
2019-10-01,32.230000,34.439999,31.629999,32.799999,28.983101,45671700
2019-11-01,32.799999,34.380001,31.700001,32.119999,28.382235,46060100
2019-12-01,32.099998,33.230000,31.250000,31.870001,28.161327,46868200
2020-01-01,31.900000,32.110001,30.200001,31.610001,28.470018,62218500
2020-02-01,31.690001,34.490002,29.080000,30.410000,27.389219,61599400
2020-03-01,30.629999,32.759998,21.020000,23.799999,21.435822,103944200
2020-04-01,22.969999,28.410000,21.000000,24.180000,22.296343,68795800
2020-05-01,23.670000,26.000000,21.540001,25.760000,23.753258,65991900
2020-06-01,25.770000,30.680000,24.370001,26.100000,24.066772,103796200
2020-07-01,26.280001,28.440001,25.580000,28.190001,26.590092,54639900
2020-08-01,28.049999,30.629999,27.840000,30.090000,28.382257,50222800
2020-09-01,30.030001,30.790001,25.969999,26.790001,25.269550,56786000
2020-10-01,26.840000,28.690001,25.760000,26.059999,25.102043,46250100
2020-11-01,26.299999,28.950001,24.850000,27.500000,26.489111,85173800
2020-12-01,27.570000,30.620001,26.950001,29.480000,28.396324,70708300
2021-01-01,30.000000,41.320000,27.719999,33.669998,33.106861,106101000
