Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,41.700001,43.500000,35.509998,37.619999,35.950073,154041900
2016-02-01,37.619999,42.860001,33.959999,41.950001,40.087860,146456300
2016-03-01,42.220001,45.389999,39.990002,44.799999,42.811352,135668400
2016-04-01,44.400002,48.000000,43.090000,44.610001,42.706139,136926500
2016-05-01,44.630001,45.000000,40.740002,42.480000,40.667038,113038600
2016-06-01,42.480000,44.330002,36.480000,39.209999,37.536602,168318000
2016-07-01,39.259998,45.000000,37.009998,37.009998,35.515682,172794700
2016-08-01,37.160000,38.029999,35.419998,36.880001,35.390930,140716000
2016-09-01,36.880001,39.180000,36.310001,38.889999,37.421242,133946000
2016-10-01,38.849998,42.930000,36.910000,40.049999,38.537437,211849800
2016-11-01,39.980000,47.990002,39.330002,46.610001,44.849674,147977100
2016-12-01,46.360001,51.310001,46.189999,49.840000,47.957691,104655000
2017-01-01,50.400002,54.180000,48.709999,52.310001,50.441574,123704400
2017-02-01,52.549999,58.570000,52.180000,57.799999,55.735470,99933300
2017-03-01,58.470001,59.680000,51.110001,53.759998,51.839771,137616000
2017-04-01,53.720001,57.840000,52.880001,56.220001,54.306255,91115000
2017-05-01,56.520000,61.189999,56.169998,60.090000,58.044525,89185500
2017-06-01,60.180000,62.750000,57.630001,62.139999,60.024731,105488700
2017-07-01,62.520000,64.389999,53.770000,55.509998,53.731697,105937200
2017-08-01,55.880001,56.869999,50.490002,52.139999,50.469658,128363700
2017-09-01,52.349998,56.650002,49.759998,55.980000,54.313446,116273300
2017-10-01,56.020000,59.889999,53.540001,53.860001,52.256561,119151500
2017-11-01,54.029999,61.509998,52.779999,60.669998,58.863819,91032900
2017-12-01,60.509998,66.989998,59.509998,65.449997,63.501530,85218100
2018-01-01,65.910004,66.519997,59.250000,60.799999,59.109661,116206700
2018-02-01,60.509998,61.119999,54.009998,57.840000,56.231956,91537100
2018-03-01,57.779999,61.380001,55.869999,57.279999,55.687523,108342800
2018-04-01,57.189999,57.189999,51.000000,52.830002,51.471451,113398500
2018-05-01,52.799999,53.610001,50.200001,51.080002,49.766449,139139900
2018-06-01,51.200001,53.540001,49.930000,50.880001,49.571602,134202100
2018-07-01,50.630001,59.330002,50.500000,58.160000,56.840469,109641900
2018-08-01,58.119999,62.200001,55.610001,61.299999,59.909222,83209400
2018-09-01,61.430000,64.019997,60.660000,62.450001,61.191994,74908300
2018-10-01,62.610001,63.200001,47.099998,49.099998,48.110924,143452500
2018-11-01,49.299999,54.660000,49.299999,54.610001,53.509922,101260600
2018-12-01,54.900002,55.680000,44.279999,46.480000,45.543701,91516600
2019-01-01,46.049999,57.820000,44.610001,56.759998,55.780762,104026300
2019-02-01,56.990002,58.770000,53.310001,56.040001,55.073193,105775000
2019-03-01,56.279999,56.580002,48.500000,51.910000,51.014439,131602400
2019-04-01,52.270000,54.860001,51.380001,54.230000,53.453297,80443900
2019-05-01,54.599998,54.610001,47.439999,47.599998,46.918255,70445600
2019-06-01,47.599998,52.750000,47.400002,50.779999,50.052708,73042500
2019-07-01,51.200001,55.939999,51.029999,51.529999,50.983997,80907400
2019-08-01,51.529999,53.189999,48.090000,52.320000,51.765625,72886000
2019-09-01,51.889999,56.490002,50.910000,54.009998,53.628338,75093800
2019-10-01,54.290001,57.900002,51.189999,56.130001,55.733364,98944500
2019-11-01,56.340000,58.500000,55.849998,57.639999,57.232689,44694500
2019-12-01,57.599998,57.799999,53.430000,53.980000,53.598553,74927100
2020-01-01,54.380001,58.189999,51.849998,54.980000,54.769211,105167500
2020-02-01,55.410000,58.830002,44.980000,46.189999,46.012913,89591700
2020-03-01,46.540001,48.389999,29.150000,35.610001,35.473476,247156000
2020-04-01,34.049999,37.310001,28.250000,31.250000,31.250000,450738100
2020-05-01,30.500000,35.160000,22.469999,32.099998,32.099998,560121600
2020-06-01,32.299999,42.349998,30.940001,34.180000,34.180000,572792700
2020-07-01,35.290001,36.099998,30.240000,30.889999,30.889999,298878700
2020-08-01,30.750000,39.060001,30.299999,37.580002,37.580002,255736400
2020-09-01,36.840000,42.880001,35.820000,37.500000,37.500000,251989000
2020-10-01,37.959999,43.389999,36.049999,39.529999,39.529999,199321500
2020-11-01,39.930000,49.470001,37.950001,46.340000,46.340000,207593600
2020-12-01,46.549999,49.529999,44.450001,46.610001,46.610001,161173000
2021-01-01,46.480000,49.470001,43.720001,43.939999,43.939999,142916000
