Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,42.224998,44.404999,39.224998,43.985001,40.312481,40738200
2016-02-01,43.919998,47.215000,42.549999,46.630001,42.736652,36840800
2016-03-01,46.994999,50.264999,46.064999,49.740002,45.586971,37459600
2016-04-01,49.630001,50.455002,45.419998,46.889999,42.974934,40031200
2016-05-01,47.000000,49.744999,46.639999,48.535000,44.675442,24390800
2016-06-01,48.555000,53.580002,48.325001,53.334999,49.093742,33130000
2016-07-01,53.485001,53.919998,50.509998,51.125000,47.059479,27473800
2016-08-01,51.080002,51.455002,50.000000,50.980000,47.115944,20365400
2016-09-01,50.924999,51.110001,47.549999,49.959999,46.173260,28755200
2016-10-01,49.080002,49.950001,46.430000,47.935001,44.301735,32171000
2016-11-01,47.945000,48.215000,45.330002,45.599998,42.333675,26435400
2016-12-01,45.430000,47.099998,44.320000,46.665001,43.322395,28147200
2017-01-01,46.880001,48.110001,44.825001,47.775002,44.578053,34812200
2017-02-01,47.634998,49.830002,47.125000,49.209999,45.917027,31780800
2017-03-01,49.169998,51.209999,48.549999,48.775002,45.511135,32905000
2017-04-01,49.099998,50.674999,48.669998,49.950001,46.607506,28018200
2017-05-01,50.014999,52.410000,49.450001,52.075001,48.818295,19571200
2017-06-01,52.264999,53.250000,47.549999,48.755001,45.705929,28308200
2017-07-01,48.935001,49.130001,45.125000,47.650002,44.670029,47621400
2017-08-01,47.650002,49.860001,46.465000,47.564999,44.808018,51300000
2017-09-01,47.810001,51.785000,47.599998,51.320000,48.345371,47387000
2017-10-01,51.320000,51.380001,48.404999,49.764999,46.880505,44706000
2017-11-01,49.970001,51.970001,46.849998,51.090000,48.359875,44637400
2017-12-01,51.115002,52.380001,49.705002,50.955002,48.232086,32408800
2018-01-01,51.005001,54.834999,49.169998,54.384998,51.742237,50958800
2018-02-01,54.355000,54.535000,49.744999,53.389999,50.795597,37889200
2018-03-01,53.160000,55.730000,52.459999,53.195000,50.610069,46461600
2018-04-01,53.215000,54.465000,51.369999,52.705002,50.143883,40462200
2018-05-01,52.404999,54.035000,50.119999,50.500000,48.284466,37722200
2018-06-01,50.634998,58.910000,49.764999,58.044998,55.498459,50845800
2018-07-01,58.084999,60.115002,57.404999,58.770000,56.191650,36694600
2018-08-01,58.845001,63.435001,58.325001,62.439999,59.964615,28837400
2018-09-01,62.264999,66.415001,61.000000,65.875000,63.263443,31805400
2018-10-01,66.000000,72.519997,65.400002,72.000000,69.145615,50706200
2018-11-01,72.144997,75.709999,71.044998,75.000000,72.303741,51280200
2018-12-01,75.324997,151.500000,67.010002,69.620003,67.117157,48728800
2019-01-01,68.889999,70.980003,59.500000,61.820000,59.841129,73770600
2019-02-01,61.855000,68.110001,60.244999,67.989998,65.813622,50278600
2019-03-01,68.080002,75.445000,66.684998,75.315002,72.904160,46462600
2019-04-01,75.279999,77.550003,74.305000,76.985001,74.520699,40349600
2019-05-01,76.915001,78.500000,75.339996,78.019997,75.806839,33692200
2019-06-01,78.214996,79.785004,73.000000,77.504997,75.306450,38898000
2019-07-01,77.519997,81.849998,77.169998,79.269997,77.021378,29202800
2019-08-01,79.629997,85.550003,76.894997,81.434998,79.403732,42049000
2019-09-01,81.349998,82.894997,77.050003,78.150002,76.200684,27765200
2019-10-01,79.370003,84.565002,79.095001,80.345001,78.340927,32735200
2019-11-01,80.410004,85.199997,78.805000,84.625000,82.796173,25745400
2019-12-01,84.425003,86.654999,82.834999,84.864998,83.030991,24941200
2020-01-01,84.684998,87.290001,80.555000,81.684998,80.209076,36677600
2020-02-01,82.074997,84.434998,71.195000,73.095001,71.774292,28784400
2020-03-01,73.404999,77.644997,56.115002,70.605003,69.329277,68467000
2020-04-01,68.584999,79.610001,68.275002,78.419998,77.003082,32647600
2020-05-01,77.695000,90.190002,76.419998,87.580002,86.356674,32986200
2020-06-01,88.000000,91.459999,82.525002,89.705002,88.451981,32109200
2020-07-01,89.654999,98.385002,89.224998,97.449997,96.088806,21468000
2020-08-01,97.845001,103.620003,97.235001,103.099998,102.012238,16415200
2020-09-01,102.684998,105.535004,91.610001,97.050003,96.026070,29993800
2020-10-01,97.370003,101.665001,89.254997,90.254997,89.302757,18816600
2020-11-01,91.690002,97.000000,88.919998,93.489998,92.801437,20927400
2020-12-01,95.019997,95.760002,91.160004,95.599998,94.895897,21262100
2021-01-01,95.779999,98.800003,88.379997,89.540001,89.200378,26541600
