Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,32.659504,33.284084,28.206850,31.645399,28.419861,49947165
2016-02-01,31.276024,33.304230,27.918066,32.041637,28.986828,55319627
2016-03-01,32.417728,36.628609,32.115513,36.440563,32.966370,42515567
2016-04-01,36.017460,41.692410,33.828072,39.006042,35.287254,45547021
2016-05-01,38.777702,41.725990,37.931499,40.456680,36.815529,39575091
2016-06-01,40.107456,42.572197,37.293488,39.147079,35.623806,58718268
2016-07-01,39.220955,43.190060,38.415043,42.860981,39.003456,36073557
2016-08-01,42.719948,44.989925,40.846207,43.015446,39.358082,39987246
2016-09-01,42.269981,43.747482,39.086636,43.143047,39.474831,47002371
2016-10-01,42.753525,43.243790,36.776360,37.024849,33.876827,36236156
2016-11-01,37.024849,40.738750,36.131634,38.589657,35.511719,39656984
2016-12-01,38.925453,41.323036,37.447952,37.656143,34.652668,34241343
2017-01-01,38.226997,41.551376,37.965076,39.375420,36.234818,31048778
2017-02-01,39.361988,40.087307,38.576225,38.992611,36.089256,35179412
2017-03-01,39.536602,42.612492,39.180656,42.162525,39.023144,43725080
2017-04-01,42.303558,44.096710,41.376762,43.324379,40.098488,32152724
2017-05-01,43.143047,46.359974,42.874413,44.472801,41.388268,38216375
2017-06-01,44.432507,45.157825,42.874413,44.687710,41.588280,25375091
2017-07-01,45.003357,45.513767,41.692410,42.357288,39.419483,24082344
2017-08-01,42.437878,42.713230,39.711216,41.672264,38.984890,23617478
2017-09-01,41.840160,46.004028,41.121559,45.641369,42.698032,26572545
2017-10-01,45.601074,48.119541,45.533916,47.320351,44.268742,29510640
2017-11-01,47.340496,47.891201,45.177971,47.790462,44.928402,29452121
2017-12-01,47.951645,48.193417,45.668236,47.427803,44.587463,26427071
2018-01-01,47.683010,50.261921,45.802551,48.018806,45.143078,33028554
2018-02-01,47.683010,48.569511,43.532574,46.131634,43.576565,34419425
2018-03-01,46.218941,49.073204,44.432507,45.755543,43.221306,33814000
2018-04-01,46.400269,48.999329,44.452652,45.184689,42.682068,35918850
2018-05-01,45.220001,46.930000,43.240002,43.639999,41.431522,47413600
2018-06-01,43.950001,45.340000,41.279999,42.080002,39.950470,32992400
2018-07-01,41.669998,44.799999,41.439999,44.650002,42.390411,37555000
2018-08-01,44.480000,44.630001,41.000000,43.480000,41.445286,31535900
2018-09-01,43.259998,46.000000,42.459999,43.349998,41.321373,28654800
2018-10-01,43.650002,43.939999,36.060001,40.150002,38.271122,42586900
2018-11-01,40.340000,43.389999,40.099998,42.700001,40.884445,24891100
2018-12-01,43.400002,43.779999,35.299999,37.779999,36.173637,35150100
2019-01-01,37.119999,42.669998,36.580002,41.189999,39.438652,37385900
2019-02-01,41.279999,43.639999,40.450001,42.540001,40.914261,24963400
2019-03-01,42.709999,44.630001,41.200001,44.509998,42.808979,27200000
2019-04-01,44.900002,45.700001,37.320000,38.990002,37.499931,54895000
2019-05-01,39.119999,39.500000,34.720001,34.820000,33.638912,37445600
2019-06-01,34.849998,37.259998,34.830002,37.200001,35.938187,28610200
2019-07-01,37.610001,39.619999,36.580002,38.810001,37.493580,32383800
2019-08-01,38.779999,39.119999,34.500000,35.919998,34.868217,27168000
2019-09-01,35.599998,38.330002,34.720001,37.799999,36.693161,22909700
2019-10-01,38.009998,42.000000,35.009998,41.470001,40.255707,26615700
2019-11-01,41.860001,44.500000,41.810001,44.349998,43.257256,16949500
2019-12-01,44.230000,46.450001,43.150002,45.869999,44.739796,17800000
2020-01-01,46.080002,47.430000,42.770000,42.930000,41.872238,24578000
2020-02-01,43.380001,44.799999,37.389999,39.389999,38.577221,22152700
2020-03-01,39.470001,42.009998,22.010000,29.760000,29.145931,39813200
2020-04-01,28.400000,36.360001,26.959999,34.590000,33.876270,31139100
2020-05-01,33.939999,40.970001,31.500000,39.139999,38.567852,21785900
2020-06-01,39.320000,43.369999,35.610001,37.990002,37.434666,28698500
2020-07-01,38.119999,43.810001,35.900002,42.849998,42.223621,31444500
2020-08-01,43.180000,46.770000,42.830002,45.139999,44.678440,17701400
2020-09-01,45.189999,47.130001,43.200001,45.770000,45.301998,23194300
2020-10-01,46.060001,52.869999,44.369999,49.759998,49.251202,27523100
2020-11-01,50.529999,58.820000,50.340000,51.820000,51.481258,24201100
2020-12-01,52.349998,53.400002,50.029999,53.090000,52.742958,18524900
2021-01-01,53.070000,59.299999,51.080002,54.459999,54.104000,25195600
