Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,9.350000,9.510000,7.080000,8.120000,6.887015,487605400
2016-02-01,8.130000,8.150000,7.000000,7.520000,6.378122,464468100
2016-03-01,7.610000,8.570000,7.590000,7.850000,6.658013,403336400
2016-04-01,7.800000,9.630000,7.530000,9.380000,8.015434,471652700
2016-05-01,9.450000,9.990000,8.890000,9.830000,8.399969,386969100
2016-06-01,9.670000,10.000000,7.860000,8.510000,7.271998,448822500
2016-07-01,8.440000,9.320000,7.800000,9.170000,7.888142,424477800
2016-08-01,9.210000,10.000000,8.820000,9.970000,8.576313,338612100
2016-09-01,9.990000,10.080000,9.370000,9.870000,8.490293,383738000
2016-10-01,9.820000,10.960000,9.780000,10.710000,9.273818,371960700
2016-11-01,10.800000,13.640000,10.320000,13.540000,11.724324,608021300
2016-12-01,13.610000,14.730000,13.550000,14.360000,12.434363,451341400
2017-01-01,14.560000,14.930000,13.650000,14.410000,12.534875,307288600
2017-02-01,14.550000,15.660000,14.200000,15.270000,13.282969,266319800
2017-03-01,15.610000,16.030001,13.610000,14.530000,12.639261,393778100
2017-04-01,14.560000,14.910000,13.000000,13.750000,12.011958,376728500
2017-05-01,13.800000,14.610000,13.600000,13.840000,12.090583,373851900
2017-06-01,13.930000,14.850000,13.260000,14.640000,12.789459,415721600
2017-07-01,14.770000,14.970000,14.010000,14.600000,12.820992,283180100
2017-08-01,14.680000,15.280000,13.890000,14.110000,12.390701,313980000
2017-09-01,14.130000,15.330000,13.030000,15.230000,13.374230,239129900
2017-10-01,15.090000,15.880000,14.620000,15.480000,13.684192,260444100
2017-11-01,15.540000,16.940001,15.060000,16.590000,14.665423,272869400
2017-12-01,16.600000,17.580000,16.049999,17.280001,15.275375,201247100
2018-01-01,17.389999,19.600000,17.240000,19.230000,17.090830,222684700
2018-02-01,19.190001,20.100000,17.620001,19.410000,17.250805,243100000
2018-03-01,19.440001,20.209999,17.950001,18.580000,16.513136,227183100
2018-04-01,18.530001,19.230000,17.799999,18.700001,16.695408,255815200
2018-05-01,18.650000,19.600000,18.000000,18.240000,16.284716,218635400
2018-06-01,18.540001,19.320000,17.740000,17.780001,15.874027,231183000
2018-07-01,17.680000,18.930000,17.070000,18.610001,16.693100,252420300
2018-08-01,18.690001,19.709999,18.660000,19.459999,17.455545,214874800
2018-09-01,19.510000,19.990000,18.290001,18.350000,16.459883,202101800
2018-10-01,18.450001,18.930000,15.420000,16.969999,15.329709,359647600
2018-11-01,17.040001,17.879999,15.570000,16.450001,14.859974,309475200
2018-12-01,16.780001,16.850000,12.390000,13.380000,12.086713,306108300
2019-01-01,13.160000,15.810000,13.110000,15.170000,13.827870,265770000
2019-02-01,15.220000,16.629999,15.160000,16.400000,14.949051,231651500
2019-03-01,16.559999,16.719999,13.380000,14.150000,12.898113,285968700
2019-04-01,14.330000,15.910000,14.320000,15.530000,14.282817,268893100
2019-05-01,15.570000,15.690000,13.700000,13.830000,12.719343,238837400
2019-06-01,13.770000,15.120000,13.710000,14.940000,13.740200,230942500
2019-07-01,15.030000,16.139999,14.660000,15.930000,14.796889,247360300
2019-08-01,15.870000,15.970000,13.500000,14.620000,13.580070,261967300
2019-09-01,14.490000,16.680000,14.130000,15.820000,14.694714,199479000
2019-10-01,15.950000,16.750000,14.770000,16.100000,15.117065,217000300
2019-11-01,16.309999,17.350000,16.200001,16.639999,15.624096,154927100
2019-12-01,16.709999,17.540001,16.100000,17.160000,16.112349,180320900
2020-01-01,17.260000,17.299999,15.120000,15.570000,14.756548,221976000
2020-02-01,15.710000,16.770000,13.170000,13.520000,12.813650,205590000
2020-03-01,13.630000,14.770000,6.940000,8.970000,8.501365,444700300
2020-04-01,8.360000,11.460000,7.900000,10.750000,10.298073,289183000
2020-05-01,10.390000,12.220000,8.410000,11.310000,10.834531,213824100
2020-06-01,11.350000,14.250000,10.600000,11.120000,10.652518,284026900
2020-07-01,11.100000,11.210000,9.790000,10.860000,10.536111,218125200
2020-08-01,10.870000,12.310000,10.660000,11.560000,11.215236,141367800
2020-09-01,11.450000,12.320000,10.600000,11.530000,11.186130,160527400
2020-10-01,11.540000,14.040000,11.300000,13.300000,13.075239,191672700
2020-11-01,13.540000,16.230000,12.890000,15.270000,15.011948,183815400
2020-12-01,15.690000,16.350000,15.070000,16.120001,15.847583,188857300
2021-01-01,16.270000,18.709999,15.720000,17.010000,16.884390,170588200
