Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,121.599998,128.429993,117.360001,128.320007,110.295708,18982500
2016-02-01,127.889999,130.000000,121.790001,127.570000,109.651047,21664400
2016-03-01,128.419998,130.610001,125.459999,129.839996,112.192444,17598600
2016-04-01,129.119995,132.639999,124.269997,126.980003,109.721176,18942400
2016-05-01,127.239998,131.789993,125.669998,129.149994,111.596230,12962000
2016-06-01,129.020004,152.600006,128.460007,152.410004,132.370422,27731300
2016-07-01,152.740005,154.970001,150.250000,154.160004,133.890305,18212200
2016-08-01,154.160004,157.309998,138.470001,141.789993,123.146790,28975700
2016-09-01,141.229996,142.240005,133.000000,135.539993,118.295074,19137800
2016-10-01,135.000000,135.919998,128.750000,131.309998,114.603264,14707100
2016-11-01,131.330002,133.860001,122.050003,125.949997,109.925224,19075700
2016-12-01,125.330002,131.279999,124.199997,128.059998,112.408028,13244300
2017-01-01,128.509995,136.130005,127.000000,135.850006,119.245903,20500600
2017-02-01,134.990005,143.679993,130.009995,141.729996,124.407211,28518100
2017-03-01,141.279999,142.039993,131.050003,131.080002,115.680130,29974500
2017-04-01,131.149994,131.500000,125.769997,126.720001,111.832375,17372000
2017-05-01,127.000000,128.929993,124.059998,127.849998,112.829597,16026900
2017-06-01,128.110001,134.119995,117.470001,118.330002,105.055916,21139900
2017-07-01,118.800003,122.800003,114.309998,121.900002,108.225441,19100200
2017-08-01,122.169998,123.830002,103.500000,104.760002,93.008202,28632100
2017-09-01,105.000000,111.139999,104.070000,104.930000,93.759598,24623900
2017-10-01,104.970001,106.510002,101.820000,106.050003,94.760384,24976300
2017-11-01,105.870003,119.720001,99.570000,116.669998,104.249802,27695400
2017-12-01,116.599998,126.019997,114.320000,124.239998,111.857910,18023000
2018-01-01,124.379997,132.759995,122.709999,126.889999,114.243797,23553600
2018-02-01,126.470001,130.220001,114.330002,126.300003,113.712601,21977800
2018-03-01,126.050003,133.380005,118.160004,124.010002,112.382347,22743000
2018-04-01,123.750000,126.860001,113.160004,114.080002,103.383430,21093400
2018-05-01,114.139999,115.919998,106.430000,107.500000,97.420410,23644600
2018-06-01,107.809998,113.110001,96.129997,107.480003,98.074539,43814200
2018-07-01,107.230003,112.690002,104.639999,111.120003,101.396011,19779800
2018-08-01,111.500000,121.279999,102.500000,103.379997,94.333328,33903000
2018-09-01,103.379997,111.809998,101.650002,102.610001,94.342957,17853500
2018-10-01,103.000000,110.400002,100.910004,108.320000,99.592911,24663900
2018-11-01,108.389999,115.449997,100.650002,104.510002,96.089874,32877100
2018-12-01,104.440002,106.089996,91.320000,93.489998,86.603806,28202300
2019-01-01,93.080002,105.290001,91.949997,104.879997,97.154839,18779700
2019-02-01,105.110001,109.300003,99.540001,105.910004,98.108978,22739200
2019-03-01,106.209999,116.769997,101.050003,116.500000,108.810585,30909900
2019-04-01,116.559998,123.070000,114.970001,122.629997,114.535973,16418200
2019-05-01,122.610001,128.429993,119.540001,121.559998,113.536606,14440400
2019-06-01,121.610001,125.870003,114.449997,115.190002,108.309105,20656800
2019-07-01,115.919998,120.379997,110.080002,111.190002,104.548050,17516900
2019-08-01,111.709999,116.370003,101.750000,105.160004,98.878250,23822100
2019-09-01,104.809998,110.489998,103.330002,110.019997,104.257271,15141300
2019-10-01,110.050003,110.419998,105.010002,105.680000,100.144592,13646700
2019-11-01,105.699997,113.000000,102.809998,105.089996,99.585503,21815100
2019-12-01,104.870003,107.790001,101.099998,104.129997,99.503571,18679600
2020-01-01,104.129997,109.070000,101.430000,103.610001,99.006676,19353700
2020-02-01,103.900002,112.860001,100.139999,102.989998,98.414223,16922500
2020-03-01,103.500000,121.389999,91.879997,111.000000,106.927902,33108200
2020-04-01,108.690002,125.620003,107.309998,114.910004,110.694473,24847200
2020-05-01,115.000000,120.239998,106.650002,113.930000,109.750420,22086400
2020-06-01,114.070000,116.589996,101.889999,105.809998,102.692924,26853300
2020-07-01,105.500000,110.629997,102.870003,109.349998,106.128639,14964700
2020-08-01,109.720001,123.440002,109.110001,120.180000,116.639595,19407500
2020-09-01,119.980003,121.820000,108.099998,115.519997,113.001534,17561500
2020-10-01,115.080002,120.930000,109.849998,112.199997,109.753922,15482700
2020-11-01,113.709999,120.180000,112.300003,117.199997,114.644913,16993000
2020-12-01,117.370003,118.739998,112.650002,115.599998,113.935738,20262200
2021-01-01,115.669998,131.690002,110.529999,116.410004,114.734085,26427600
