Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,74.110001,75.099998,65.180000,69.239998,64.806351,14071300
2016-02-01,68.489998,70.129997,61.380001,64.320000,60.201416,14401000
2016-03-01,64.620003,72.779999,64.349998,71.050003,66.756187,16704600
2016-04-01,70.860001,74.099998,68.489998,70.669998,66.399162,11068300
2016-05-01,70.650002,72.639999,64.389999,69.430000,65.234116,14312500
2016-06-01,69.430000,72.019997,63.259998,68.750000,64.595192,28849600
2016-07-01,68.900002,71.580002,67.250000,70.949997,66.899483,12620800
2016-08-01,70.949997,74.449997,68.349998,70.680000,66.644890,10315500
2016-09-01,70.650002,74.629997,69.389999,73.099998,69.205162,10510800
2016-10-01,73.000000,73.059998,66.180000,66.820000,63.259747,10009200
2016-11-01,67.160004,67.739998,63.799999,65.610001,62.114231,11561300
2016-12-01,65.440002,70.190002,64.370003,67.389999,64.070297,12142900
2017-01-01,67.610001,71.040001,67.089996,70.830002,67.340836,7257600
2017-02-01,71.370003,72.349998,65.269997,70.129997,66.675323,15124100
2017-03-01,70.629997,71.279999,67.550003,69.459999,66.305794,10884500
2017-04-01,69.750000,74.879997,69.110001,73.800003,70.448723,6392500
2017-05-01,74.169998,77.910004,73.500000,77.559998,74.037971,10692100
2017-06-01,78.000000,83.540001,77.779999,81.500000,77.799072,16436600
2017-07-01,81.500000,83.360001,80.739998,81.849998,78.409515,7850900
2017-08-01,82.480003,87.489998,81.660004,87.160004,83.496292,9849300
2017-09-01,87.169998,88.430000,86.059998,88.400002,84.994164,7855500
2017-10-01,88.699997,93.389999,87.980003,93.330002,89.734207,7509300
2017-11-01,91.610001,91.739998,86.019997,89.959999,86.494049,6882800
2017-12-01,90.070000,90.629997,87.430000,87.470001,84.396828,6950100
2018-01-01,88.230003,93.709999,86.260002,90.919998,87.725601,7440300
2018-02-01,90.620003,92.870003,82.879997,91.300003,88.092262,7520100
2018-03-01,91.099998,96.430000,88.919998,93.360001,90.382614,7718600
2018-04-01,93.959999,97.470001,90.540001,94.519997,91.505623,6630000
2018-05-01,94.180000,105.480003,93.500000,103.839996,100.528397,9556100
2018-06-01,104.750000,107.970001,102.800003,105.010002,101.661087,8852700
2018-07-01,104.879997,114.889999,104.790001,114.470001,111.143509,7016200
2018-08-01,114.360001,117.480003,105.980003,114.419998,111.094963,9158000
2018-09-01,114.389999,115.620003,112.040001,114.400002,111.404671,5463900
2018-10-01,115.019997,115.400002,103.360001,109.309998,106.447937,8529300
2018-11-01,109.629997,121.669998,109.629997,119.080002,115.962128,9726900
2018-12-01,119.660004,121.260002,99.139999,106.849998,104.363487,9428500
2019-01-01,105.650002,116.959999,100.910004,114.059998,111.405708,8171000
2019-02-01,114.139999,123.750000,113.260002,120.959999,118.145142,8544700
2019-03-01,121.970001,128.639999,118.180000,128.029999,125.400192,7353900
2019-04-01,128.350006,131.699997,119.620003,130.979996,128.289612,9002900
2019-05-01,131.580002,137.619995,124.540001,133.679993,130.934158,16045600
2019-06-01,133.889999,148.880005,133.110001,148.880005,145.821945,10718400
2019-07-01,149.979996,154.089996,146.169998,148.860001,146.155029,9786300
2019-08-01,149.039993,156.660004,143.250000,154.399994,151.594360,9563100
2019-09-01,153.710007,155.850006,140.130005,144.490005,141.864471,12080800
2019-10-01,144.770004,144.970001,136.369995,141.570007,139.331192,9373100
2019-11-01,142.610001,153.509995,139.429993,151.139999,148.749847,7860800
2019-12-01,151.990005,155.070007,147.240005,152.419998,150.375931,25613200
2020-01-01,152.580002,155.000000,148.919998,150.690002,148.669128,11628500
2020-02-01,151.509995,168.979996,150.580002,158.619995,156.492752,15011100
2020-03-01,159.050003,165.880005,105.690002,139.970001,138.397766,20115400
2020-04-01,135.210007,160.160004,133.789993,142.500000,140.899353,15696800
2020-05-01,141.229996,166.389999,138.660004,165.889999,164.026642,12764900
2020-06-01,165.490005,166.979996,146.119995,153.440002,151.716492,12538500
2020-07-01,154.699997,163.339996,147.320007,159.630005,158.203629,10122200
2020-08-01,159.940002,164.119995,151.789993,159.639999,158.213531,7761000
2020-09-01,158.850006,177.750000,155.990005,176.190002,175.068649,10993500
2020-10-01,177.110001,192.970001,171.350006,177.190002,176.062286,7520900
2020-11-01,178.240005,196.800003,174.179993,193.809998,192.576492,7718900
2020-12-01,195.000000,195.000000,178.089996,189.539993,188.718704,8416200
2021-01-01,189.779999,203.910004,181.750000,187.110001,186.299240,10325100
