Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,52.860001,52.930000,49.380001,49.980000,48.196301,7691800
2016-01-08,50.290001,50.599998,46.770000,47.990002,46.277325,8739100
2016-01-15,46.939999,48.470001,45.090000,46.330002,44.676571,6805600
2016-01-22,47.250000,47.540001,45.900002,46.180000,44.531902,7684600
2016-01-29,46.490002,47.160000,44.689999,46.639999,44.975513,12644100
2016-02-05,43.939999,46.169998,42.820000,45.029999,43.422958,12652400
2016-02-12,45.709999,46.340000,45.250000,45.860001,44.223347,7312600
2016-02-19,45.810001,46.919998,44.639999,46.389999,44.734428,8582500
2016-02-26,46.610001,48.250000,46.169998,48.220001,46.499111,6228600
2016-03-04,48.150002,48.560001,46.820000,47.400002,45.708385,5806600
2016-03-11,47.889999,50.080002,46.810001,49.910000,48.128799,8480700
2016-03-18,49.880001,50.290001,48.689999,49.070000,47.406712,5632200
2016-03-25,49.040001,50.650002,48.700001,49.980000,48.285866,5205600
2016-04-01,49.820000,50.169998,48.380001,49.029999,47.368069,5285200
2016-04-08,49.470001,51.080002,49.189999,50.680000,48.962139,5474800
2016-04-15,50.689999,51.189999,50.189999,50.959999,49.232651,5324600
2016-04-22,50.849998,52.610001,47.209999,48.099998,46.469589,13331600
2016-04-29,47.840000,48.770000,46.590000,46.639999,45.059086,9542200
2016-05-06,46.570000,47.310001,46.000000,46.990002,45.397209,7911200
2016-05-13,46.790001,47.689999,46.029999,47.029999,45.435856,8897900
2016-05-20,47.369999,48.139999,47.119999,47.799999,46.179764,6677900
2016-05-27,47.910000,48.180000,47.259998,47.840000,46.218407,4352200
2016-06-03,47.590000,49.360001,47.220001,48.790001,47.136208,4919400
2016-06-10,48.310001,48.619999,45.730000,46.669998,45.088058,5770300
2016-06-17,46.720001,47.509998,46.240002,47.470001,45.948444,6089900
2016-06-24,45.570000,46.230000,43.279999,46.230000,44.748188,13992000
2016-07-01,46.259998,46.650002,44.490002,45.360001,43.906082,6782700
2016-07-08,45.860001,47.389999,45.669998,47.110001,45.599991,6607400
2016-07-15,47.299999,48.230000,47.189999,47.360001,45.841976,7183700
2016-07-22,47.310001,47.570000,46.709999,47.389999,45.871017,5099900
2016-07-29,47.360001,47.360001,43.299999,45.910000,44.438454,8861500
2016-08-05,46.110001,47.770000,45.869999,47.490002,45.967812,14738300
2016-08-12,47.520000,48.930000,47.200001,48.930000,47.361649,6703900
2016-08-19,48.619999,49.990002,48.580002,49.790001,48.194096,7280100
2016-08-26,49.849998,50.270000,48.259998,48.779999,47.216469,5789300
2016-09-02,48.990002,49.410000,48.330002,48.470001,46.916397,3099400
2016-09-09,48.080002,48.590000,47.270000,47.599998,46.074287,7754300
2016-09-16,47.340000,48.200001,46.630001,48.110001,46.655586,8523300
2016-09-23,47.880001,48.060001,46.840000,47.230000,45.802189,6880100
2016-09-30,47.470001,48.299999,47.049999,48.189999,46.733158,9743000
2016-10-07,48.070000,48.130001,45.549999,45.700001,44.318439,9081000
2016-10-14,46.090000,46.330002,45.349998,45.470001,44.095390,4503800
2016-10-21,45.099998,45.939999,44.160000,44.189999,42.854088,7806200
2016-10-28,44.270000,46.029999,43.980000,44.259998,42.921970,24666300
2016-11-04,44.259998,48.080002,44.180000,47.919998,46.471321,20699600
2016-11-11,47.660000,48.439999,46.950001,48.200001,46.742855,10447000
2016-11-18,48.090000,48.180000,47.180000,47.470001,46.034920,9310600
2016-11-25,47.480000,49.730000,45.779999,49.400002,47.906578,16957100
2016-12-02,49.400002,51.230000,47.990002,51.049999,49.506691,16530800
2016-12-09,51.040001,51.259998,49.570000,49.869999,48.453197,9955500
2016-12-16,49.840000,50.380001,48.880001,49.419998,48.015980,7619500
2016-12-23,49.490002,49.930000,48.450001,48.660000,47.277584,3094500
2016-12-30,48.709999,50.070000,48.209999,49.180000,47.782806,6922700
2017-01-06,49.410000,50.509998,49.180000,50.439999,49.007004,6976400
2017-01-13,50.549999,51.180000,49.930000,50.680000,49.240189,6544400
2017-01-20,50.950001,52.830002,50.060001,52.180000,50.697575,7480700
2017-01-27,52.180000,52.430000,50.439999,51.040001,49.589966,7233400
2017-02-03,51.419998,53.439999,51.080002,53.130001,51.620579,14918800
2017-02-10,53.240002,54.430000,53.060001,54.369999,52.825356,9378000
2017-02-17,54.099998,55.480000,53.910000,54.490002,52.941952,12045500
2017-02-24,54.160000,55.369999,53.830002,54.700001,53.145985,6472100
2017-03-03,54.759998,55.020000,53.750000,53.790001,52.261841,6908600
2017-03-10,53.919998,54.349998,53.180000,54.099998,52.563026,9377800
2017-03-17,54.330002,54.450001,52.910000,53.459999,52.028728,6867600
2017-03-24,53.450001,54.520000,52.419998,54.119999,52.671066,6453200
2017-03-31,53.919998,54.529999,53.500000,54.209999,52.758648,5816100
2017-04-07,54.119999,54.860001,53.189999,53.200001,51.775700,7025400
2017-04-14,53.500000,54.880001,53.320000,54.770000,53.303661,5174300
2017-04-21,54.799999,57.560001,54.759998,57.259998,55.726994,9855000
2017-04-28,57.230000,60.689999,56.660000,60.389999,58.773197,15764700
2017-05-05,60.419998,60.669998,59.180000,59.849998,58.247658,7183400
2017-05-12,59.650002,59.950001,58.730000,59.139999,57.556671,6947800
2017-05-19,59.500000,61.369999,59.360001,61.090000,59.454464,5716700
2017-05-26,60.950001,61.750000,60.250000,61.509998,59.863216,4243900
2017-06-02,61.590000,62.189999,61.230000,61.959999,60.301170,5444700
2017-06-09,62.060001,62.860001,61.099998,62.209999,60.544476,5051500
2017-06-16,62.290001,62.889999,60.259998,60.580002,59.043755,6127900
2017-06-23,60.540001,60.990002,59.560001,60.000000,58.478462,6274300
2017-06-30,60.340000,61.680000,60.340000,61.169998,59.618782,4647400
2017-07-07,61.349998,62.310001,60.730000,61.759998,60.193821,4650700
2017-07-14,61.799999,62.090000,61.070000,61.139999,59.589546,3703200
2017-07-21,60.860001,61.959999,60.500000,61.599998,60.037880,4465800
2017-07-28,61.639999,64.970001,60.950001,64.400002,62.766899,7132100
2017-08-04,64.510002,64.730003,62.689999,62.740002,61.148979,3556300
2017-08-11,62.610001,63.470001,62.410000,62.790001,61.197712,3831200
2017-08-18,62.610001,63.169998,62.099998,62.509998,60.924805,3741600
2017-08-25,62.799999,63.299999,61.770000,63.250000,61.646042,3559400
2017-09-01,63.299999,63.630001,62.820000,63.599998,61.987167,3446100
2017-09-08,63.520000,65.300003,63.279999,65.260002,63.605068,4341900
2017-09-15,65.220001,66.699997,65.059998,66.110001,64.522720,5147100
2017-09-22,66.070000,66.389999,64.809998,65.550003,63.976162,6002000
2017-09-29,65.470001,67.070000,65.449997,66.860001,65.254730,4428700
2017-10-06,66.769997,67.589996,66.489998,67.110001,65.498703,4214800
2017-10-13,67.550003,68.400002,67.000000,68.400002,66.757729,3929500
2017-10-20,68.709999,69.309998,67.830002,69.230003,67.567802,4708700
2017-10-27,69.099998,70.260002,66.919998,68.379997,66.738205,9458400
2017-11-03,68.779999,69.110001,67.489998,68.010002,66.377106,7838800
2017-11-10,67.849998,70.430000,67.680000,70.120003,68.436455,8719500
2017-11-17,69.949997,71.239998,69.690002,70.239998,68.553558,7175100
2017-11-24,70.320000,73.059998,70.099998,72.690002,70.944756,5630000
2017-12-01,72.599998,72.940002,70.570000,71.400002,69.685715,5261100
2017-12-08,71.699997,72.300003,70.940002,70.959999,69.343201,4427700
2017-12-15,71.169998,72.930000,71.040001,72.620003,70.965393,8166800
2017-12-22,72.889999,72.940002,72.050003,72.870003,71.209686,1878900
2017-12-29,73.000000,74.500000,72.139999,73.980003,72.294395,3963400
2018-01-05,74.120003,74.580002,73.199997,74.570000,72.870941,6663200
2018-01-12,74.889999,76.440002,74.589996,76.070000,74.336769,3983700
2018-01-19,76.410004,77.540001,76.099998,76.980003,75.226028,4767600
2018-01-26,77.370003,78.510002,75.930000,77.910004,76.134857,6681300
2018-02-02,77.839996,78.370003,71.580002,72.050003,70.408363,10369900
2018-02-09,72.730003,75.870003,71.160004,75.839996,74.112015,6825300
2018-02-16,75.559998,77.139999,75.419998,76.470001,74.727646,4540500
2018-02-23,76.889999,79.099998,73.730003,74.180000,72.489830,5811200
2018-03-02,73.559998,77.279999,73.190002,77.250000,75.489883,5177500
2018-03-09,77.800003,79.320000,77.570000,77.959999,76.183708,3933900
2018-03-16,77.949997,79.150002,76.120003,76.180000,74.577782,5472000
2018-03-23,76.400002,77.010002,74.519997,75.970001,74.372208,5102300
2018-03-30,75.970001,76.739998,73.519997,76.410004,74.802948,3574000
2018-04-06,75.410004,75.860001,72.720001,75.150002,73.569443,5335800
2018-04-13,75.559998,77.199997,74.610001,76.529999,74.920425,3653400
2018-04-20,76.050003,76.320000,70.570000,71.500000,69.996208,8195500
2018-04-27,71.529999,72.360001,68.570000,69.989998,68.517975,14269700
2018-05-04,69.709999,75.209999,69.580002,74.690002,73.119141,10561900
2018-05-11,74.790001,75.709999,73.699997,75.330002,73.745644,6224200
2018-05-18,75.389999,76.690002,74.209999,76.059998,74.460312,5531800
2018-05-25,75.739998,76.070000,72.949997,73.029999,71.494026,6171800
2018-06-01,73.769997,76.199997,73.519997,75.779999,74.186195,5779700
2018-06-08,75.769997,76.209999,74.519997,74.839996,73.265961,4717100
2018-06-15,74.540001,75.169998,71.860001,72.489998,71.097527,5819100
2018-06-22,73.089996,73.690002,71.040001,71.709999,70.332497,6178300
2018-06-29,72.160004,73.000000,70.790001,71.980003,70.597313,4020100
2018-07-06,71.820000,73.720001,71.599998,73.209999,71.803696,4625500
2018-07-13,73.099998,73.910004,72.650002,73.639999,72.225426,3243200
2018-07-20,73.320000,77.139999,72.639999,77.099998,75.618973,5625200
2018-07-27,77.199997,78.010002,75.220001,76.760002,75.285500,8189000
2018-08-03,76.849998,77.599998,75.940002,76.660004,75.187424,4903300
2018-08-10,76.209999,76.459999,74.500000,75.730003,74.275284,5798800
2018-08-17,75.730003,77.150002,75.510002,75.830002,74.373375,5271200
2018-08-24,76.110001,77.830002,75.620003,76.449997,74.981453,3633700
2018-08-31,76.220001,78.889999,75.930000,78.290001,76.786110,4837300
2018-09-07,78.129997,80.860001,77.610001,80.690002,79.140015,6392000
2018-09-14,80.589996,81.650002,80.389999,81.379997,79.957130,5206900
2018-09-21,81.580002,81.919998,78.910004,78.930000,77.549965,5394500
2018-09-28,78.820000,80.320000,78.720001,79.250000,77.864380,4566700
2018-10-05,79.260002,79.430000,71.650002,71.849998,70.593742,6230100
2018-10-12,73.139999,73.680000,71.120003,71.269997,70.023903,8390600
2018-10-19,71.379997,71.500000,65.220001,66.430000,65.268524,8658500
2018-10-26,65.389999,71.949997,64.910004,71.629997,70.377609,9560900
2018-11-02,72.459999,75.550003,71.650002,74.970001,73.659210,11384500
2018-11-09,74.500000,74.940002,72.250000,74.400002,73.099182,8322400
2018-11-16,73.940002,74.949997,70.800003,72.250000,70.986755,6193200
2018-11-23,71.440002,73.940002,70.489998,73.220001,71.939804,8096700
2018-11-30,73.070000,76.320000,68.739998,71.489998,70.240051,8501300
2018-12-07,71.389999,73.870003,69.239998,71.769997,70.652374,8502400
2018-12-14,70.849998,71.849998,65.250000,66.110001,65.080536,8742600
2018-12-21,66.389999,67.540001,63.139999,67.309998,66.261833,5999100
2018-12-28,67.699997,67.839996,65.419998,65.570000,64.548935,4261100
2019-01-04,66.660004,70.620003,66.290001,70.599998,69.500603,6745000
2019-01-11,70.019997,71.470001,69.529999,71.230003,70.120789,4656600
2019-01-18,71.779999,72.660004,69.870003,71.199997,70.091270,4647600
2019-01-25,72.169998,72.949997,69.510002,72.900002,71.764793,6482700
2019-02-01,73.190002,76.330002,72.660004,75.110001,73.940369,9804500
2019-02-08,74.410004,79.379997,74.410004,77.910004,76.696777,8898800
2019-02-15,78.639999,79.949997,78.430000,79.260002,78.025749,5619100
2019-02-22,79.379997,80.410004,78.699997,79.580002,78.340759,5586900
2019-03-01,79.959999,80.500000,78.050003,78.930000,77.700882,7285000
2019-03-08,78.160004,81.440002,77.910004,80.650002,79.394104,5906000
2019-03-15,80.720001,82.320000,80.180000,82.139999,81.000740,6029600
2019-03-22,82.150002,82.320000,79.120003,82.230003,81.089493,5445200
2019-03-29,82.750000,84.739998,82.599998,84.010002,82.844818,6239900
2019-04-05,84.080002,84.870003,83.419998,84.800003,83.623840,3090700
2019-04-12,85.040001,86.730003,85.000000,86.489998,85.290413,4167900
2019-04-19,86.019997,87.769997,85.470001,85.910004,84.718452,3017300
2019-04-26,85.989998,88.760002,85.720001,87.019997,85.813057,6470300
2019-05-03,87.550003,87.720001,83.959999,85.449997,84.264839,5018300
2019-05-10,84.870003,86.739998,83.160004,86.589996,85.389023,4551300
2019-05-17,85.680000,86.599998,84.099998,84.870003,83.692886,4899300
2019-05-24,85.330002,85.669998,82.910004,83.809998,82.647583,5238800
2019-05-31,82.239998,84.440002,81.620003,83.940002,82.775787,6144200
2019-06-07,84.080002,87.660004,83.970001,85.680000,84.491646,4951400
2019-06-14,85.339996,88.739998,84.389999,88.580002,87.494659,5223600
2019-06-21,88.489998,89.820000,87.410004,88.260002,87.178566,4317700
2019-06-28,88.790001,92.300003,88.400002,91.910004,90.783852,8334200
2019-07-05,91.089996,91.389999,88.910004,89.589996,88.492279,6879100
2019-07-12,90.180000,91.440002,88.500000,88.900002,87.810745,5796900
2019-07-19,89.220001,90.110001,88.419998,89.230003,88.136688,5785100
2019-07-26,89.080002,92.139999,88.139999,88.320000,87.237839,7399400
2019-08-02,87.820000,88.029999,83.419998,86.930000,85.864883,7084700
2019-08-09,86.550003,87.379997,83.070000,84.330002,83.296722,5578600
2019-08-16,84.839996,87.220001,84.669998,85.769997,84.719086,4789800
2019-08-23,85.290001,86.349998,82.660004,86.110001,85.054924,4696200
2019-08-30,86.879997,88.389999,82.760002,88.330002,87.247719,5163600
2019-09-06,88.739998,90.120003,86.959999,89.820000,88.719467,7015000
2019-09-13,90.309998,91.070000,88.809998,90.209999,89.104675,5131500
2019-09-20,90.690002,91.150002,88.650002,90.169998,89.204216,6558700
2019-09-27,91.000000,92.860001,85.180000,87.389999,86.453987,6956700
2019-10-04,87.650002,89.029999,85.959999,87.949997,87.007988,4129100
2019-10-11,88.860001,90.370003,87.680000,88.510002,87.561996,4063900
2019-10-18,88.480003,89.510002,87.879997,89.120003,88.165459,6566000
2019-10-25,89.250000,94.000000,88.839996,91.650002,90.668358,6577000
2019-11-01,92.480003,97.300003,91.849998,96.199997,95.169632,6723400
2019-11-08,95.849998,97.519997,95.330002,97.000000,95.961060,4561400
2019-11-15,97.389999,99.230003,97.019997,97.870003,96.821747,6639800
2019-11-22,98.250000,99.739998,97.339996,99.489998,98.424393,3765000
2019-11-29,98.970001,99.419998,95.849998,97.680000,96.633781,4976300
2019-12-06,98.680000,99.839996,97.660004,99.300003,98.378860,3957200
2019-12-13,98.830002,100.059998,97.730003,99.559998,98.636436,4645300
2019-12-20,100.330002,100.589996,99.230003,100.070000,99.141716,2804700
2019-12-27,100.339996,100.879997,99.440002,100.800003,99.864944,2549600
2020-01-03,99.290001,102.309998,99.190002,101.360001,100.419746,4847100
2020-01-10,101.610001,102.000000,99.839996,100.190002,99.260605,5429200
2020-01-17,100.470001,102.300003,99.290001,100.779999,99.845131,4864200
2020-01-24,101.160004,101.230003,97.139999,99.330002,98.408585,5420300
2020-01-31,98.650002,101.470001,96.540001,98.680000,97.764610,8014900
2020-02-07,98.349998,102.000000,97.610001,101.440002,100.499008,6373900
2020-02-14,101.639999,101.779999,99.070000,100.550003,99.617271,4872700
2020-02-21,99.900002,100.139999,87.339996,87.360001,86.549622,10676300
2020-02-28,84.500000,91.919998,83.239998,89.070000,88.243752,12022500
2020-03-06,86.010002,88.900002,66.750000,67.519997,66.893661,15147300
2020-03-13,71.489998,74.699997,54.820000,69.010002,68.529526,15656500
2020-03-20,70.709999,74.489998,56.689999,72.410004,71.905861,14585500
2020-03-27,68.750000,74.099998,67.879997,71.089996,70.595039,9897500
2020-04-03,70.800003,81.500000,69.720001,78.230003,77.685333,8102800
2020-04-10,76.989998,81.010002,73.110001,76.000000,75.470856,5267300
2020-04-17,78.410004,80.550003,73.830002,75.680000,75.153084,8913300
2020-04-24,76.599998,84.959999,75.260002,83.870003,83.286057,6410200
2020-05-01,81.970001,84.129997,78.269997,83.309998,82.729958,8035000
2020-05-08,84.730003,85.089996,75.220001,78.750000,78.201706,6981200
2020-05-15,77.989998,85.849998,77.370003,84.860001,84.269165,7628600
2020-05-22,84.900002,93.199997,84.459999,91.879997,91.240280,5908300
2020-05-29,91.500000,95.550003,89.910004,94.209999,93.554070,6013000
2020-06-05,97.610001,98.000000,87.830002,88.089996,87.476677,6117800
2020-06-12,90.059998,91.959999,84.639999,89.199997,88.750450,5720500
2020-06-19,91.050003,91.099998,84.529999,87.139999,86.700829,6889600
2020-06-26,86.849998,90.089996,85.059998,88.959999,88.511658,10040200
2020-07-03,90.529999,91.279999,85.760002,86.260002,85.825272,3895900
2020-07-10,86.190002,94.209999,85.739998,92.730003,92.262657,6680400
2020-07-17,93.269997,94.169998,91.110001,93.320000,92.849686,7110200
2020-07-24,93.489998,94.660004,92.019997,93.900002,93.426765,5008300
2020-07-31,93.320000,97.540001,91.480003,97.519997,97.028511,5512400
2020-08-07,97.550003,101.680000,96.599998,100.959999,100.451172,6262500
2020-08-14,100.360001,102.029999,99.610001,100.160004,99.655212,4203200
2020-08-21,99.980003,101.599998,99.769997,100.910004,100.401436,3097600
2020-08-28,101.169998,103.949997,99.050003,99.889999,99.386574,4276000
2020-09-04,100.860001,101.230003,96.910004,98.110001,97.615547,3629400
2020-09-11,98.730003,103.480003,98.480003,102.330002,101.814278,4109000
2020-09-18,102.029999,103.199997,94.900002,96.230003,95.921013,4513700
2020-09-25,95.519997,101.379997,95.150002,99.849998,99.529381,4377100
2020-10-02,98.150002,107.279999,98.040001,106.500000,106.158028,5381100
2020-10-09,107.500000,109.070000,105.480003,109.010002,108.659966,3920900
2020-10-16,109.459999,110.820000,106.849998,107.010002,106.666397,4997800
2020-10-23,107.970001,108.080002,97.510002,98.910004,98.592400,5092900
2020-10-30,98.519997,109.500000,96.860001,109.050003,108.699844,5257800
2020-11-06,109.180000,118.949997,108.860001,115.449997,115.079292,6189400
2020-11-13,116.660004,120.349998,115.750000,118.180000,117.800529,5201000
2020-11-20,118.300003,121.690002,116.519997,119.820000,119.435257,4040800
2020-11-27,120.099998,120.349998,114.239998,114.430000,114.062569,4936500
2020-12-04,114.480003,119.300003,114.480003,118.349998,117.969978,4445200
2020-12-11,117.010002,119.690002,116.220001,117.629997,117.437019,4013200
2020-12-18,117.610001,119.440002,114.629997,119.040001,118.844711,3873200
2020-12-25,120.139999,121.070000,117.660004,120.940002,120.741592,1839100
2021-01-01,null,null,null,null,null,null
