Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,44.250000,45.110001,36.230000,36.549999,32.482635,24364700
2016-01-08,36.860001,37.639999,34.189999,37.029999,32.909229,42940500
2016-01-15,35.240002,37.590000,32.200001,37.240002,33.095856,34654700
2016-01-22,38.990002,40.980000,37.080002,40.599998,36.345474,30499700
2016-01-29,40.980000,43.799999,37.759998,40.740002,36.470810,29696500
2016-02-05,40.299999,40.310001,33.230000,34.380001,30.777277,31469800
2016-02-12,34.970001,40.889999,34.660000,38.799999,34.734104,21899500
2016-02-19,37.900002,39.779999,36.090000,37.790001,33.829941,31580700
2016-02-26,39.090000,45.599998,36.259998,45.090000,40.364971,33416300
2016-03-04,45.630001,51.110001,44.750000,46.250000,41.403412,39146000
2016-03-11,47.380001,51.020000,46.830002,50.470001,45.181198,26729100
2016-03-18,51.270000,51.810001,46.590000,48.849998,43.730949,24471000
2016-03-25,48.980000,49.509998,47.049999,48.810001,43.695141,13317700
2016-04-01,47.459999,50.009998,46.150002,49.189999,44.035332,17382500
2016-04-08,50.750000,53.689999,49.919998,52.970001,47.419216,18234600
2016-04-15,52.310001,55.619999,50.070000,54.779999,49.039532,18261300
2016-04-22,55.270000,58.060001,53.930000,55.430000,49.847923,17655800
2016-04-29,55.889999,56.270000,50.080002,54.820000,49.299355,25898200
2016-05-06,53.950001,55.599998,51.689999,54.299999,48.831722,26920900
2016-05-13,53.580002,58.209999,52.470001,56.980000,51.241825,30394600
2016-05-20,57.169998,59.590000,56.270000,58.029999,52.186100,16292400
2016-05-27,57.660000,59.250000,54.860001,55.840000,50.216637,13090000
2016-06-03,55.919998,59.020000,54.169998,55.830002,50.207645,15983500
2016-06-10,55.160000,55.590000,51.910000,53.000000,47.662636,15205300
2016-06-17,53.770000,58.180000,53.540001,58.160000,52.303001,14992800
2016-06-24,55.500000,56.919998,51.380001,55.669998,50.063759,18465100
2016-07-01,55.759998,57.380001,53.720001,54.900002,49.371300,9702200
2016-07-08,55.700001,58.340000,54.680000,56.880001,51.151901,12247900
2016-07-15,57.459999,57.639999,53.270000,53.400002,48.022366,12188500
2016-07-22,53.900002,54.250000,51.369999,51.840000,46.831905,11098100
2016-07-29,51.150002,52.900002,48.820000,50.180000,45.332275,17942900
2016-08-05,49.900002,51.750000,48.049999,49.590000,44.799274,19704400
2016-08-12,49.700001,53.750000,48.869999,53.599998,48.421879,15884800
2016-08-19,53.389999,53.700001,51.959999,52.509998,47.437172,10123000
2016-08-26,52.790001,53.830002,48.529999,49.790001,44.979954,12806300
2016-09-02,50.340000,59.330002,50.320000,59.049999,53.345371,30143600
2016-09-09,58.490002,60.189999,56.560001,58.700001,53.029179,33274400
2016-09-16,57.730000,62.189999,57.330002,61.000000,55.106995,26123800
2016-09-23,60.169998,66.000000,58.110001,63.740002,57.582287,30425000
2016-09-30,64.330002,65.809998,62.889999,64.089996,57.898464,21340200
