Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,40.290001,40.290001,37.730000,37.840000,33.351627,29837200
2016-01-08,38.200001,38.299999,36.099998,37.070000,32.672955,35488200
2016-01-15,35.610001,36.490002,34.240002,34.310001,30.240341,41124200
2016-01-22,34.820000,36.380001,34.560001,35.369999,31.174604,39778900
2016-01-29,35.580002,36.230000,33.160000,34.950001,30.804424,37363500
2016-02-05,35.000000,35.369999,32.200001,32.740002,28.995928,39273400
2016-02-12,33.419998,35.349998,33.000000,34.540001,30.590086,32767200
2016-02-19,34.410000,35.689999,33.820000,35.330002,31.289736,28087000
2016-02-26,35.590000,37.720001,35.380001,37.689999,33.379856,32740300
2016-03-04,37.849998,38.430000,36.270000,36.869999,32.653622,31477700
2016-03-11,37.330002,37.860001,36.700001,37.380001,33.105312,30541400
2016-03-18,37.590000,38.560001,36.799999,37.279999,33.016747,29151000
2016-03-25,37.320000,37.660000,36.590000,36.830002,32.618206,18445500
2016-04-01,36.660000,37.189999,35.540001,35.669998,31.590858,33157000
2016-04-08,36.049999,38.419998,35.439999,38.060001,33.707550,25572100
2016-04-15,38.020000,40.950001,37.549999,40.700001,36.045639,30360800
2016-04-22,40.580002,41.599998,40.529999,40.639999,35.992496,29771400
2016-04-29,40.189999,40.849998,39.049999,39.400002,34.894299,25065000
2016-05-06,39.150002,40.400002,38.980000,39.740002,35.343266,24451400
2016-05-13,39.750000,41.259998,39.299999,40.830002,36.312672,31182800
2016-05-20,41.009998,42.549999,40.650002,42.029999,37.379902,21774300
2016-05-27,42.160000,42.560001,41.349998,42.160000,37.495522,18519700
2016-06-03,41.270000,42.610001,40.959999,41.650002,37.041950,26155400
2016-06-10,41.070000,41.529999,39.400002,40.160000,35.716801,25301500
2016-06-17,40.240002,41.540001,39.880001,41.540001,36.944122,23331200
2016-06-24,39.380001,39.599998,35.720001,38.849998,34.551739,44683500
2016-07-01,38.599998,38.730000,36.500000,37.759998,33.582329,30159400
2016-07-08,38.110001,40.669998,38.110001,39.689999,35.298801,22650600
2016-07-15,40.090000,40.090000,38.570000,38.599998,34.329395,23460100
2016-07-22,38.639999,40.290001,38.619999,39.830002,35.423309,26930600
2016-07-29,39.470001,39.759998,38.529999,38.939999,34.631779,21715900
2016-08-05,39.540001,40.840000,39.419998,40.040001,35.780754,16782800
2016-08-12,39.580002,40.380001,39.419998,40.240002,35.959476,15666100
2016-08-19,40.060001,40.529999,39.869999,40.529999,36.218624,13107600
2016-08-26,40.660000,42.020000,40.529999,41.470001,37.058643,19199400
2016-09-02,41.580002,41.759998,41.150002,41.439999,37.031830,15144800
2016-09-09,41.340000,41.740002,40.430000,40.849998,36.504601,24930200
2016-09-16,40.490002,40.900002,39.950001,40.349998,36.057777,25465800
2016-09-23,40.189999,40.549999,38.779999,39.060001,34.905010,39580100
2016-09-30,39.480000,40.939999,39.299999,40.730000,36.397350,28963800
2016-10-07,40.799999,40.970001,38.680000,39.090000,34.931808,20963500
2016-10-14,39.570000,42.340000,39.189999,42.250000,37.755665,31385200
2016-10-21,42.020000,43.880001,41.930000,43.700001,39.051430,43775100
2016-10-28,43.529999,43.799999,42.730000,43.040001,38.461632,25951500
2016-11-04,43.040001,47.610001,42.759998,46.209999,41.474751,49891500
2016-11-11,46.040001,47.959999,45.919998,47.599998,42.722309,37459300
2016-11-18,47.529999,47.709999,46.900002,47.470001,42.605629,20464000
2016-11-25,47.459999,48.669998,46.840000,48.599998,43.619831,28526700
2016-12-02,48.450001,49.540001,47.580002,49.169998,44.131432,32205500
2016-12-09,48.970001,49.020000,47.680000,48.349998,43.395451,31150600
2016-12-16,48.619999,48.619999,47.020000,47.610001,42.731289,27873000
2016-12-23,47.610001,48.520000,46.970001,47.340000,42.488956,19662300
2016-12-30,47.430000,48.959999,47.230000,48.090000,43.162106,22831400
2017-01-06,47.939999,48.439999,47.020000,47.459999,42.596661,22692500
2017-01-13,47.730000,48.160000,44.689999,44.840000,40.245129,31250800
2017-01-20,44.689999,45.220001,43.849998,44.970001,40.361809,41329400
2017-01-27,44.830002,45.389999,44.230000,44.799999,40.209236,32943600
2017-02-03,45.430000,45.950001,44.910000,45.500000,41.010777,23418700
2017-02-10,45.549999,47.529999,45.419998,47.070000,42.425877,21318100
2017-02-17,46.709999,47.639999,46.459999,47.340000,42.669228,15727600
2017-02-24,46.910000,48.790001,46.680000,47.990002,43.255100,28646300
2017-03-03,47.830002,48.470001,47.529999,47.930000,43.201019,23764300
2017-03-10,48.279999,48.750000,47.759998,48.470001,43.687748,19417400
2017-03-17,48.639999,48.650002,45.720001,46.279999,41.713818,31333300
2017-03-24,46.410000,47.650002,45.119999,47.529999,42.840492,17411400
2017-03-31,47.320000,47.950001,46.299999,47.310001,42.642197,19176200
2017-04-07,46.939999,47.470001,46.369999,46.419998,41.840008,17793600
2017-04-14,46.660000,47.500000,45.889999,46.650002,42.047321,21209000
2017-04-21,46.730000,48.070000,46.630001,47.220001,42.561069,29569300
2017-04-28,47.060001,47.840000,46.790001,47.610001,42.912594,21341900
2017-05-05,47.680000,47.930000,46.580002,46.930000,42.470577,21259900
2017-05-12,46.639999,47.299999,46.060001,46.200001,41.809944,30523900
2017-05-19,46.410000,47.520000,46.279999,47.380001,42.877823,20663200
2017-05-26,47.160000,47.590000,46.599998,47.419998,42.914013,22357100
2017-06-02,47.110001,48.689999,46.770000,48.389999,43.791832,28901900
2017-06-09,48.669998,49.919998,48.500000,49.779999,45.049763,19841500
2017-06-16,49.820000,50.389999,49.290001,49.549999,44.841618,18659700
2017-06-23,49.709999,51.590000,49.009998,51.009998,46.162876,22416300
2017-06-30,51.430000,52.340000,50.840000,51.230000,46.361969,15164600
2017-07-07,51.419998,52.080002,51.139999,52.060001,47.113110,14421400
2017-07-14,51.689999,54.590000,51.599998,53.910000,48.787304,33939400
2017-07-21,53.750000,54.410000,52.389999,52.860001,47.837090,20368700
2017-07-28,52.720001,53.950001,52.349998,53.820000,48.705864,18429100
2017-08-04,53.939999,54.290001,51.910000,51.950001,47.227985,21962000
2017-08-11,52.049999,53.540001,51.770000,51.799999,47.091629,24389200
2017-08-18,51.560001,53.099998,51.410000,52.790001,47.991638,20539000
2017-08-25,52.889999,53.230000,51.540001,52.279999,47.527996,13514000
2017-09-01,52.450001,52.689999,50.150002,50.279999,45.709785,16117000
2017-09-08,50.330002,52.040001,50.150002,51.130001,46.482525,20494200
2017-09-15,51.099998,52.660000,50.990002,52.419998,47.655270,17866200
2017-09-22,52.200001,53.020000,51.740002,53.009998,48.191643,14287700
2017-09-29,53.020000,54.570000,52.799999,54.430000,49.482574,11351400
2017-10-06,54.619999,55.290001,54.040001,54.740002,49.764389,13085600
2017-10-13,54.570000,55.090000,52.240002,52.849998,48.046188,20936600
2017-10-20,53.490002,53.840000,51.369999,52.220001,47.473450,29921300
2017-10-27,52.070000,52.299999,51.150002,51.400002,46.727985,22092200
2017-11-03,51.299999,51.720001,50.590000,50.820000,46.414345,21045100
2017-11-10,50.889999,52.709999,50.529999,52.230000,47.702110,23610800
2017-11-17,52.000000,52.799999,51.919998,52.430000,47.884773,18346200
2017-11-24,52.509998,55.279999,52.040001,54.740002,49.994514,25273200
2017-12-01,54.919998,55.400002,53.680000,54.220001,49.519596,24001700
2017-12-08,54.619999,55.230000,53.959999,54.020000,49.336929,21278700
2017-12-15,54.070000,55.000000,53.820000,54.360001,49.647461,24913300
2017-12-22,54.529999,54.619999,53.720001,54.119999,49.428268,10601300
2017-12-29,54.389999,55.049999,53.660000,54.689999,49.948853,11298200
2018-01-05,54.849998,57.860001,54.430000,57.830002,52.816643,18999100
2018-01-12,58.160000,58.990002,54.669998,55.349998,50.551628,24706700
2018-01-19,55.560001,58.330002,55.450001,56.849998,51.921600,26878700
2018-01-26,56.860001,57.939999,56.380001,57.500000,52.515247,20231000
2018-02-02,57.119999,57.779999,52.680000,53.290001,48.873219,35484100
2018-02-09,53.980000,56.680000,52.110001,56.160000,51.505356,21449100
2018-02-16,55.980000,57.410000,55.799999,55.900002,51.266899,14525200
2018-02-23,56.189999,58.669998,55.119999,55.509998,50.909225,23472500
2018-03-02,55.189999,57.560001,54.110001,55.689999,51.074310,29873900
2018-03-09,55.939999,57.450001,54.509998,54.849998,50.303921,26585500
2018-03-16,55.009998,55.500000,51.849998,52.020000,47.708485,30962500
2018-03-23,52.119999,52.290001,50.110001,51.529999,47.259098,28959200
2018-03-30,51.259998,52.139999,49.389999,51.730000,47.442524,17961900
2018-04-06,51.189999,52.259998,49.820000,52.009998,47.699306,21866700
2018-04-13,52.419998,55.250000,51.250000,55.240002,50.661606,24328000
2018-04-20,55.419998,56.630001,54.480000,55.439999,50.845024,27435600
2018-04-27,55.419998,55.650002,52.660000,53.849998,49.386806,19480100
2018-05-04,53.340000,57.320000,53.189999,57.270000,52.752220,21484500
2018-05-11,57.240002,57.740002,56.540001,57.279999,52.761421,16988700
2018-05-18,57.139999,58.080002,56.529999,57.240002,52.724579,19057400
2018-05-25,56.970001,57.220001,54.380001,54.750000,50.431007,26251900
2018-06-01,55.450001,58.220001,55.169998,57.650002,53.102234,26489100
2018-06-08,57.430000,58.020000,56.560001,56.799999,52.319290,17024900
2018-06-15,56.650002,57.869999,56.090000,57.150002,52.641682,23531500
2018-06-22,57.560001,57.720001,53.689999,54.299999,50.016502,21635900
2018-06-29,54.860001,55.130001,53.049999,53.200001,49.003277,17600100
2018-07-06,53.029999,54.400002,52.849998,53.500000,49.279617,16803700
2018-07-13,53.340000,55.700001,52.099998,52.730000,48.570354,38125500
2018-07-20,52.709999,54.470001,52.320000,53.400002,49.187500,44156000
2018-07-27,53.459999,54.150002,52.320000,52.630001,48.478249,23717900
2018-08-03,52.650002,53.549999,52.270000,52.290001,48.418900,21981300
2018-08-10,51.630001,51.759998,50.119999,51.520000,47.705906,37277400
2018-08-17,51.400002,52.810001,51.290001,52.330002,48.455940,18346500
2018-08-24,52.540001,53.439999,52.119999,52.230000,48.363342,18761900
2018-08-31,52.029999,52.880001,51.700001,52.189999,48.326302,15915700
2018-09-07,52.320000,52.490002,50.980000,51.220001,47.428108,21651900
2018-09-14,51.400002,53.380001,50.970001,53.330002,49.381901,21570600
2018-09-21,53.380001,53.509998,51.320000,51.540001,47.724419,39484700
2018-09-28,51.180000,52.919998,50.900002,52.680000,48.780022,21722900
2018-10-05,52.830002,53.139999,49.130001,49.189999,45.548397,26271200
2018-10-12,50.509998,50.509998,47.049999,47.790001,44.252045,32997900
2018-10-19,47.090000,47.650002,45.160000,46.150002,42.733448,40639900
2018-10-26,45.709999,47.880001,45.169998,47.520000,44.002022,32752200
2018-11-02,48.000000,49.240002,46.889999,49.029999,45.681545,25093100
2018-11-09,48.820000,49.240002,47.459999,49.220001,45.858566,27987600
2018-11-16,49.000000,50.470001,48.900002,49.959999,46.548035,23370200
2018-11-23,49.599998,51.669998,49.320000,50.680000,47.218861,23499300
2018-11-30,50.599998,51.980000,46.669998,47.840000,44.572815,32185800
2018-12-07,47.799999,49.000000,46.580002,48.090000,44.805740,36833600
2018-12-14,47.590000,49.889999,44.970001,45.009998,41.936081,59123000
2018-12-21,44.580002,46.820000,43.669998,46.820000,43.622475,39833400
2018-12-28,47.099998,47.549999,46.349998,46.560001,43.380234,17234500
2019-01-04,47.380001,48.330002,46.910000,47.470001,44.228081,23405300
2019-01-11,47.110001,51.580002,46.860001,51.529999,48.010815,29903300
2019-01-18,51.799999,53.759998,51.490002,53.709999,50.041924,27798500
