Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,25.709999,25.990000,24.299999,24.590000,20.619110,22383500
2016-01-08,24.809999,24.879999,22.600000,22.900000,19.202005,42098900
2016-01-15,22.190001,22.705000,21.000000,21.330000,17.885546,43710600
2016-01-22,21.650000,21.850000,19.730000,21.740000,18.229338,107285600
2016-01-29,21.879999,21.950001,19.250000,20.230000,16.963175,142067300
2016-02-05,20.260000,20.620001,18.040001,18.139999,15.284231,47683100
2016-02-12,18.600000,20.250000,18.320000,19.110001,16.101528,35678900
2016-02-19,19.110001,19.820000,18.775000,19.180000,16.160505,28010300
2016-02-26,19.299999,21.559999,18.990000,21.440001,18.064711,40959700
2016-03-04,21.639999,22.230000,20.530001,21.010000,17.702410,33911300
2016-03-11,21.340000,22.549999,21.129999,21.730000,18.309057,32250700
2016-03-18,21.930000,22.250000,21.219999,21.590000,18.191101,24630900
2016-03-25,21.670000,21.730000,20.740000,20.950001,17.651850,20664700
2016-04-01,20.920000,21.650000,20.530001,20.790001,17.517038,29435700
2016-04-08,20.959999,23.280001,20.780001,22.820000,19.227457,24599600
2016-04-15,22.770000,24.240000,22.250000,23.530001,19.825687,33172700
2016-04-22,23.620001,23.830000,23.129999,23.240000,19.581343,20644800
2016-04-29,23.080000,23.260000,21.635000,22.110001,18.629236,22380500
2016-05-06,21.910000,22.629999,21.600000,21.760000,18.431128,26007000
2016-05-13,22.000000,23.485001,21.250000,22.900000,19.396734,29663900
2016-05-20,22.990000,23.855000,22.719999,23.350000,19.777893,21475100
2016-05-27,23.430000,23.879999,22.959999,23.830000,20.184462,17700700
2016-06-03,22.830000,23.700001,22.520000,22.879999,19.379791,24764300
2016-06-10,22.549999,22.719999,20.830000,20.940001,17.736576,29854400
2016-06-17,21.000000,22.129999,20.920000,22.120001,18.736059,31690400
2016-06-24,20.469999,20.820000,18.340000,19.980000,16.923437,77035300
2016-07-01,19.879999,19.910000,18.580000,19.420000,16.449108,27453500
2016-07-08,19.790001,21.360001,19.525000,20.990000,17.778927,28959700
2016-07-15,21.139999,22.500000,20.740000,21.680000,18.363369,40073900
2016-07-22,21.750000,22.750000,21.610001,22.450001,19.015572,33547100
2016-07-29,22.370001,22.730000,21.920000,22.610001,19.151098,25521300
2016-08-05,22.950001,23.690001,22.860001,23.400000,19.927330,25049900
2016-08-12,23.219999,23.680000,22.959999,23.389999,19.918812,20366300
2016-08-19,23.309999,23.760000,23.200001,23.639999,20.131710,17112300
2016-08-26,23.700001,24.959999,23.639999,24.520000,20.881115,28688000
2016-09-02,24.590000,24.940001,24.150000,24.920000,21.221754,17829600
2016-09-09,24.730000,25.110001,24.219999,24.480000,20.847054,30122800
2016-09-16,24.260000,24.535000,23.940001,24.240000,20.642670,25132800
2016-09-23,24.160000,24.590000,23.809999,24.049999,20.480867,27282800
2016-09-30,24.280001,25.790001,24.120001,25.690001,21.877481,25013900
2016-10-07,25.700001,25.909000,24.219999,24.520000,20.881115,24218000
2016-10-14,24.920000,25.740000,24.434999,25.549999,21.758255,20667400
2016-10-21,25.680000,27.209999,25.500000,26.870001,22.882364,24424300
2016-10-28,26.870001,26.889999,25.870001,26.270000,22.371408,34119300
2016-11-04,26.260000,30.000000,25.975000,29.600000,25.322546,38712100
2016-11-11,29.420000,31.799999,29.049999,31.730000,27.144735,58229900
2016-11-18,31.809999,32.630001,31.650000,32.400002,27.717915,26777200
2016-11-25,32.389999,34.910000,31.690001,34.380001,29.411793,27709600
2016-12-02,34.540001,35.750000,33.810001,35.540001,30.404161,29944900
2016-12-09,35.540001,35.810001,34.130001,35.400002,30.284389,29078800
2016-12-16,35.709999,36.160000,34.861000,36.000000,30.797682,28510800
2016-12-23,36.020000,36.560001,35.235001,35.279999,30.181730,10453300
2016-12-30,35.340000,37.080002,35.150002,35.720001,30.558153,16520300
2017-01-06,35.910000,36.369999,35.150002,35.919998,30.729248,18624400
2017-01-13,36.200001,36.980000,33.799999,34.730000,29.711208,25796500
2017-01-20,35.560001,37.950001,35.299999,37.540001,32.115147,29620600
2017-01-27,37.430000,37.480000,35.650002,36.040001,30.831902,23187200
2017-02-03,36.810001,36.919998,35.209999,36.240002,31.122274,26505500
2017-02-10,36.150002,38.430000,36.090000,38.250000,32.848438,18535900
2017-02-17,37.720001,38.230000,36.770000,37.250000,31.989645,21326200
2017-02-24,36.750000,39.750000,36.459999,38.049999,32.676682,29088800
2017-03-03,38.240002,38.639999,37.540001,37.730000,32.401863,16235200
2017-03-10,38.060001,38.139999,36.650002,37.099998,31.860826,20731100
2017-03-17,37.049999,37.200001,33.450001,34.570000,29.688108,38790200
2017-03-24,34.790001,35.290001,32.990002,34.880001,29.954330,31055700
2017-03-31,34.669998,35.549999,34.090000,34.919998,29.988684,22909100
2017-04-07,34.540001,35.090000,33.240002,33.240002,28.545933,19784900
2017-04-14,33.279999,35.750000,33.134998,35.270000,30.289263,20775000
2017-04-21,35.279999,37.099998,34.525002,36.770000,31.577431,35425800
2017-04-28,36.770000,38.009998,36.459999,37.340000,32.066948,23712600
2017-05-05,37.419998,37.689999,36.509998,37.000000,31.896601,13613400
2017-05-12,36.799999,37.310001,34.320000,34.459999,29.706942,26413700
2017-05-19,34.689999,35.290001,34.291000,34.570000,29.801764,21948000
2017-05-26,34.509998,34.820000,33.490002,34.500000,29.741417,21432100
2017-06-02,34.180000,36.029999,33.400002,35.619999,30.706942,23495500
2017-06-09,35.889999,37.180000,35.610001,36.709999,31.646591,23449700
2017-06-16,36.750000,36.990002,34.535000,34.980000,30.155214,19545500
2017-06-23,35.139999,36.730000,34.049999,35.650002,30.732805,32318300
2017-06-30,35.889999,37.250000,35.290001,36.599998,31.551764,14974000
2017-07-07,36.730000,37.250000,36.080002,36.849998,31.767284,17692400
2017-07-14,36.220001,36.459999,34.820000,35.250000,30.387976,18384600
2017-07-21,35.189999,36.320000,34.325001,35.040001,30.206938,26278000
2017-07-28,35.040001,35.654999,34.750000,35.220001,30.362106,17020700
2017-08-04,35.619999,36.299999,33.669998,33.709999,29.210871,18196500
2017-08-11,33.730000,34.910000,32.770000,32.810001,28.430988,17665500
2017-08-18,32.750000,34.049999,32.459999,34.000000,29.462164,24851100
2017-08-25,34.110001,34.369999,32.669998,33.130001,28.708279,19186800
2017-09-01,33.279999,33.900002,31.510000,32.080002,27.798420,16049900
2017-09-08,32.119999,35.340000,32.119999,34.779999,30.138062,25042700
2017-09-15,34.689999,36.384998,34.419998,36.270000,31.429199,27912500
2017-09-22,36.090000,37.645000,36.029999,37.070000,32.122425,18751500
2017-09-29,37.169998,38.055000,36.099998,37.130001,32.174419,37797500
2017-10-06,37.310001,37.860001,37.040001,37.160000,32.200409,19280900
2017-10-13,37.000000,37.529999,36.509998,37.430000,32.434376,20717200
2017-10-20,38.349998,38.990002,37.674999,38.509998,33.370232,31753200
2017-10-27,38.369999,38.980000,37.893002,38.740002,33.569538,18020500
2017-11-03,38.680000,39.099998,36.459999,36.810001,32.048618,19875000
2017-11-10,36.849998,38.740002,36.250000,37.919998,33.015038,20982800
2017-11-17,37.650002,38.490002,37.570000,37.830002,32.936680,13664000
2017-11-24,38.020000,41.770000,37.465000,40.700001,35.435448,30357100
2017-12-01,40.900002,42.520000,39.419998,41.430000,36.071022,28352100
2017-12-08,41.639999,42.340000,40.700001,40.869999,35.583450,18310700
2017-12-15,41.290001,42.930000,41.020000,42.599998,37.089684,25620100
2017-12-22,42.849998,42.919998,42.099998,42.439999,36.950371,9834400
2017-12-29,42.439999,44.330002,41.950001,43.680000,38.029972,20739000
2018-01-05,43.889999,45.459999,43.630001,45.299999,39.440437,23683400
2018-01-12,45.610001,46.125000,44.830002,45.759998,39.840931,15044300
2018-01-19,46.139999,48.230000,45.639999,46.669998,40.633228,28808500
2018-01-26,46.799999,47.169998,45.759998,46.810001,40.755116,22867200
2018-02-02,46.650002,47.060001,41.480000,42.189999,36.908581,31467600
2018-02-09,42.939999,46.639999,41.490002,46.020000,40.259132,24043600
2018-02-16,45.730000,46.959999,45.369999,45.450001,39.760487,14534300
2018-02-23,45.709999,46.619999,43.209999,43.529999,38.080830,46314800
2018-03-02,43.139999,45.900002,42.580002,45.220001,39.559284,22413200
2018-03-09,45.580002,46.660000,44.759998,44.959999,39.331825,19026800
2018-03-16,45.080002,45.650002,42.865002,42.950001,37.573452,20620000
2018-03-23,43.099998,43.419998,40.799999,41.980000,36.724869,28775300
2018-03-30,41.939999,43.360001,40.450001,43.020000,37.634686,18429400
2018-04-06,42.330002,43.494999,40.980000,43.240002,37.827133,20292600
2018-04-13,43.520000,43.619999,40.700001,41.860001,36.619888,26462200
2018-04-20,42.000000,43.509998,41.520000,41.980000,36.724869,24498200
2018-04-27,41.950001,42.820000,39.980000,40.410000,35.351406,23495900
2018-05-04,40.169998,42.580002,39.910000,42.360001,37.254845,14775500
2018-05-11,42.470001,43.119999,42.080002,42.500000,37.377975,14783500
2018-05-18,42.320000,42.580002,40.660000,41.540001,36.533669,21447000
2018-05-25,41.299999,41.595001,39.070000,40.849998,35.926823,23888300
2018-06-01,41.459999,42.720001,41.060001,41.910000,36.859077,21487600
2018-06-08,41.770000,42.865002,40.980000,41.400002,36.410549,25532100
2018-06-15,41.330002,42.230000,40.500000,41.930000,36.876671,24066600
2018-06-22,41.919998,42.200001,39.299999,39.509998,34.748314,28227500
2018-06-29,39.849998,40.250000,38.650002,39.180000,34.458096,17882500
2018-07-06,38.970001,40.825001,38.709999,39.570000,34.801090,19514400
2018-07-13,39.400002,41.070000,38.950001,40.660000,35.759724,22680000
2018-07-20,41.099998,41.220001,39.529999,39.959999,35.144093,28520200
2018-07-27,40.110001,40.570000,39.410000,40.290001,35.434319,19734800
