Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,124.970001,127.629997,122.349998,124.889999,114.251526,1446500
2016-01-08,127.750000,130.279999,120.779999,124.959999,114.315559,2194800
2016-01-15,122.290001,124.919998,118.199997,121.410004,111.067947,1983700
2016-01-22,122.550003,125.110001,120.870003,122.449997,112.019363,1863700
2016-01-29,122.949997,128.000000,122.480003,125.949997,115.221214,1637800
2016-02-05,125.730003,130.589996,122.910004,128.429993,117.489960,2408300
2016-02-12,129.270004,135.220001,128.500000,133.020004,121.688972,1993800
2016-02-19,131.830002,135.720001,130.110001,133.990005,122.576363,1896000
2016-02-26,135.070007,135.229996,130.429993,133.539993,122.164688,1624900
2016-03-04,131.600006,134.839996,129.529999,131.940002,121.157120,1435700
2016-03-11,132.960007,138.130005,131.250000,137.580002,126.336182,1178100
2016-03-18,137.080002,140.070007,135.419998,137.330002,126.106621,1234600
2016-03-25,138.289993,140.699997,136.119995,136.940002,125.748466,1320000
2016-04-01,136.000000,140.779999,135.509995,138.940002,127.585022,1541000
2016-04-08,140.179993,143.740005,136.949997,143.619995,131.882523,1580100
2016-04-15,143.190002,145.279999,141.509995,143.750000,132.001938,1414900
2016-04-22,143.380005,146.899994,142.169998,145.160004,133.296661,1241000
2016-04-29,144.660004,153.410004,143.339996,151.130005,138.778793,1641100
2016-05-06,151.979996,157.389999,151.649994,153.619995,141.065292,2254300
2016-05-13,153.449997,155.770004,150.860001,154.039993,141.450943,1330000
2016-05-20,154.520004,155.490005,148.559998,154.220001,141.616226,1493900
2016-05-27,153.919998,156.970001,152.089996,156.740005,144.406693,1260100
2016-06-03,156.649994,164.039993,156.440002,163.750000,150.865067,1893900
2016-06-10,163.059998,164.220001,157.449997,159.250000,146.719177,1140500
2016-06-17,159.929993,163.589996,158.259995,163.000000,150.174103,1299500
2016-06-24,158.160004,168.029999,156.970001,168.029999,154.808334,2278800
2016-07-01,169.339996,173.190002,167.110001,171.330002,157.848648,1330700
2016-07-08,171.830002,176.259995,171.389999,171.970001,158.438309,1297600
2016-07-15,172.360001,172.830002,168.220001,168.820007,155.536179,1369500
2016-07-22,168.320007,172.869995,167.259995,172.559998,158.981873,1255300
2016-07-29,172.529999,177.100006,171.710007,172.789993,159.193787,1925200
2016-08-05,172.449997,173.380005,166.729996,167.869995,154.660919,1878200
2016-08-12,167.470001,169.479996,164.220001,167.440002,154.264755,1367100
2016-08-19,167.460007,169.630005,165.610001,166.750000,153.629028,854600
2016-08-26,167.250000,168.509995,162.539993,165.960007,153.359299,1074400
2016-09-02,166.000000,167.479996,165.960007,166.589996,153.941467,872900
2016-09-09,165.800003,166.110001,158.199997,159.889999,147.750183,1272400
2016-09-16,159.490005,159.899994,149.070007,154.029999,142.335083,2645600
2016-09-23,153.139999,155.550003,151.190002,152.529999,140.948975,1154200
2016-09-30,154.149994,156.070007,151.669998,156.059998,144.210953,1401600
2016-10-07,155.800003,157.360001,153.229996,155.589996,143.776627,1348700
2016-10-14,156.039993,161.679993,156.039993,157.190002,145.255157,1105200
2016-10-21,156.490005,159.619995,155.050003,159.130005,147.047882,1252400
2016-10-28,159.089996,163.539993,148.479996,148.740005,137.446747,1825800
2016-11-04,148.880005,173.389999,146.520004,172.899994,159.772354,3209700
2016-11-11,173.500000,179.000000,169.869995,176.910004,163.477905,2849300
2016-11-18,176.279999,181.149994,174.940002,177.720001,164.226410,2054000
2016-11-25,179.179993,182.740005,176.470001,179.289993,166.243271,4258500
2016-12-02,179.270004,185.509995,179.169998,181.199997,168.014297,2593100
2016-12-09,180.550003,182.350006,174.070007,179.690002,166.614166,2239300
2016-12-16,179.610001,189.169998,179.610001,187.899994,174.226746,2648100
2016-12-23,187.479996,188.740005,183.529999,184.649994,171.213242,1125900
2016-12-30,185.220001,197.279999,183.380005,195.610001,181.375702,2017800
2017-01-06,196.000000,196.100006,188.490005,191.070007,177.166061,2276400
2017-01-13,192.190002,195.160004,188.270004,194.820007,180.643204,1411400
2017-01-20,195.690002,196.710007,190.750000,194.300003,180.161041,1867500
2017-01-27,193.929993,195.240005,189.389999,194.750000,180.578308,1672600
2017-02-03,195.300003,201.100006,194.919998,198.869995,184.398499,1597200
2017-02-10,199.259995,211.789993,198.899994,209.940002,194.662933,2386500
2017-02-17,211.000000,216.330002,209.000000,214.350006,198.752045,1775200
2017-02-24,214.300003,220.679993,213.070007,218.320007,202.433136,2395000
2017-03-03,218.350006,219.880005,212.080002,213.699997,198.694931,2063800
2017-03-10,213.570007,213.899994,208.210007,210.160004,195.403519,1768700
2017-03-17,210.740005,215.509995,206.000000,207.940002,193.339355,2552400
2017-03-24,207.520004,208.600006,200.309998,202.389999,188.179092,1993100
2017-03-31,202.449997,203.449997,197.500000,200.440002,186.365997,2027400
2017-04-07,202.000000,207.759995,201.020004,202.970001,188.718338,1403300
2017-04-14,203.410004,203.839996,198.020004,200.050003,186.003387,1340000
2017-04-21,200.199997,205.589996,199.479996,202.190002,187.993134,1441700
2017-04-28,202.589996,202.889999,183.610001,188.210007,174.994736,2366900
2017-05-05,189.940002,198.000000,188.830002,195.580002,181.847244,1864800
2017-05-12,195.130005,197.880005,189.009995,190.339996,176.975143,1757800
2017-05-19,191.300003,199.490005,190.750000,197.440002,183.576630,1242200
2017-05-26,196.770004,198.440002,192.710007,194.289993,181.202408,1310200
2017-06-02,194.089996,195.669998,187.899994,192.509995,179.542343,1613800
2017-06-09,192.559998,198.429993,191.899994,195.559998,182.386887,1498900
2017-06-16,193.789993,194.369995,184.490005,185.539993,173.041840,2666000
