Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,148.050003,148.320007,140.630005,140.970001,119.998299,12515900
2016-01-08,141.360001,142.500000,138.539993,141.179993,120.177063,14121700
2016-01-15,138.300003,140.800003,134.639999,137.759995,117.265831,15574800
2016-01-22,140.139999,147.970001,137.529999,147.320007,125.403633,17577500
2016-01-29,148.240005,154.380005,146.050003,153.440002,130.613190,19501700
2016-02-05,153.199997,155.759995,149.000000,150.669998,128.255264,14936400
2016-02-12,150.669998,157.130005,150.669998,156.779999,134.420532,8599100
2016-02-19,157.000000,159.000000,153.639999,158.990005,136.315338,9907600
2016-02-26,159.149994,159.880005,156.820007,159.380005,136.649719,9774200
2016-03-04,159.460007,160.800003,158.169998,159.889999,137.086990,9557900
2016-03-11,161.139999,164.360001,159.350006,163.750000,140.396515,9990100
2016-03-18,164.149994,165.500000,163.050003,164.460007,141.005234,14268200
2016-03-25,164.929993,167.500000,163.119995,166.630005,142.865768,8834200
2016-04-01,165.630005,167.740005,164.649994,167.160004,143.320160,10472300
2016-04-08,167.710007,169.000000,166.100006,168.160004,144.177551,7646200
2016-04-15,168.320007,170.770004,168.199997,168.660004,144.606247,7487400
2016-04-22,169.089996,169.759995,164.970001,167.000000,143.183029,11255100
2016-04-29,166.979996,168.500000,166.289993,167.770004,143.843170,9382000
2016-05-06,167.839996,171.270004,167.000000,170.149994,145.883759,8192400
2016-05-13,170.050003,170.380005,163.169998,165.110001,141.562515,9109800
2016-05-20,165.250000,170.770004,164.520004,168.910004,145.784897,8451300
2016-05-27,168.910004,169.750000,167.089996,168.039993,145.033981,6477400
2016-06-03,168.050003,171.929993,167.509995,170.130005,146.837860,8561000
2016-06-10,169.270004,170.389999,166.600006,169.929993,146.665222,10601000
2016-06-17,169.990005,174.149994,168.419998,174.110001,150.272980,10891100
2016-06-24,168.869995,175.139999,165.160004,175.119995,151.144714,13692400
2016-07-01,175.139999,176.080002,173.509995,174.869995,150.928925,8510100
2016-07-08,175.869995,181.320007,175.820007,180.899994,156.133362,9694800
2016-07-15,181.500000,182.270004,179.699997,180.259995,155.581009,8035000
2016-07-22,180.419998,180.529999,176.139999,177.979996,153.613144,10723400
2016-07-29,178.110001,179.419998,177.080002,177.809998,153.466461,7826500
2016-08-05,178.250000,181.100006,177.369995,181.000000,156.219666,7495800
2016-08-12,181.470001,181.470001,178.320007,179.179993,154.648880,6311100
2016-08-19,178.660004,180.539993,178.080002,179.580002,155.959839,5814900
2016-08-26,180.190002,181.250000,178.580002,179.979996,156.307251,6147600
2016-09-02,180.529999,181.490005,178.940002,180.100006,156.411469,5204300
2016-09-09,178.889999,179.000000,174.690002,176.589996,153.363144,9389800
2016-09-16,175.880005,181.660004,174.389999,179.850006,156.194382,10321300
2016-09-23,179.399994,179.699997,174.869995,175.369995,152.303574,9713200
2016-09-30,176.580002,177.149994,170.600006,171.639999,149.064194,11950800
2016-10-07,171.899994,172.750000,168.460007,170.020004,147.657303,9658200
2016-10-14,170.990005,171.910004,168.990005,169.860001,147.518311,6301900
2016-10-21,168.110001,173.440002,165.110001,165.759995,143.957611,12169200
2016-10-28,166.550003,167.639999,163.850006,166.830002,144.886871,11417400
2016-11-04,167.210007,174.669998,165.839996,174.279999,151.356964,12753400
2016-11-11,174.050003,175.509995,171.570007,172.770004,150.045578,10458600
2016-11-18,172.509995,173.279999,170.720001,172.250000,150.553085,6736200
2016-11-25,172.210007,173.990005,171.449997,172.630005,150.885239,8459400
2016-12-02,172.529999,176.350006,171.089996,175.880005,153.725845,10475300
2016-12-09,175.360001,180.059998,175.050003,176.020004,153.848236,11944900
2016-12-16,176.559998,179.529999,176.550003,179.199997,156.627655,9431400
2016-12-23,179.089996,179.449997,178.020004,178.410004,155.937149,3772000
2016-12-30,179.000000,180.000000,176.889999,177.710007,155.325317,7093300
2017-01-06,177.289993,178.600006,175.750000,177.440002,155.089371,8179100
