Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,27.309999,28.670000,25.340000,25.530001,23.331728,23830100
2016-01-08,25.500000,25.600000,23.520000,25.059999,22.902197,35621400
2016-01-15,24.440001,25.950001,22.690001,24.620001,22.500086,31721000
2016-01-22,25.250000,26.230000,22.049999,23.000000,21.019575,32998400
2016-01-29,23.440001,25.370001,22.020000,24.799999,22.664581,34014400
2016-02-05,24.700001,25.770000,22.370001,24.750000,22.618887,33280200
2016-02-12,24.680000,25.889999,22.200001,25.719999,23.505367,33496500
2016-02-19,25.590000,25.680000,23.110001,25.420000,23.231199,26524200
2016-02-26,25.730000,28.620001,25.620001,28.490000,26.036856,32773000
2016-03-04,28.549999,31.100000,28.500000,29.459999,27.204050,37315100
2016-03-11,29.500000,30.250000,28.040001,29.870001,27.582657,27475500
2016-03-18,30.070000,30.299999,26.860001,27.260000,25.172518,34877500
2016-03-25,27.510000,28.410000,26.820000,27.000000,24.932426,19281800
2016-04-01,26.889999,27.030001,24.520000,24.750000,22.854723,24653100
2016-04-08,25.110001,26.559999,24.570000,25.469999,23.519592,25343200
2016-04-15,25.420000,29.660000,25.110001,28.709999,26.511478,28589300
2016-04-22,28.799999,29.260000,27.520000,28.570000,26.382206,24879000
2016-04-29,28.420000,28.740000,25.959999,26.080000,24.082880,30811400
2016-05-06,25.920000,26.900000,24.809999,25.440001,23.491888,26193400
2016-05-13,25.309999,26.590000,24.750000,25.670000,23.704275,24279400
2016-05-20,25.780001,26.809999,25.650000,26.129999,24.129045,23603000
2016-05-27,26.170000,26.270000,24.420000,25.650000,23.685806,26435500
2016-06-03,25.280001,29.459999,25.250000,27.530001,25.696920,32321100
2016-06-10,27.209999,28.080000,25.440001,25.900000,24.175447,23266600
2016-06-17,25.930000,28.700001,25.930000,28.000000,26.135622,31991700
2016-06-24,26.930000,27.830000,24.530001,26.180000,24.436806,33017400
2016-07-01,26.030001,26.870001,24.450001,24.990000,23.326038,16776500
2016-07-08,25.389999,28.670000,24.990000,28.180000,26.303638,29013100
2016-07-15,28.299999,29.580000,27.950001,28.889999,26.966358,26572200
2016-07-22,28.740000,29.690001,27.430000,27.650000,25.808929,21741200
2016-07-29,27.530001,28.059999,25.980000,26.440001,24.679497,36602500
2016-08-05,26.650000,28.700001,26.510000,28.110001,26.238298,24820400
2016-08-12,28.110001,28.700001,27.129999,27.959999,26.098286,23609700
2016-08-19,27.650000,29.469999,27.440001,28.500000,26.602331,19027000
2016-08-26,28.670000,30.959999,27.469999,29.170000,27.227716,44577100
2016-09-02,29.480000,29.850000,28.100000,28.250000,26.368975,16391400
2016-09-09,28.059999,28.129999,25.700001,25.950001,24.450127,23626300
2016-09-16,25.750000,25.980000,25.000000,25.549999,24.073248,21567700
2016-09-23,25.420000,25.530001,23.730000,24.250000,22.848381,28558700
2016-09-30,24.400000,25.490000,24.150000,24.850000,23.413704,24301900
2016-10-07,24.900000,25.049999,22.770000,23.240000,21.896759,24049900
2016-10-14,23.400000,24.850000,22.799999,24.690001,23.262949,26621200
2016-10-21,24.520000,25.070000,23.830000,23.930000,22.546877,19618900
2016-10-28,23.990000,25.040001,23.260000,24.150000,22.754162,29328100
2016-11-04,24.020000,28.500000,23.959999,28.230000,26.598343,29090500
2016-11-11,28.070000,28.299999,26.799999,27.330000,25.750360,25383400
2016-11-18,27.209999,29.120001,27.200001,27.450001,25.863428,20535200
2016-11-25,27.480000,29.500000,26.610001,29.090000,27.408636,25958900
2016-12-02,29.049999,30.690001,28.469999,30.180000,28.724457,24429100
2016-12-09,30.260000,31.540001,29.059999,29.740000,28.305674,26424600
2016-12-16,29.650000,29.920000,27.510000,29.350000,27.934488,34393400
2016-12-23,29.340000,30.379999,28.799999,29.330000,27.915449,10913500
2016-12-30,29.389999,31.040001,29.100000,30.870001,29.381178,23103300
2017-01-06,30.850000,31.610001,30.290001,31.410000,29.895132,15718200
2017-01-13,31.490000,31.780001,30.010000,30.250000,28.791077,12306700
2017-01-20,30.690001,33.990002,30.650000,31.840000,30.304396,34073100
2017-01-27,31.820000,31.990000,30.709999,31.450001,29.933205,20332100
2017-02-03,31.530001,33.020000,30.660000,31.830000,30.294878,27871600
2017-02-10,32.080002,34.360001,32.080002,33.150002,31.551224,21878200
2017-02-17,33.139999,33.900002,31.469999,31.830000,30.294878,15118800
2017-02-24,31.469999,31.900000,30.410000,30.420000,28.952881,29699900
2017-03-03,30.299999,30.490000,28.639999,29.000000,27.844141,39685100
2017-03-10,29.030001,29.440001,28.459999,28.990000,27.834536,18287400
2017-03-17,29.080000,29.590000,28.340000,29.000000,27.844141,16058500
2017-03-24,28.980000,29.799999,28.379999,29.350000,28.180193,13827300
2017-03-31,29.240000,29.510000,28.410000,29.190001,28.026569,21359200
2017-04-07,29.049999,29.129999,27.420000,27.459999,26.365522,17164300
2017-04-14,27.480000,27.559999,26.719999,27.100000,26.019871,14839100
2017-04-21,27.040001,27.889999,26.670000,27.450001,26.355923,22122100
2017-04-28,27.549999,27.610001,23.209999,23.320000,22.390530,43882400
2017-05-05,23.400000,24.120001,23.209999,23.700001,22.755386,41247700
2017-05-12,23.650000,23.799999,22.430000,22.850000,21.939259,23570800
2017-05-19,22.950001,23.900000,22.680000,22.900000,21.987270,21850700
2017-05-26,22.840000,23.209999,22.280001,22.790001,21.881657,12809400
2017-06-02,22.730000,22.790001,22.150000,22.549999,21.792358,17003700
2017-06-09,22.860001,24.450001,22.230000,22.330000,21.579754,24209500
2017-06-16,22.360001,22.950001,21.790001,22.320000,21.570089,22871100
2017-06-23,22.400000,23.340000,22.110001,22.610001,21.850348,15931500
2017-06-30,22.730000,23.840000,22.350000,22.400000,21.647402,12573900
2017-07-07,22.480000,24.299999,22.170000,23.850000,23.048685,24456100
2017-07-14,23.750000,24.770000,23.520000,24.430000,23.609200,14889600
2017-07-21,24.440001,24.620001,23.340000,23.879999,23.077677,15716600
2017-07-28,23.879999,24.370001,21.969999,22.320000,21.570089,26480300
2017-08-04,22.400000,22.620001,20.389999,20.610001,19.917542,24354000
2017-08-11,20.790001,20.950001,19.770000,20.100000,19.424675,27633300
2017-08-18,20.059999,20.420000,19.590000,20.190001,19.511656,16141300
2017-08-25,20.340000,20.540001,19.670000,19.980000,19.308704,14137700
2017-09-01,20.049999,20.260000,19.240000,19.530001,18.873831,18681100
2017-09-08,19.510000,20.559999,19.230000,20.440001,19.906698,21673200
2017-09-15,20.469999,21.860001,20.389999,20.940001,20.393654,28820500
2017-09-22,20.879999,21.910000,20.740000,21.299999,20.744259,16645300
2017-09-29,21.299999,21.940001,21.170000,21.639999,21.075388,16458800
2017-10-06,21.570000,21.600000,20.719999,21.230000,20.676083,16485800
2017-10-13,21.299999,22.049999,20.889999,21.100000,20.549477,17045900
2017-10-20,21.250000,21.799999,20.830000,21.160000,20.607914,14646700
2017-10-27,20.910000,23.139999,20.750000,22.469999,21.883734,33614300
2017-11-03,22.500000,22.940001,22.240000,22.500000,21.912949,25851300
2017-11-10,22.420000,23.450001,22.340000,22.480000,21.893467,21812400
2017-11-17,22.440001,23.980000,22.430000,23.889999,23.266680,17061700
2017-11-24,23.969999,24.709999,23.459999,24.290001,23.656244,21435700
2017-12-01,24.309999,24.690001,23.170000,23.870001,23.247208,24955400
2017-12-08,23.980000,25.190001,23.480000,24.900000,24.275787,34234100
2017-12-15,24.850000,25.280001,24.350000,25.240000,24.607269,34998700
2017-12-22,25.320000,25.870001,25.270000,25.559999,24.919243,10758800
2017-12-29,26.000000,26.860001,25.430000,26.820000,26.147659,16808700
2018-01-05,26.990000,27.129999,25.510000,27.070000,26.391388,24626800
2018-01-12,27.139999,27.280001,25.219999,26.219999,25.562693,19591500
2018-01-19,26.350000,27.510000,25.930000,26.690001,26.020916,24424900
2018-01-26,26.830000,28.299999,26.740000,26.870001,26.196405,26610200
2018-02-02,26.719999,26.840000,23.740000,24.129999,23.525091,28556300
2018-02-09,24.459999,26.110001,23.459999,25.860001,25.211725,23419700
2018-02-16,25.799999,28.080000,25.430000,27.450001,26.761868,27726300
2018-02-23,27.799999,29.200001,25.850000,26.360001,25.699192,27696300
2018-03-02,26.260000,28.459999,25.709999,27.290001,26.630699,25632900
2018-03-09,27.500000,29.180000,26.350000,26.389999,25.752441,24490000
2018-03-16,26.309999,26.430000,24.660000,24.680000,24.083755,21646100
2018-03-23,24.680000,25.100000,23.430000,24.280001,23.693419,21710700
2018-03-30,24.250000,25.290001,22.900000,25.190001,24.581434,16533300
2018-04-06,24.799999,25.370001,23.990000,24.820000,24.220371,19117600
2018-04-13,25.020000,26.309999,24.520000,25.850000,25.225491,16984200
2018-04-20,25.809999,27.490000,25.430000,27.170000,26.513601,23286600
2018-04-27,27.120001,27.549999,26.410000,27.010000,26.357462,22618500
2018-05-04,26.840000,27.900000,25.510000,26.379999,25.742683,27753900
2018-05-11,26.500000,28.090000,26.389999,28.020000,27.343065,22833300
2018-05-18,28.010000,28.660000,27.139999,27.860001,27.186926,21393400
2018-05-25,27.840000,28.190001,27.389999,27.490000,26.825867,15473300
2018-06-01,27.719999,29.469999,27.150000,29.299999,28.592138,19530000
2018-06-08,29.290001,29.950001,28.809999,29.480000,28.793619,18355700
2018-06-15,29.309999,29.320000,27.639999,28.379999,27.719231,20742000
2018-06-22,28.590000,29.250000,27.809999,28.309999,27.650862,18253500
2018-06-29,28.549999,28.820000,27.520000,27.799999,27.152737,11651300
2018-07-06,27.680000,29.200001,27.500000,28.250000,27.592255,13954300
2018-07-13,28.160000,28.799999,27.830000,28.200001,27.543423,14146800
2018-07-20,28.000000,29.910000,28.000000,29.870001,29.174543,21006000
2018-07-27,29.889999,30.360001,29.430000,30.090000,29.389414,20904200
2018-08-03,30.090000,32.320000,29.870001,32.060001,31.313551,31291600
2018-08-10,31.850000,32.020000,29.590000,29.629999,28.940128,20047900
2018-08-17,29.590000,30.350000,28.850000,29.430000,28.744781,19423000
2018-08-24,29.650000,31.790001,29.469999,31.330000,30.600546,21746700
2018-08-31,31.350000,31.459999,29.990000,30.280001,29.574993,11895500
2018-09-07,30.020000,31.490000,29.670000,30.680000,29.989998,15345600
2018-09-14,30.580000,32.709999,30.520000,32.310001,31.583342,21502200
2018-09-21,32.529999,32.980000,31.940001,32.270000,31.544245,17768900
2018-09-28,32.290001,34.009998,32.070000,33.779999,33.020275,19112800
2018-10-05,33.700001,33.900002,32.240002,32.689999,31.954802,20212700
2018-10-12,33.259998,33.459999,32.250000,32.849998,32.111195,18490600
2018-10-19,32.869999,33.619999,29.410000,30.000000,29.325293,22194800
2018-10-26,29.559999,32.209999,29.040001,32.119999,31.397614,22073400
2018-11-02,32.369999,37.369999,31.590000,36.990002,36.158085,33819800
2018-11-09,36.520000,36.830002,35.020000,36.139999,35.327202,24993400
2018-11-16,35.939999,36.849998,34.130001,35.459999,34.662495,17454800
2018-11-23,34.959999,36.480000,34.470001,36.169998,35.356537,14558800
2018-11-30,36.000000,37.330002,33.009998,34.549999,33.772964,18020200
2018-12-07,34.680000,35.099998,30.639999,30.910000,30.236252,27079200
2018-12-14,30.600000,31.330000,28.209999,28.790001,28.162464,21749000
2018-12-21,28.510000,29.570000,27.520000,29.559999,28.915678,15971100
2018-12-28,29.700001,29.770000,28.389999,28.450001,27.829876,12828900
2019-01-04,29.090000,31.719999,29.070000,31.570000,30.881870,15935700
2019-01-11,31.379999,32.299999,30.750000,31.959999,31.263367,13234000
2019-01-18,32.119999,32.560001,30.540001,31.010000,30.334074,14055200
2019-01-25,31.750000,32.380001,30.900000,32.279999,31.576391,14922200
2019-02-01,32.330002,32.669998,31.010000,31.400000,30.715574,17619700
2019-02-08,31.040001,32.619999,30.330000,31.940001,31.243801,20882500
2019-02-15,32.310001,33.889999,31.250000,33.169998,32.446991,15490400
2019-02-22,32.750000,33.910000,30.959999,31.270000,30.588406,32116100
2019-03-01,31.410000,31.620001,27.809999,27.920000,27.311426,28373100
2019-03-08,27.660000,29.160000,27.540001,28.379999,27.784636,20672700
2019-03-15,28.360001,29.010000,27.980000,28.299999,27.706314,18653900
2019-03-22,27.959999,28.120001,25.950001,27.170000,26.600021,22531000
2019-03-29,27.379999,27.969999,27.110001,27.719999,27.138483,15976600
2019-04-05,27.770000,28.010000,26.860001,27.000000,26.433588,15573200
2019-04-12,26.809999,27.230000,26.420000,27.070000,26.502119,20686200
2019-04-19,26.990000,27.360001,26.030001,26.049999,25.503519,17867300
2019-04-26,26.030001,26.650000,24.870001,25.250000,24.720301,24861500
2019-05-03,25.440001,25.709999,22.840000,23.650000,23.153864,32281100
2019-05-10,23.740000,24.090000,22.549999,23.160000,22.674147,29224000
2019-05-17,23.000000,23.280001,21.510000,21.620001,21.166451,16653000
2019-05-24,21.889999,22.000000,20.809999,21.270000,20.823792,15828400
2019-05-31,20.930000,23.209999,20.830000,22.459999,21.988829,29538200
2019-06-07,22.580000,23.020000,21.850000,22.840000,22.410179,23809400
2019-06-14,22.700001,24.240000,22.360001,23.629999,23.185308,30954100
2019-06-21,23.680000,24.820000,23.230000,24.389999,23.931007,31390600
2019-06-28,24.520000,25.490000,24.379999,24.760000,24.294044,26380700
2019-07-05,24.610001,24.870001,22.389999,22.490000,22.066763,21646900
2019-07-12,22.570000,24.070000,22.510000,23.830000,23.381546,21487200
2019-07-19,23.830000,25.040001,23.790001,24.250000,23.793638,13759500
2019-07-26,24.250000,25.709999,23.480000,25.080000,24.608023,22672300
2019-08-02,24.860001,24.889999,20.049999,23.070000,22.635849,48956900
2019-08-09,22.709999,22.799999,19.190001,19.290001,18.926985,28270400
2019-08-16,19.410000,20.129999,18.990000,19.070000,18.711123,17808800
2019-08-23,19.150000,19.150000,17.360001,18.370001,18.024294,31708500
2019-08-30,18.459999,19.570000,17.719999,19.379999,19.015289,16281900
2019-09-06,19.379999,22.330000,19.170000,21.980000,21.626703,30162600
2019-09-13,22.129999,23.180000,20.920000,20.990000,20.652613,29463500
2019-09-20,20.920000,21.240000,19.790001,19.950001,19.629333,24153900
2019-09-27,20.010000,21.110001,19.270000,19.730000,19.412868,19107300
2019-10-04,19.719999,19.879999,18.540001,19.340000,19.029137,28461600
2019-10-11,19.770000,20.850000,19.629999,19.639999,19.324314,16134800
2019-10-18,19.700001,20.559999,19.010000,19.920000,19.599812,15448500
2019-10-25,19.910000,20.900000,19.559999,19.879999,19.560457,14091700
2019-11-01,20.059999,22.500000,20.020000,20.740000,20.406631,30280500
2019-11-08,20.680000,21.379999,19.280001,20.290001,19.963867,23326300
2019-11-15,20.440001,20.469999,17.950001,18.020000,17.730354,19128400
