Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,84.980003,85.669998,78.930000,79.639999,79.639999,5573500
2016-01-08,80.110001,81.790001,73.910004,78.209999,78.209999,7399600
2016-01-15,76.120003,77.790001,70.139999,74.410004,74.410004,7800000
2016-01-22,75.580002,78.190002,57.669998,63.570000,63.570000,29655900
2016-01-29,63.990002,65.510002,56.669998,58.619999,58.619999,22050500
2016-02-05,54.119999,55.470001,46.000000,49.029999,49.029999,25429200
2016-02-12,49.480000,55.840000,48.110001,54.259998,54.259998,13435100
2016-02-19,54.220001,56.349998,50.000000,54.160000,54.160000,13566900
2016-02-26,54.580002,58.400002,54.270000,58.360001,58.360001,12577700
2016-03-04,58.869999,62.320000,56.580002,60.720001,60.720001,10961200
2016-03-11,61.099998,63.680000,60.150002,60.799999,60.799999,9101400
2016-03-18,61.049999,63.119999,59.910000,61.689999,61.689999,8824700
2016-03-25,61.639999,62.430000,59.770000,61.180000,61.180000,7223400
2016-04-01,61.130001,64.820000,60.049999,64.019997,64.019997,8556900
2016-04-08,64.360001,65.330002,61.430000,63.000000,63.000000,10264600
2016-04-15,63.180000,76.839996,62.459999,74.269997,74.269997,16737500
2016-04-22,73.440002,74.570000,71.120003,71.370003,71.370003,10124700
2016-04-29,71.339996,72.129997,67.269997,67.790001,67.790001,7748500
2016-05-06,67.050003,70.120003,65.830002,67.470001,67.470001,7180300
2016-05-13,67.260002,72.000000,66.839996,69.750000,69.750000,7527800
2016-05-20,70.379997,71.809998,68.080002,70.050003,70.050003,7854100
2016-05-27,69.910004,74.260002,68.910004,74.230003,74.230003,6719500
2016-06-03,73.820000,77.760002,72.860001,75.559998,75.559998,7547100
2016-06-10,74.680000,75.089996,72.190002,73.680000,73.680000,5936200
2016-06-17,73.269997,75.190002,71.620003,75.180000,75.180000,5926100
2016-06-24,72.570000,73.220001,63.509998,66.400002,66.400002,11136500
2016-07-01,66.519997,67.449997,64.309998,65.010002,65.010002,4832000
2016-07-08,65.410004,72.760002,65.410004,70.160004,70.160004,7749800
2016-07-15,71.470001,73.419998,69.629997,71.050003,71.050003,6688700
2016-07-22,71.550003,78.769997,70.760002,76.379997,76.379997,9764300
2016-07-29,75.900002,75.900002,71.690002,74.940002,74.940002,9653900
2016-08-05,75.089996,76.290001,74.269997,76.089996,76.089996,4670200
2016-08-12,75.529999,76.809998,72.480003,73.070000,73.070000,5046000
2016-08-19,72.860001,74.910004,71.250000,73.599998,73.599998,5128800
2016-08-26,73.419998,74.089996,71.739998,74.000000,74.000000,5012600
2016-09-02,74.099998,78.389999,74.099998,75.400002,75.400002,7005300
2016-09-09,74.820000,77.750000,71.339996,77.709999,77.709999,7925500
2016-09-16,77.050003,78.349998,74.779999,77.919998,77.919998,6712600
2016-09-23,77.620003,80.309998,76.349998,78.480003,78.480003,6542600
2016-09-30,78.760002,80.019997,77.970001,78.379997,78.379997,6321400
2016-10-07,78.150002,80.800003,73.019997,75.389999,75.389999,8717000
2016-10-14,76.150002,80.150002,74.260002,78.849998,78.849998,8659800
2016-10-21,78.449997,89.790001,78.190002,84.959999,84.959999,19104200
2016-10-28,85.209999,88.040001,83.529999,83.879997,83.879997,11731400
