Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,13.120000,13.320000,12.390000,12.420000,11.450446,15726800
2016-01-08,12.560000,12.810000,12.060000,12.710000,11.717806,23517500
2016-01-15,12.360000,12.730000,11.800000,12.370000,11.404349,19371100
2016-01-22,12.700000,12.960000,12.410000,12.840000,11.837658,15842100
2016-01-29,12.890000,13.100000,11.940000,12.210000,11.256838,22729700
2016-02-05,11.430000,11.790000,10.210000,10.400000,9.588134,32546400
2016-02-12,10.530000,11.270000,10.470000,10.850000,10.003006,15098000
2016-02-19,10.800000,11.190000,10.490000,10.870000,10.021445,20459100
2016-02-26,10.950000,11.170000,10.690000,10.910000,10.058321,24064200
2016-03-04,10.920000,11.350000,10.830000,11.090000,10.224271,32974800
2016-03-11,11.250000,12.660000,11.050000,12.440000,11.574102,24194100
2016-03-18,12.490000,12.750000,12.180000,12.500000,11.629925,20319100
2016-03-25,12.520000,12.940000,12.490000,12.770000,11.881132,11729500
2016-04-01,12.680000,13.060000,12.460000,12.590000,11.713662,18914300
2016-04-08,12.690000,12.860000,12.260000,12.730000,11.843916,11023000
2016-04-15,12.730000,12.910000,12.390000,12.740000,11.853220,18562300
2016-04-22,12.760000,12.910000,12.500000,12.540000,11.667141,8769900
2016-04-29,12.480000,12.690000,12.070000,12.170000,11.322897,11092200
2016-05-06,11.830000,12.730000,11.830000,11.940000,11.108904,15636100
2016-05-13,11.930000,12.010000,11.310000,11.520000,10.718141,17034800
2016-05-20,11.570000,12.090000,11.530000,11.860000,11.034474,8726600
2016-05-27,11.860000,12.140000,11.740000,12.140000,11.294985,11041800
2016-06-03,12.080000,12.210000,11.600000,11.690000,10.876306,17438300
2016-06-10,11.600000,11.870000,11.250000,11.400000,10.606493,24671200
2016-06-17,11.380000,12.040000,11.200000,11.860000,11.034474,12933200
2016-06-24,11.300000,11.430000,10.540000,11.350000,10.559974,20873600
2016-07-01,11.360000,11.620000,11.050000,11.360000,10.569276,11682600
2016-07-08,11.470000,12.460000,11.440000,12.330000,11.471759,15475100
2016-07-15,12.400000,12.580000,12.070000,12.400000,11.536885,10084900
2016-07-22,12.450000,12.910000,12.410000,12.780000,11.890435,11839400
2016-07-29,12.540000,13.080000,12.540000,12.740000,11.853220,13378000
2016-08-05,12.790000,13.460000,12.700000,13.390000,12.457977,18214300
2016-08-12,13.410000,13.880000,13.410000,13.750000,12.792920,16524300
2016-08-19,13.750000,13.950000,13.580000,13.890000,12.923173,13559200
2016-08-26,13.970000,14.140000,13.830000,13.970000,12.997606,13429900
2016-09-02,14.050000,14.340000,13.670000,13.810000,12.848742,13655300
2016-09-09,13.690000,13.920000,13.180000,13.640000,12.690576,18002300
2016-09-16,13.520000,14.170000,13.470000,14.140000,13.254987,14205800
2016-09-23,14.000000,14.230000,13.760000,13.890000,13.020635,10547700
2016-09-30,13.910000,14.680000,13.890000,14.520000,13.611203,19420700
2016-10-07,14.500000,14.550000,13.280000,13.540000,12.692539,13390300
2016-10-14,13.620000,13.730000,13.310000,13.510000,12.664418,9260000
2016-10-21,13.370000,13.540000,12.120000,12.220000,11.455158,15750400
2016-10-28,12.160000,12.410000,11.780000,11.830000,11.089568,11828300
2016-11-04,11.880000,12.320000,10.990000,11.950000,11.202056,23714900
2016-11-11,11.870000,12.320000,11.790000,12.000000,11.248927,18926900
2016-11-18,12.020000,12.050000,11.630000,11.800000,11.061446,8993000
2016-11-25,11.830000,12.020000,11.440000,11.760000,11.023949,13115200
2016-12-02,11.770000,11.990000,11.580000,11.920000,11.173936,14462200
2016-12-09,11.930000,12.150000,11.630000,11.690000,10.958330,15326700
2016-12-16,11.760000,11.830000,11.530000,11.740000,11.005200,10725000
2016-12-23,11.740000,11.920000,11.550000,11.660000,10.930206,6414700
2016-12-30,11.670000,11.980000,11.420000,11.890000,11.145811,7623700
2017-01-06,11.880000,12.180000,11.760000,12.020000,11.267676,12221300
2017-01-13,12.010000,12.260000,11.890000,12.040000,11.286424,8788600
2017-01-20,12.050000,12.370000,11.880000,12.220000,11.455158,7855800
2017-01-27,12.190000,12.410000,12.080000,12.220000,11.455158,8864200
2017-02-03,12.260000,12.410000,12.000000,12.390000,11.614518,9834200
2017-02-10,12.500000,13.480000,12.190000,13.050000,12.233209,15932900
2017-02-17,13.020000,13.470000,12.870000,13.240000,12.411316,12643200
2017-02-24,13.240000,13.250000,12.800000,12.840000,12.036352,9891600
2017-03-03,12.790000,13.340000,12.330000,12.410000,11.633266,10742100
2017-03-10,12.460000,13.070000,12.200000,12.640000,11.848870,8491000
2017-03-17,12.600000,12.760000,12.430000,12.550000,11.860306,9873000
2017-03-24,12.580000,13.310000,12.500000,13.240000,12.512386,7472300
2017-03-31,13.090000,13.190000,12.500000,12.570000,11.879208,11343700
2017-04-07,12.550000,12.630000,12.320000,12.330000,11.652395,10644000
2017-04-14,12.390000,13.010000,12.190000,12.940000,12.228872,7701000
2017-04-21,12.910000,13.140000,12.720000,12.960000,12.247775,8260200
2017-04-28,12.930000,12.980000,12.430000,12.570000,11.879208,8643400
2017-05-05,12.590000,13.300000,12.260000,12.680000,11.983161,13269400
2017-05-12,12.670000,12.960000,12.580000,12.700000,12.002062,10328400
2017-05-19,12.720000,13.310000,12.510000,13.210000,12.484035,6980700
2017-05-26,13.230000,13.620000,13.100000,13.570000,12.824251,7513300
2017-06-02,13.550000,13.640000,13.180000,13.510000,12.767549,8643000
2017-06-09,13.550000,13.840000,13.430000,13.610000,12.862053,9280300
2017-06-16,13.640000,13.850000,13.300000,13.450000,12.710846,6757800
2017-06-23,13.440000,13.920000,13.380000,13.600000,12.852602,7144000
2017-06-30,13.630000,13.920000,13.230000,13.240000,12.512386,6785400
2017-07-07,13.280000,13.430000,13.070000,13.230000,12.502936,9032200
2017-07-14,13.300000,14.080000,13.240000,13.960000,13.192818,6450100
2017-07-21,13.900000,14.350000,13.830000,14.270000,13.485784,7148200
2017-07-28,14.260000,14.490000,14.180000,14.250000,13.466882,5598200
2017-08-04,14.280000,14.430000,13.590000,13.680000,12.928207,7613100
2017-08-11,13.760000,14.040000,13.200000,13.230000,12.502936,10613000
2017-08-18,13.250000,13.470000,13.050000,13.200000,12.474584,7581500
2017-08-25,13.280000,13.470000,13.070000,13.370000,12.635242,8083900
2017-09-01,13.400000,13.580000,13.190000,13.530000,12.786448,7667100
2017-09-08,13.530000,13.540000,12.840000,13.050000,12.332829,10272800
2017-09-15,13.050000,13.220000,12.940000,13.080000,12.454541,9710400
2017-09-22,13.020000,13.350000,12.990000,13.260000,12.625936,7176800
2017-09-29,13.220000,13.460000,13.160000,13.430000,12.787807,6251800
2017-10-06,13.410000,13.580000,13.140000,13.540000,12.892545,7597700
2017-10-13,13.610000,13.770000,13.520000,13.620000,12.968719,7496100
2017-10-20,13.690000,13.820000,13.520000,13.680000,13.025851,6855600
2017-10-27,13.660000,13.870000,13.490000,13.800000,13.140113,8234800
2017-11-03,13.760000,14.560000,13.700000,14.360000,13.673334,13067800
2017-11-10,14.660000,15.790000,14.590000,15.720000,14.968303,15871200
2017-11-17,15.690000,15.930000,15.590000,15.770000,15.015911,9640200
2017-11-24,15.820000,16.430000,15.650000,16.160000,15.387262,12343500
2017-12-01,16.240000,16.870001,15.890000,16.360001,15.577702,15459900
2017-12-08,16.420000,16.750000,16.120001,16.219999,15.444392,14091500
2017-12-15,16.230000,16.500000,16.000000,16.340000,15.558654,16625300
2017-12-22,16.320000,16.480000,16.170000,16.330000,15.549134,5905600
2017-12-29,16.340000,16.690001,16.209999,16.590000,15.796700,9015200
2018-01-05,16.889999,17.219999,16.520000,17.080000,16.263268,13384100
2018-01-12,17.110001,17.290001,16.940001,17.010000,16.196617,8485000
2018-01-19,17.080000,17.280001,16.950001,17.040001,16.225182,10758800
2018-01-26,17.110001,17.240000,16.799999,16.820000,16.015703,8423900
2018-02-02,16.780001,16.830000,15.220000,15.650000,14.901649,17042200
2018-02-09,15.790000,16.490000,15.350000,16.370001,15.587220,13877400
2018-02-16,16.320000,16.440001,15.930000,16.219999,15.444392,10110800
