Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,181.690002,182.479996,176.679993,176.979996,156.920654,1262400
2016-01-08,177.389999,177.850006,172.509995,174.550003,154.766068,1521900
2016-01-15,171.419998,175.750000,167.070007,169.350006,150.155441,1679800
2016-01-22,171.399994,174.919998,169.589996,174.460007,154.686264,1348300
2016-01-29,174.940002,183.369995,174.940002,182.559998,161.868164,2088900
2016-02-05,182.059998,189.460007,177.880005,182.919998,162.187363,2164100
2016-02-12,184.380005,187.559998,183.270004,185.929993,164.856216,1208600
2016-02-19,185.270004,189.910004,184.309998,189.289993,167.835419,1722700
2016-02-26,189.729996,192.779999,185.699997,191.979996,170.220490,1224200
2016-03-04,192.119995,194.899994,190.050003,193.619995,171.674622,1596300
2016-03-11,195.110001,196.270004,191.050003,194.740005,173.699448,1403300
2016-03-18,194.020004,195.500000,190.169998,191.360001,170.684662,2592900
2016-03-25,191.990005,197.990005,191.919998,197.429993,176.098816,1000800
2016-04-01,196.729996,199.949997,193.729996,195.229996,174.136520,1287100
2016-04-08,196.410004,199.470001,194.000000,197.630005,176.277191,1088400
2016-04-15,197.750000,199.979996,190.119995,191.589996,170.889816,1595000
2016-04-22,192.160004,194.470001,181.619995,184.339996,164.423141,2524000
2016-04-29,183.539993,186.559998,182.509995,183.169998,163.379517,2120600
2016-05-06,182.169998,184.669998,180.440002,184.080002,164.191208,1882900
2016-05-13,183.380005,185.289993,179.179993,179.889999,160.453918,1721900
2016-05-20,180.479996,182.029999,177.580002,179.080002,159.731415,1849700
2016-05-27,178.100006,179.539993,176.570007,177.850006,158.634354,1534800
2016-06-03,177.270004,181.250000,176.020004,180.419998,161.966736,2119700
2016-06-10,179.820007,181.080002,170.320007,172.919998,155.233826,1299900
2016-06-17,172.820007,177.679993,171.970001,177.419998,159.273590,1522200
2016-06-24,172.740005,182.690002,169.190002,182.669998,163.986633,2080500
2016-07-01,181.300003,183.089996,178.309998,180.869995,162.370712,1471300
2016-07-08,181.929993,182.789993,180.570007,180.960007,162.451508,1240900
2016-07-15,181.419998,181.419998,176.509995,178.580002,160.314926,1381700
2016-07-22,179.110001,189.100006,179.020004,189.029999,169.696121,1552300
2016-07-29,188.779999,190.750000,187.210007,190.270004,170.809311,1430000
2016-08-05,190.850006,191.860001,189.070007,189.470001,170.091141,1228700
2016-08-12,189.479996,190.740005,187.729996,189.279999,169.920547,905000
2016-08-19,188.490005,190.729996,187.009995,190.089996,170.647705,776900
2016-08-26,190.270004,193.570007,189.679993,192.600006,172.900970,937100
2016-09-02,192.639999,195.149994,191.320007,193.240005,173.475571,830400
2016-09-09,192.059998,192.630005,187.750000,190.490005,172.033981,1037000
2016-09-16,189.119995,195.660004,188.089996,195.149994,176.242493,1062300
2016-09-23,194.100006,194.580002,190.320007,190.399994,171.952728,1330900
2016-09-30,190.399994,191.770004,183.039993,184.240005,166.389542,1834900
2016-10-07,185.119995,193.970001,184.759995,193.380005,174.644028,1094200
2016-10-14,193.919998,196.690002,192.399994,192.600006,173.939545,967800
2016-10-21,191.779999,204.729996,191.110001,201.279999,181.778610,1946400
2016-10-28,200.889999,208.130005,200.169998,205.759995,185.824554,1902900
2016-11-04,205.699997,209.949997,205.020004,209.509995,189.211182,1486200
2016-11-11,209.610001,214.860001,208.649994,212.860001,192.236633,1529800
2016-11-18,212.929993,214.679993,208.199997,209.669998,189.355713,1254000
2016-11-25,209.509995,212.660004,206.600006,210.610001,190.204620,1447300
2016-12-02,211.630005,213.389999,207.929993,213.300003,193.792206,1923500
2016-12-09,213.059998,219.509995,212.130005,213.449997,193.928482,1978400
2016-12-16,214.009995,219.369995,212.720001,217.229996,197.362793,2261700
2016-12-23,217.729996,218.649994,215.250000,216.119995,196.354294,466200
2016-12-30,217.160004,219.339996,214.740005,217.779999,197.862473,881900
2017-01-06,217.789993,220.479996,215.839996,219.779999,199.679535,1358800
2017-01-13,220.500000,223.100006,217.210007,219.389999,199.325226,994100
2017-01-20,219.990005,221.860001,217.509995,221.860001,201.569351,1066400
2017-01-27,221.460007,223.470001,218.250000,222.190002,201.869186,1227700
2017-02-03,223.479996,229.970001,219.669998,229.789993,208.774078,1919100
2017-02-10,230.050003,236.399994,229.279999,235.509995,213.970947,1263900
2017-02-17,235.490005,236.460007,232.679993,235.380005,213.852875,937600
2017-02-24,234.429993,240.509995,232.979996,237.179993,215.488235,1256700
2017-03-03,237.119995,238.360001,230.899994,232.740005,211.454315,1163600
2017-03-10,232.770004,236.399994,232.740005,235.669998,215.258301,956900
2017-03-17,235.660004,236.470001,232.550003,234.039993,213.769470,877100
2017-03-24,234.050003,236.210007,230.940002,234.889999,214.545883,822400
2017-03-31,234.360001,236.500000,231.419998,233.639999,213.404129,1041800
2017-04-07,232.910004,235.399994,230.520004,230.630005,210.654861,904500
2017-04-14,230.399994,235.479996,230.399994,234.949997,214.600662,611700
2017-04-21,234.919998,258.299988,233.720001,253.910004,231.918503,2685400
2017-04-28,252.729996,254.979996,246.610001,248.380005,226.867477,1245800
2017-05-05,247.960007,248.940002,242.100006,244.419998,223.250458,1193300
2017-05-12,243.679993,246.149994,240.149994,243.850006,222.729828,1113200
2017-05-19,243.339996,249.389999,241.509995,249.009995,227.442932,1439100
2017-05-26,247.770004,256.040009,245.610001,255.600006,233.462128,1409400
2017-06-02,255.160004,255.979996,251.240005,253.169998,232.409271,1104900
2017-06-09,254.320007,258.470001,250.279999,252.089996,231.417831,1869800
2017-06-16,253.070007,259.940002,251.600006,256.739990,235.686508,9132300
2017-06-23,257.220001,257.220001,252.160004,255.160004,234.236130,2002900
2017-06-30,255.050003,268.380005,252.389999,261.320007,239.890930,1911700
2017-07-07,262.779999,267.049988,260.179993,263.829987,242.195114,1911400
2017-07-14,263.269989,270.809998,261.160004,269.109985,247.042114,1933400
2017-07-21,268.570007,277.170013,257.079987,259.529999,238.247726,2370800
2017-07-28,259.529999,266.869995,258.170013,266.059998,244.242279,1504900
2017-08-04,267.200012,269.700012,264.059998,269.299988,247.216537,1316500
2017-08-11,269.500000,270.940002,262.170013,262.500000,240.974213,1231100
2017-08-18,261.730011,265.730011,256.679993,257.609985,236.485168,1692600
2017-08-25,257.500000,260.579987,250.190002,252.479996,231.775848,2309300
2017-09-01,251.360001,252.940002,210.199997,211.940002,194.560257,3945900
2017-09-08,211.899994,245.210007,209.220001,229.289993,211.534775,4679700
2017-09-15,229.600006,232.830002,221.589996,227.300003,209.698883,2698300
2017-09-22,226.309998,227.550003,217.050003,222.880005,205.621170,3095200
2017-09-29,223.570007,230.460007,222.690002,226.750000,209.191467,2481900
2017-10-06,227.279999,228.139999,221.020004,226.809998,209.246841,2179500
2017-10-13,228.000000,244.589996,228.000000,237.250000,218.878403,2496400
2017-10-20,239.300003,239.539993,231.759995,234.949997,216.756500,2095500
2017-10-27,234.589996,244.169998,226.779999,227.440002,209.828049,3418500
2017-11-03,227.440002,232.369995,224.039993,230.789993,212.918625,2443600
2017-11-10,230.550003,232.779999,223.539993,225.470001,208.010590,2353400
2017-11-17,225.699997,227.589996,219.070007,219.240005,202.263031,2402200
2017-11-24,219.369995,227.669998,217.300003,219.600006,202.595139,3222000
