Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,52.970001,53.020000,50.770000,51.860001,47.922596,4641700
2016-01-08,52.139999,54.270000,51.919998,54.169998,50.057213,6021000
2016-01-15,53.169998,55.139999,52.369999,54.040001,49.937080,7832200
2016-01-22,57.619999,60.000000,55.980000,56.250000,51.979290,9794000
2016-01-29,56.700001,58.000000,56.299999,57.820000,53.430092,7218600
2016-02-05,58.119999,58.930000,55.830002,57.119999,52.783237,6704900
2016-02-12,57.340000,59.869999,56.790001,59.200001,54.994560,3409300
2016-02-19,59.139999,59.639999,56.830002,57.400002,53.322414,5084000
2016-02-26,57.669998,58.330002,56.820000,57.430000,53.350292,4243200
2016-03-04,57.599998,59.049999,57.450001,58.799999,54.622963,6216700
2016-03-11,59.270000,60.490002,55.759998,56.000000,52.021881,5266700
2016-03-18,55.820000,57.029999,55.130001,55.470001,51.529526,6102100
2016-03-25,55.720001,58.209999,55.299999,57.820000,53.712593,4640200
2016-04-01,57.689999,59.610001,57.330002,59.000000,54.808762,5187100
2016-04-08,58.860001,60.400002,58.389999,59.459999,55.236084,2929800
2016-04-15,59.340000,60.520000,58.860001,60.439999,56.146473,3785300
2016-04-22,60.430000,61.230000,55.830002,56.500000,52.486362,9042500
2016-04-29,56.430000,56.650002,55.430000,56.410000,52.402748,4383400
2016-05-06,56.360001,58.070000,55.919998,57.810001,53.703308,3478700
2016-05-13,57.740002,58.330002,56.279999,56.840000,52.802200,3172100
2016-05-20,56.900002,58.529999,56.849998,58.220001,54.364933,3476300
2016-05-27,58.130001,59.560001,58.130001,59.549999,55.606865,3542500
2016-06-03,59.570000,60.549999,59.189999,60.500000,56.493969,2684800
2016-06-10,59.919998,60.330002,58.180000,58.740002,54.850502,2874500
2016-06-17,58.740002,64.120003,58.080002,64.080002,59.836906,5248500
2016-06-24,62.590000,63.250000,58.279999,63.230000,59.043194,5360900
2016-07-01,63.230000,64.180000,62.959999,63.349998,59.155247,3382300
2016-07-08,63.790001,65.139999,63.540001,65.099998,60.789364,3901500
2016-07-15,65.029999,66.470001,64.320000,65.889999,61.527061,4103400
2016-07-22,65.860001,66.110001,64.730003,65.699997,61.349636,4448500
2016-07-29,68.500000,70.160004,68.279999,69.099998,64.524513,5120200
2016-08-05,69.449997,70.800003,69.410004,70.510002,65.841164,4081100
2016-08-12,70.500000,70.900002,68.440002,69.570000,64.963379,4435300
2016-08-19,69.320000,70.099998,67.279999,68.440002,64.208328,6675800
2016-08-26,68.739998,69.279999,65.650002,67.120003,62.969955,6193300
2016-09-02,66.889999,68.400002,66.860001,67.059998,62.913647,2855900
2016-09-09,66.459999,66.830002,64.430000,64.959999,60.943497,4497700
2016-09-16,65.019997,65.150002,63.110001,63.980000,60.024097,6489600
2016-09-23,63.959999,65.879997,63.240002,64.209999,60.239868,4379000
2016-09-30,64.839996,65.419998,63.610001,64.500000,60.511944,3878500
2016-10-07,64.739998,65.580002,63.150002,63.849998,59.902130,3797800
2016-10-14,64.709999,65.449997,63.360001,63.580002,59.648827,3800700
2016-10-21,63.290001,64.580002,58.959999,59.830002,56.130699,8025700
2016-10-28,60.439999,60.740002,57.209999,57.340000,53.794651,5217400
2016-11-04,57.290001,59.639999,56.590000,59.320000,55.652225,4492100
2016-11-11,58.980000,59.990002,57.630001,58.790001,55.470825,4012600
2016-11-18,58.910000,59.009998,57.450001,58.230000,54.942436,2352600
2016-11-25,58.740002,62.360001,58.529999,59.560001,56.197342,6845700
2016-12-02,59.450001,61.389999,58.709999,61.369999,57.905159,3660000
2016-12-09,61.500000,63.410000,61.119999,62.310001,58.792088,3841200
2016-12-16,61.970001,63.070000,60.130001,61.619999,58.141048,5004600
2016-12-23,61.400002,62.610001,61.400002,62.439999,58.914753,1907600
2016-12-30,62.500000,62.619999,61.220001,61.869999,58.376930,2492300
2017-01-06,61.950001,64.320000,61.750000,64.260002,60.631996,2907100
2017-01-13,64.680000,65.779999,62.709999,62.900002,59.348778,3552000
2017-01-20,63.270000,70.760002,62.639999,68.389999,64.528831,9220500
2017-01-27,68.639999,69.070000,66.180000,67.000000,63.217285,5070900
2017-02-03,67.160004,69.839996,67.000000,69.800003,65.859222,4259800
2017-02-10,69.790001,72.300003,69.449997,71.919998,68.187126,3667900
2017-02-17,71.540001,72.699997,71.209999,71.620003,67.902679,2999400
2017-02-24,70.709999,73.459999,70.709999,72.480003,68.718063,2769700
2017-03-03,72.220001,72.459999,70.389999,70.779999,67.106285,2662800
2017-03-10,71.480003,71.760002,70.860001,71.279999,67.580299,2605800
2017-03-17,71.040001,72.379997,70.110001,71.309998,67.608765,3022900
2017-03-24,71.309998,72.800003,70.900002,71.519997,67.807877,3012300
2017-03-31,71.320000,72.180000,68.790001,69.050003,65.466072,4285600
2017-04-07,68.849998,69.470001,67.860001,68.120003,64.584343,2694100
2017-04-14,68.370003,69.779999,68.209999,69.620003,66.006485,1963300
2017-04-21,69.620003,73.070000,68.349998,72.849998,69.068840,5505800
2017-04-28,67.199997,70.519997,67.040001,69.000000,65.418671,6504200
2017-05-05,69.220001,69.779999,67.160004,67.930000,64.404198,2950600
2017-05-12,68.040001,69.320000,67.150002,67.500000,64.306114,2253800
2017-05-19,68.000000,70.389999,67.610001,70.050003,66.735451,2296500
2017-05-26,69.959999,71.900002,69.589996,71.900002,68.497902,3913900
2017-06-02,72.099998,73.589996,71.730003,73.269997,69.803070,2620000
2017-06-09,73.190002,76.190002,72.790001,76.169998,72.565849,3157800
2017-06-16,76.139999,79.440002,75.809998,77.629997,73.956757,4699800
2017-06-23,77.790001,78.570000,76.410004,77.089996,73.442307,2957600
2017-06-30,77.449997,78.139999,75.769997,76.040001,72.441994,2765800
2017-07-07,75.949997,77.500000,75.480003,77.120003,73.470909,2802100
2017-07-14,77.430000,79.000000,77.010002,78.029999,74.337837,4036500
2017-07-21,78.040001,79.629997,76.559998,77.459999,73.794815,35185300
2017-07-28,77.379997,78.370003,71.290001,73.449997,69.974548,8622500
2017-08-04,74.199997,75.470001,72.559998,72.620003,69.183830,4199800
2017-08-11,72.620003,73.650002,72.440002,72.790001,69.345779,2309500
2017-08-18,72.820000,74.849998,72.489998,73.900002,70.739555,2291000
2017-08-25,74.300003,77.680000,73.849998,77.580002,74.262177,2755100
2017-09-01,77.559998,78.860001,76.260002,78.820000,75.449165,2245300
2017-09-08,79.010002,81.870003,78.870003,80.550003,77.105164,3339900
2017-09-15,80.449997,80.500000,77.220001,77.320000,74.013290,3269800
2017-09-22,77.169998,77.599998,75.279999,76.110001,72.855064,2667000
2017-09-29,76.010002,77.800003,75.830002,77.300003,73.994171,2249700
2017-10-06,76.930000,77.639999,75.620003,77.589996,74.271759,2150400
2017-10-13,77.809998,79.129997,77.269997,78.790001,75.420433,1956400
2017-10-20,79.180000,80.599998,77.709999,78.610001,75.248123,3353800
2017-10-27,81.879997,87.809998,81.010002,82.860001,79.316368,5952900
2017-11-03,82.089996,83.930000,81.750000,82.720001,79.182381,4232800
2017-11-10,82.320000,85.199997,81.519997,84.980003,81.692329,3108800
2017-11-17,84.839996,85.690002,83.540001,85.269997,81.971115,2130500
2017-11-24,85.269997,86.500000,84.089996,85.400002,82.096100,2630400
2017-12-01,85.360001,86.029999,82.809998,85.769997,82.451752,3175600
2017-12-08,85.849998,86.699997,83.879997,83.930000,80.682961,2689600
2017-12-15,84.510002,86.519997,84.370003,84.980003,81.692329,3201500
2017-12-22,85.089996,86.300003,84.639999,86.260002,82.922798,1117600
2017-12-29,86.330002,86.849998,84.669998,86.540001,83.191978,1843000
2018-01-05,86.589996,88.489998,86.120003,87.040001,83.672623,2392700
2018-01-12,87.129997,89.209999,86.669998,88.790001,85.354935,2053200
2018-01-19,89.209999,104.779999,87.099998,101.620003,97.688583,9495100
2018-01-26,101.779999,103.580002,98.900002,99.650002,95.794792,4206300
2018-02-02,98.750000,99.139999,89.220001,89.260002,85.806747,4603200
2018-02-09,90.260002,94.430000,87.669998,94.190002,90.880669,3271300
2018-02-16,93.910004,95.150002,92.599998,93.779999,90.485077,2825800
2018-02-23,94.430000,97.550003,92.750000,93.959999,90.658760,3097100
2018-03-02,93.180000,97.889999,93.029999,97.610001,94.180504,2201400
2018-03-09,98.389999,99.970001,97.800003,98.110001,94.662918,1851000
2018-03-16,97.849998,99.250000,96.419998,96.480003,93.090210,3213800
2018-03-23,96.339996,99.070000,95.139999,98.470001,95.010292,3131800
2018-03-30,98.480003,98.519997,93.080002,95.209999,91.864830,3153600
2018-04-06,94.980003,98.800003,92.919998,98.500000,95.039238,2713000
2018-04-13,99.000000,101.610001,98.400002,100.370003,96.843521,2673900
2018-04-20,100.019997,100.080002,95.419998,97.199997,93.784904,3325300
2018-04-27,97.629997,97.860001,93.349998,96.980003,93.572647,5434800
2018-05-04,96.559998,101.400002,95.449997,101.070000,97.518944,3077200
2018-05-11,100.940002,102.910004,100.639999,101.430000,98.217690,2609700
2018-05-18,101.260002,103.599998,101.110001,103.129997,99.863831,2634700
2018-05-25,103.230003,103.480003,100.570000,102.809998,99.553986,3557600
