Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,75.360001,75.580002,72.480003,73.040001,71.954460,4608200
2016-01-08,73.389999,74.879997,71.510002,72.349998,71.274704,6308100
2016-01-15,70.529999,73.680000,69.099998,70.440002,69.393105,6058400
2016-01-22,71.559998,72.250000,69.500000,71.209999,70.151665,5293500
2016-01-29,71.629997,73.669998,68.080002,68.930000,67.905540,7730700
2016-02-05,68.690002,69.199997,64.790001,66.349998,65.363892,6865400
2016-02-12,67.199997,69.809998,66.970001,68.449997,67.432671,5538200
2016-02-19,68.269997,73.930000,67.070000,73.900002,72.801682,10162000
2016-02-26,74.120003,76.209999,72.699997,76.150002,75.018234,5029300
2016-03-04,76.400002,77.230003,74.900002,75.739998,74.614334,3728900
2016-03-11,76.650002,77.349998,75.029999,77.190002,76.042801,3177700
2016-03-18,77.550003,78.459999,76.410004,77.610001,76.456543,3318200
2016-03-25,78.010002,80.440002,77.300003,79.919998,78.732208,2638500
2016-04-01,79.639999,81.589996,78.169998,78.269997,77.106735,3095300
2016-04-08,78.050003,78.699997,76.760002,77.860001,76.702827,2842700
2016-04-15,77.860001,79.010002,77.430000,78.059998,76.899849,2433600
2016-04-22,77.809998,79.430000,77.809998,78.680000,77.510643,2636800
2016-04-29,78.070000,78.459999,76.290001,77.230003,76.082184,3995300
2016-05-06,76.889999,78.839996,76.800003,77.809998,76.653564,2668700
2016-05-13,77.599998,78.230003,75.760002,76.339996,75.205406,3075000
2016-05-20,76.489998,79.489998,76.290001,78.980003,77.806183,2785600
2016-05-27,78.930000,79.989998,78.910004,79.980003,78.791321,2445600
2016-06-03,79.430000,80.160004,79.029999,79.580002,78.397263,3922000
2016-06-10,78.730003,79.860001,77.559998,78.419998,77.254501,3009400
2016-06-17,78.459999,80.500000,77.529999,80.129997,78.939087,3501700
2016-06-24,77.250000,81.089996,75.720001,81.080002,79.874962,4357200
2016-07-01,81.080002,82.150002,80.580002,81.849998,80.633530,2137500
2016-07-08,82.209999,85.709999,82.070000,85.599998,84.327797,3141700
2016-07-15,86.000000,86.000000,84.540001,84.800003,83.539680,2201200
2016-07-22,85.150002,85.889999,84.589996,85.540001,84.268684,1950500
2016-07-29,85.580002,85.610001,78.269997,81.129997,79.924225,5158600
2016-08-05,81.269997,82.629997,81.019997,81.570000,80.357689,2651300
2016-08-12,81.250000,81.989998,80.650002,81.690002,80.475899,3005000
2016-08-19,81.419998,83.050003,81.150002,83.000000,81.766426,2675900
2016-08-26,83.360001,84.040001,82.790001,83.300003,82.061981,3187600
2016-09-02,83.940002,84.220001,82.820000,82.820000,81.589111,2305600
2016-09-09,82.029999,83.980003,80.690002,81.489998,80.278877,3799100
2016-09-16,80.989998,81.349998,80.150002,81.050003,79.845413,3885400
2016-09-23,81.080002,82.180000,80.339996,81.050003,79.845413,4423100
2016-09-30,81.489998,81.720001,79.269997,79.750000,78.564743,3746500
2016-10-07,79.709999,80.419998,78.599998,79.360001,78.180534,2649300
2016-10-14,79.470001,81.489998,79.300003,80.080002,78.889839,3282500
2016-10-21,79.839996,82.589996,79.309998,81.250000,80.042442,4911100
2016-10-28,81.430000,83.290001,80.669998,82.410004,81.185211,5584000
2016-11-04,81.830002,84.290001,80.879997,83.120003,81.884659,4597800
2016-11-11,82.830002,83.709999,82.059998,83.000000,81.766426,6807400
2016-11-18,82.830002,84.760002,82.500000,83.889999,82.643211,4211300
2016-11-25,83.959999,84.849998,81.949997,82.360001,81.135948,4405700
2016-12-02,82.419998,83.519997,81.650002,83.190002,81.953613,4819700
2016-12-09,83.349998,83.949997,81.239998,81.279999,80.072006,4827900
2016-12-16,81.400002,82.989998,80.900002,82.070000,80.850250,3308800
2016-12-23,82.010002,82.970001,81.519997,81.699997,80.485756,1305600
2016-12-30,81.989998,82.230003,80.959999,81.660004,80.446358,2116900
2017-01-06,81.519997,82.760002,81.419998,82.320000,81.096542,2626300
2017-01-13,82.449997,82.709999,80.199997,80.919998,79.717346,2255800
2017-01-20,81.269997,83.019997,80.760002,82.529999,81.303421,2226900
2017-01-27,82.209999,83.000000,81.309998,82.150002,80.929077,2596300
2017-02-03,82.800003,84.110001,82.150002,84.070000,82.820534,2298100
2017-02-10,84.279999,85.230003,83.389999,84.269997,83.017555,2495200
2017-02-17,84.279999,87.400002,81.900002,82.839996,81.608810,5236300
2017-02-24,82.930000,84.489998,82.779999,83.669998,82.426468,3722800
2017-03-03,83.839996,84.150002,79.709999,80.050003,78.860283,4695900
2017-03-10,80.360001,80.660004,79.089996,80.349998,79.155815,5084800
2017-03-17,80.650002,81.389999,79.430000,79.959999,78.771622,5325100
2017-03-24,80.180000,80.949997,79.169998,80.790001,79.589287,4412100
2017-03-31,80.820000,81.610001,79.129997,79.500000,78.318451,4679900
2017-04-07,79.410004,79.870003,78.690002,79.110001,77.934250,3401600
2017-04-14,79.480003,81.620003,79.480003,81.370003,80.160667,2379400
2017-04-21,81.440002,83.690002,81.309998,83.150002,81.914200,3002100
2017-04-28,83.150002,83.400002,75.599998,78.010002,76.850601,9802900
2017-05-05,78.809998,80.070000,77.720001,78.279999,77.116585,5070900
2017-05-12,78.150002,79.220001,77.919998,78.519997,77.353004,5167400
2017-05-19,78.629997,81.610001,78.290001,81.180000,79.973488,4532100
2017-05-26,81.199997,81.519997,80.080002,81.169998,79.963631,3383200
2017-06-02,81.419998,82.209999,80.029999,80.379997,79.185387,3478400
2017-06-09,80.389999,83.620003,79.860001,83.250000,82.012726,4051700
2017-06-16,82.900002,84.180000,82.279999,83.029999,81.795982,4976400
2017-06-23,83.089996,84.000000,82.139999,83.360001,82.121078,5355900
2017-06-30,83.910004,84.959999,83.379997,83.480003,82.239296,3100600
2017-07-07,83.480003,84.620003,82.940002,84.400002,83.145630,3452000
2017-07-14,84.760002,86.349998,84.690002,86.269997,84.987831,3713900
2017-07-21,86.139999,87.470001,85.949997,87.150002,85.854767,3462000
2017-07-28,87.059998,88.169998,82.120003,82.309998,81.086685,5874100
2017-08-04,82.559998,83.239998,80.559998,80.580002,79.382408,3900700
2017-08-11,80.959999,81.900002,80.589996,80.900002,79.697647,3279300
2017-08-18,80.389999,82.360001,79.870003,80.260002,79.067169,3340700
2017-08-25,80.750000,81.190002,78.970001,81.050003,79.845413,4078700
2017-09-01,81.379997,82.349998,80.419998,82.000000,80.781296,3348400
2017-09-08,81.730003,83.000000,80.320000,80.690002,79.490768,3464500
2017-09-15,80.720001,82.489998,80.529999,81.949997,80.732033,3237400
2017-09-22,81.580002,82.500000,81.489998,82.400002,81.175346,3640700
2017-09-29,82.279999,84.089996,82.269997,83.800003,82.554550,3223700
2017-10-06,83.639999,83.989998,83.029999,83.820000,82.574249,2558800
2017-10-13,84.269997,84.919998,83.739998,84.910004,83.648056,2237700
2017-10-20,85.000000,85.370003,83.959999,84.830002,83.569237,3232800
2017-10-27,84.529999,91.339996,84.370003,91.019997,89.667236,7200300
2017-11-03,91.080002,92.919998,90.150002,90.820000,89.470222,4331500
2017-11-10,90.720001,91.589996,89.650002,90.820000,89.470222,4526000
2017-11-17,90.879997,94.260002,90.680000,93.820000,92.425629,5131000
2017-11-24,93.800003,96.919998,93.519997,96.419998,94.986984,3254700
2017-12-01,98.050003,98.599998,94.180000,95.440002,94.021553,3994200
2017-12-08,96.010002,96.379997,93.730003,94.730003,93.322105,4650600
2017-12-15,95.000000,97.089996,94.389999,95.580002,94.159470,6071000
2017-12-22,95.519997,96.519997,94.930000,96.449997,95.016533,2080200
2017-12-29,96.410004,97.000000,95.260002,96.029999,94.602776,2903800
2018-01-05,96.500000,97.559998,95.919998,96.669998,95.233269,3036000
2018-01-12,96.779999,98.720001,96.290001,98.199997,96.740517,3185900
2018-01-19,98.500000,99.919998,97.330002,98.589996,97.124725,3930000
2018-01-26,98.959999,100.540001,97.540001,100.260002,98.769913,6629200
2018-02-02,99.839996,100.260002,92.239998,92.279999,90.908508,5569300
2018-02-09,92.980003,98.230003,90.599998,98.230003,96.770096,4688700
2018-02-16,98.169998,102.000000,96.589996,99.610001,98.129570,7123500
2018-02-23,100.000000,103.860001,99.180000,101.059998,99.558029,4623900
2018-03-02,100.190002,104.680000,99.300003,104.379997,102.828674,4471800
2018-03-09,104.949997,106.070000,103.580002,104.260002,102.710472,3595800
2018-03-16,104.300003,105.870003,103.059998,103.989998,102.444481,3855200
2018-03-23,104.040001,104.599998,101.050003,104.000000,102.454330,3952600
2018-03-30,103.309998,105.750000,100.320000,105.449997,103.882767,3547600
2018-04-06,104.570000,106.930000,103.379997,106.339996,104.759552,4443000
2018-04-13,106.599998,108.449997,105.180000,107.570000,105.971260,3312700
2018-04-20,107.820000,108.580002,105.739998,106.639999,105.055092,3763100
2018-04-27,106.699997,107.760002,95.209999,100.610001,99.114716,8226300
2018-05-04,100.500000,106.599998,100.260002,105.900002,104.326080,5060400
2018-05-11,106.000000,106.580002,104.129997,104.580002,103.025711,3542300
2018-05-18,104.900002,107.419998,104.449997,106.459999,104.877769,4784700
2018-05-25,106.190002,109.330002,104.459999,106.239998,104.661041,2994600
2018-06-01,106.830002,109.589996,106.040001,109.110001,107.488380,4184100
2018-06-08,109.110001,110.320000,108.800003,109.970001,108.335602,3698200
2018-06-15,109.830002,110.000000,107.330002,107.570000,105.971260,3421800
2018-06-22,108.089996,108.510002,105.430000,106.440002,104.858063,4626300
2018-06-29,106.739998,109.360001,106.150002,109.260002,107.636139,2446800
2018-07-06,109.500000,113.050003,109.500000,112.989998,111.310715,3488900
2018-07-13,113.199997,113.290001,111.370003,112.250000,110.581711,2430200
2018-07-20,111.839996,115.099998,110.480003,113.650002,111.960915,3450500
2018-07-27,113.900002,115.050003,109.250000,114.669998,112.965736,5750100
2018-08-03,114.400002,118.129997,112.739998,116.699997,114.965569,3236900
2018-08-10,116.250000,118.110001,116.000000,117.059998,115.320229,2679400
2018-08-17,117.059998,118.209999,116.889999,117.389999,115.645325,2410900
2018-08-24,117.459999,119.559998,117.410004,118.889999,117.123032,2649400
2018-08-31,118.599998,120.790001,118.330002,120.320000,118.531769,3079500
2018-09-07,120.059998,122.800003,119.580002,122.599998,120.777885,3811700
2018-09-14,122.699997,122.699997,119.580002,120.790001,118.994781,2928300
2018-09-21,121.190002,121.650002,118.809998,120.800003,119.004646,5092700
2018-09-28,120.879997,121.650002,117.620003,118.360001,116.600899,3522700
2018-10-05,118.580002,121.180000,112.650002,113.330002,111.645668,5091100
2018-10-12,114.209999,117.589996,113.230003,115.639999,113.921333,3524000
2018-10-19,116.410004,117.250000,113.220001,114.910004,113.202187,3698500
2018-10-26,112.809998,121.959999,111.519997,115.639999,113.921333,6907900
2018-11-02,116.260002,122.730003,114.190002,122.720001,120.896111,4207800
2018-11-09,122.790001,124.230003,120.010002,123.879997,122.038857,5457100
2018-11-16,123.279999,124.500000,119.959999,120.139999,118.354454,4376700
2018-11-23,119.589996,124.830002,119.059998,123.830002,121.989616,3387800
2018-11-30,123.940002,125.989998,114.599998,118.000000,116.246262,5417500
2018-12-07,117.250000,118.309998,112.800003,115.459999,113.744019,4958100
2018-12-14,114.739998,114.870003,107.580002,108.470001,106.857895,5122300
2018-12-21,108.410004,109.879997,102.739998,109.169998,107.547485,3836400
2018-12-28,109.580002,109.930000,104.919998,105.330002,103.764557,3262300
2019-01-04,106.980003,112.860001,106.459999,112.639999,110.965919,3502900
2019-01-11,111.820000,113.830002,111.050003,113.160004,111.478195,2985600
2019-01-18,114.089996,117.260002,113.629997,116.150002,114.423759,2987800
2019-01-25,117.050003,118.480003,115.239998,117.410004,115.665031,3027200
2019-02-01,117.510002,120.250000,117.510002,120.250000,118.462814,3349600
2019-02-08,119.519997,124.610001,119.489998,123.839996,121.999451,3325300
2019-02-15,124.559998,125.400002,121.059998,124.529999,122.679207,4081500
2019-02-22,124.959999,126.790001,122.440002,126.430000,124.550980,3086600
2019-03-01,126.760002,127.550003,125.250000,126.580002,124.698730,3418000
2019-03-08,125.949997,129.300003,125.099998,128.130005,126.225708,3321800
2019-03-15,128.139999,129.919998,128.059998,129.759995,128.080139,3916100
2019-03-22,129.300003,133.389999,128.360001,132.809998,131.090652,4572200
2019-03-29,133.000000,136.990005,132.360001,135.710007,133.953156,4124000
2019-04-05,135.850006,136.690002,134.250000,135.789993,134.032089,3312800
2019-04-12,136.289993,138.929993,135.509995,137.990005,136.203644,2673500
2019-04-19,137.600006,140.410004,136.690002,138.789993,136.993240,2198300
2019-04-26,139.139999,142.470001,137.910004,140.350006,138.533066,3323200
2019-05-03,140.839996,143.669998,138.940002,140.500000,138.681107,3481200
2019-05-10,140.000000,142.929993,137.740005,142.130005,140.290009,4812300
2019-05-17,141.289993,144.479996,140.630005,142.160004,140.319641,2700900
2019-05-24,143.059998,144.380005,139.190002,140.520004,138.700851,4391200
2019-05-31,139.259995,144.820007,139.259995,144.740005,142.866241,6984500
2019-06-07,145.000000,147.940002,144.899994,145.339996,143.458481,3187500
2019-06-14,145.470001,147.309998,144.080002,146.009995,144.367020,3761000
2019-06-21,146.130005,147.440002,141.720001,144.619995,142.992691,4767600
2019-06-28,144.850006,151.089996,143.910004,150.669998,148.974609,3055900
2019-07-05,149.830002,151.270004,147.050003,151.190002,149.488739,3787700
2019-07-12,151.649994,153.369995,150.550003,152.960007,151.238861,2783200
2019-07-19,153.820007,153.820007,149.660004,150.220001,148.529663,3346100
2019-07-26,150.600006,155.500000,150.020004,152.919998,151.199280,3945200
2019-08-02,152.309998,156.309998,148.429993,156.169998,154.412720,4270100
2019-08-09,156.059998,157.600006,152.699997,155.169998,153.423965,3442100
2019-08-16,156.110001,159.720001,155.250000,158.050003,156.271576,2753200
2019-08-23,157.580002,161.789993,153.910004,160.779999,158.970856,2793700
2019-08-30,161.850006,164.910004,160.419998,163.539993,161.699768,2639700
2019-09-06,163.970001,164.970001,153.029999,157.429993,155.658524,4414600
2019-09-13,157.130005,159.940002,153.520004,158.699997,157.167557,3445300
2019-09-20,158.240005,160.279999,156.259995,159.289993,157.751862,3434400
2019-09-27,159.889999,160.559998,151.880005,154.300003,152.810043,4013500
